Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At
27-Jul-2023,"INR 1,733,304",365.0,Rajesh Kumar,27-Jul-2023 11:23 AM,AOCFISRUPIANA.pdf (578.00 KB),aoc,Finance,Financial Evaluation Summary,Rajesh Kumar,17-Apr-2023 10:04 AM,finance_107126.pdf,BOQ Comparative Chart,Technical,Technical Evaluation Summary,Rajesh Kumar,10-Apr-2023 03:09 PM,technical_107126.pdf,Rajesh Kumar,Internal,Bipin Samkaria Vivek Saklani pardeep sharma vikas Kapoor,Rajesh Kumar,10-Apr-2023 03:14 PM,10-Apr-2023 03:30 PM,techsummary_107126.pdf (112.22 KB),1.0,339902.0,Anil Kumar Mahajan,04-Apr-2023 05:08 PM,Accepted-AOC,L1 not completed codal formalities hence rejected and L2 accepted,27-Jul-2023,Himachal Pradesh Agriculture Development Society (JICA-ODA loan)||Project Director - HPCDP Project - JICA-ODA - Hamirpur||DPM - HPCDP Project - JICA-ODA - Palampur,2023_HPCDP_71146_1,No.AGR. DPMU. KGR. F (7) Tender/13/2022-Vol-I-127,"Flow Irrigation Scheme Rupiana at G.P-Parsiyara, Tehsil-Sihunta, District-Chamba(H.P.)",1.0,339902.0,Anil Kumar Mahajan,INR,"1,733,304",Rajesh Kumar,Internal,Bipan Samkaria Vivek Saklani Pradeep Sharma Vikas Kapoor,Rajesh Kumar,27-Jul-2023 11:22 AM,finsummary_107126.pdf (96.22 KB),1.0,Fee/PreQual/Technical,.pdf,1. Cost of tender form as indicated in NIT Sr. No. 3(a) i,18-Mar-2023 05:00 PM,10-Apr-2023 11:00 AM,18-Mar-2023 05:00 PM,08-Apr-2023 05:00 PM,NA ,NA ,18-Mar-2023 06:00 PM,08-Apr-2023 05:00 PM,10-Apr-2023 03:30 PM,Himachal Pradesh Agriculture Development Society (JICA-ODA loan)||Project Director - HPCDP Project - JICA-ODA - Hamirpur||DPM - HPCDP Project - JICA-ODA - Palampur,No.AGR. DPMU. KGR. F (7) Tender/13/2022-Vol-I-127,2023_HPCDP_71146_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,District Project Manager,District Project Manager,"Flow Irrigation Scheme Rupiana at G.P-Parsiyara, Tehsil-Sihunta, District-Chamba(H.P.)","Flow Irrigation Scheme Rupiana at G.P-Parsiyara, Tehsil-Sihunta, District-Chamba(H.P.)",Please refer Tender documents. ,NA ,,Civil Works - Water Works,Flow Irrigation Scheme ,Tender,90.0,365.0,"G.P-Parsiyara, Tehsil-Sihunta, District-Chamba(H.",176302.0,District Project Management Unit HPCDP JICA ODA Ph ,"District Project Management Unit HPCDP JICA ODA Phase-II, Opposite to Soil Testing Lab, Holta at Palampur ",03-Apr-2023 11:00 AM ,District Project Management Unit HPCDP JICA ODA Ph,No ,No,"2,000",District Project Manager Unit HPCDP JICA ODA,Palampur,No,1.0,DD - Demand Draft,"32,000",No,fixed,,District Project ManagerUnit HPCDP JICA ODA,Palampur
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,340664.0,Ashwani,06-Apr-2023 05:40 PM,Rejected-AOC,L1 not completed codal formalities hence rejected and L2 accepted,27-Jul-2023,,,,,,,,,,,,,,,,,,.pdf,2.Earnest money as indicated in NIT Sr. No. 3(a) ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,3.0,340870.0,SATISH KUMAR DHIMAN,07-Apr-2023 03:53 PM,Rejected-AOC,Rejected,27-Jul-2023,,,,,,,,,,,,,,,,,,.pdf,3. Certificate of registration/ enlistment as indicated in NIT Sr. No. 3(a) iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,4. Should have experience of minimum 5 years as indicated in NIT Sr. No. 3 (a) iv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,5. Should have satisfactorily completed similar works in HP as indicated in NIT Sr. No. 3(a) v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,6. Should have satisfactorily one work indicating exp. in key activities as indicated in NIT Sr.VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,7. Financial statements as indicated in NIT Sr. No. 3(a) vii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,8. Average annual turnover as indicated in NIT Sr. No. 3(a) viii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,9. Solvency as indicated in NIT Sr. No. 3(a) ix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,10. Technical Proposal as indicated in NIT Sr. No. 3(a) x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
