Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3
09-Feb-2023 10:00 AM,17-Feb-2023 11:30 AM,09-Feb-2023 10:00 AM,16-Feb-2023 06:00 PM,NA ,NA ,09-Feb-2023 10:00 AM,16-Feb-2023 06:00 PM,22-Feb-2023 04:20 PM,"80,000",No,fixed,,Nil,Nil,"1,500",Nil,Nil,No,Executive Engineer,HPPWD Division Dehra,1.0,Fee/PreQual/Technical,.pdf,Cost of form and earnest money,1.0,ICICI BANK,Periodic Renewal on Chanour to Paniamal Road for the year 2023-24 under PMGSY,"Providing and laying 30mm thick Bituminous Concrete with Paver Finisher on Km 0/000 to 1/000, 1/000 to 2/000 and 2/000 to 2/900",Please refer to tender documents ,NA ,"39,86,146",Civil Works,NA ,Tender,75.0,30.0,Dehra,177101.0,NA ,NA ,NA ,Dehra,No ,No,PWD,EE Dehra letter No. 10815-20 dt. 04.02.2023,2023_PWD_68251_23,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,323841.0,M/s R.K Mahajan Govt Contractor,INR,"4,075,668",16-Jul-2023,"INR 3,986,146",30.0,Gurvachan Singh,16-Jul-2023 06:33 PM,68251_23Award.pdf (811.00 KB),work award issued,PWD,2023_PWD_68251_23,EE Dehra letter No. 10815-20 dt. 04.02.2023,Periodic Renewal on Chanour to Paniamal Road for the year 2023-24 under PMGSY,EE Dehra,Internal,"HDM,Supdt,DAO",Gurvachan Singh,18-Apr-2023 01:17 PM,finsummary_102837.pdf (1033.14 KB),Finance,Summary,Gurvachan Singh,18-Apr-2023 01:14 PM,finance_102837.pdf,BOQ Comparative Chart,1.0,323841.0,M/s R.K Mahajan Govt Contractor,16-Feb-2023 02:33 PM,Accepted-AOC,L1,16-Jul-2023,Technical,Summary,Dinesh Kumar Dhiman,22-Feb-2023 04:17 PM,technical_102837.pdf,EE Dehra,Internal,"HDM, Supdt., DAO",Dinesh Kumar Dhiman,22-Feb-2023 04:18 PM,22-Feb-2023 04:20 PM,techsummary_102837.pdf (2902.86 KB)
,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of enlistment,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,324440.0,rajat thakur govt contractor,16-Feb-2023 02:29 PM,Rejected-Finance,Highest Bidder,18-Apr-2023,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,322448.0,SUBHASH CHAND,16-Feb-2023 02:10 PM,Rejected-Finance,Highest Bidder,18-Apr-2023,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8 duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of existing commitments under Dehra Division.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid showing name of bid duly attested from competent authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding list of near relative works as officer/officials in HPPWD duly attested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration under EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
