Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bank Name
29-Jul-2023,"INR 11,491,645",60.0,Tarsem Singh,29-Jul-2023 11:45 AM,100.pdf (1014.00 KB),E E,Internal,HDM Supdt. Supdt. PMGSY Tender Assistant,Tarsem Singh,23-Feb-2023 12:28 PM,finsummary_104084.pdf (371.92 KB),E E,Internal,HDM Supdt. Supdt. PMGSY Tender Assistant,Virender Rajta,23-Feb-2023 11:50 AM,23-Feb-2023 11:55 AM,techsummary_104084.pdf (347.50 KB),PWD,2023_PWD_69032_2,PW-JD-CB-E/Tender/ 2022-23-12133-35,Providing Periodical Maintenance to Kuddu Chhajpur Road Km 5.0 to 11.570,1.0,324959.0,AJAY SAUHTA,INR,"11,491,645",Finance,2 nos of bids opened,Tarsem Singh,23-Feb-2023 12:18 PM,finance_104084.pdf,BOQ Comparative Chart,Technical,2 No bids received,Virender Rajta,23-Feb-2023 11:29 AM,technical_104084.pdf,1.0,324959.0,AJAY SAUHTA,17-Feb-2023 02:34 PM,Accepted-AOC,ok,29-Jul-2023,Executive Engineer Jubbal,HP PWD Jubbal,"5,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Tender Cost and earnest money,"2,19,000",No,fixed,,Nil,Nil,Providing Periodical Maintenance to Kuddu Chhajpur Road Km 5.0 to 11.570,Providing Periodical Maintenance to Kuddu Chhajpur Road Km 5.0 to 11.570 Providing Renewal Coat with 30mm thick Bituminous in Km 5.0 to 11.570,ok ,no ,"1,09,49,112",Civil Works - Roads,Periodical maintenance ,Tender,60.0,60.0,Jubbal,171205.0,NA ,NA ,NA ,Jubbal,No ,No,16-Feb-2023 01:30 PM,23-Feb-2023 11:00 AM,16-Feb-2023 01:45 PM,22-Feb-2023 06:00 PM,NA ,NA ,16-Feb-2023 01:50 PM,22-Feb-2023 06:00 PM,23-Feb-2023 11:55 AM,PWD,PW-JD-CB-E/Tender/ 2022-23-12133-35,2023_PWD_69032_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,324975.0,POOJA CHAUHAN,17-Feb-2023 06:25 PM,Rejected-Finance,ok,23-Feb-2023,,,,,,,,,.pdf,Enlistment of contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and Work in hand detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of machineries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Technical Persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,5 Year turnover issued by C.A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
