Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
Construction of link road Samrpurto Balh Bag via Khasan Km 0/00 to 3/800,FC 5/7 mtr wide road from Km 0/285 to 0/900 and hume pipe culvert at RD 0/225 to 0/450 with wing wall under SCSP,Please refer tender documents ,NA ,"34,71,182",Civil Works - Roads,NA ,Tender,60.0,90.0,Bhornj,176044.0,NA ,NA ,NA ,.Bhoranj,No ,No,"1,500",Nil,Nil,No,Executive Engineer,HPPWD Division Bhoranj,14-Mar-2023 01:00 PM,20-Mar-2023 11:30 AM,14-Mar-2023 01:00 PM,19-Mar-2023 05:00 PM,NA ,NA ,14-Mar-2023 02:00 PM,19-Mar-2023 05:00 PM,01-Apr-2023 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,"59,600",No,fixed,,Nil,Nil,1.0,ICICI BANK,PWD,12177-80 dt. 06.03.2023,2023_PWD_70646_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,336219.0,Sourabh Pathania Govt Contractor,INR,"3,627,385",Finance,Executive Engineer HPPWD Division Bhoranj Assistant Engineer HPPWD Sub Division Bhoranj HDM DAO Supdtt GrII,Anil Kumar Sharma,04-Apr-2023 11:16 AM,finance_106508.pdf,BOQ Comparative Chart,1.0,335510.0,BIHARI LAL VERMA,17-Mar-2023 03:45 PM,Rejected-Technical,Non Responsive,29-Mar-2023,Technical,Executive Engineer HPPWD Division Bhoranj Assistant Engineer HPPWD Sub Division Bhoranj HDM DAo Supdtt GrII HPPWD Division Bhoranj,Anil Kumar Sharma,21-Mar-2023 04:12 PM,technical_106508.pdf,Executive Engineer,Internal,Executive Engineer HPPWD Division Bhoranj Assistant Engineer HPPWd Sub Division Bhoranj DAO HDM Supdtt GrII HPPWD Division Bhoranj,Pramod Kashyap,29-Mar-2023 11:35 AM,01-Apr-2023 11:00 AM,techsummary_106508.pdf (735.20 KB),PWD,2023_PWD_70646_1,12177-80 dt. 06.03.2023,Construction of link road Samrpurto Balh Bag via Khasan Km 0/00 to 3/800,06-Jul-2023,"INR 3,627,385",90.0,Anil Kumar Sharma,06-Jul-2023 01:05 PM,70646A.pdf (1014.00 KB),AWARD,Executive Engineer,Internal,Executive Engineer HPPWD Division Bhoranj Assistant Engineer HPPWD Sub Division Bhoranj HDM DAO Supdtt GrII,Anil Kumar Sharma,04-Apr-2023 12:31 PM,finsummary_106508.pdf (490.52 KB)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,336065.0,Praveen Thakur,18-Mar-2023 05:20 PM,Rejected-Technical,Non Responsive,29-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Copy of GST , PAN and EPF Number a/w latest return",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,336219.0,Sourabh Pathania Govt Contractor,19-Mar-2023 02:03 PM,Accepted-AOC,AWARD,06-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate during last five year and Work In Hand Certificate duly signed by the concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,336227.0,Vijay Kumar,19-Mar-2023 02:25 PM,Rejected-Finance,2nd lowest,04-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form No. 7, 8 duly signed by the contractor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/Undertaking that information furnished with the bid are correct (Name of works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that the contractor has not more than two work in hand (General Rule No. 26.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidder quoted their rates in violation of notification PBW(B)A(3)1/2020-I dt. 07.10.2021 will be deb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
