Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No.2,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding
Technical,Summary,Manish Sehgal,23-Jun-2022 02:32 PM,technical_92158.pdf,1.0,285430.0,GALAXY ASSOCIATE,06-Jun-2022 10:47 AM,Rejected-Finance,Bidder Rank-L3,23-Jul-2022,Finance,Summary,Manish Sehgal,23-Jul-2022 04:38 PM,finance_92158.pdf,BOQ Comparative Chart,1.0,285299.0,Govt. Cont.,INR,"7,811,414",Sh. Manish Sehgal,Internal,,Manish Sehgal,23-Jul-2022 04:39 PM,finsummary_92158.pdf (61.69 KB),05-Jul-2023,"INR 8,091,394.74",365.0,Manish Sehgal,05-Jul-2023 12:37 PM,AOC.pdf (947.00 KB),AOC,PWD,2022_PWD_61053_1,NIT No.4528-88 DT.23-05-2022-Bhawarna,Construction of Additional Accommodation at Govt. Sr. Sec. School Saloh in Distt. Kangra,Sh. Manish Sehgal,Internal,Ashok Kumar Supdt Suresh Kumar HDM Naveen Kumar DAO Manjeet Kumar Jr Asstt,Manish Sehgal,23-Jun-2022 02:35 PM,23-Jun-2022 03:00 PM,techsummary_92158.pdf (411.14 KB),O/o EE Bhawarna Division HPPWD Bhawarna,O/o EE Bhawarna Division HPPWD Bhawarna,"1,92,000",No,fixed,,Nil,Nil,27-May-2022 10:00 AM,06-Jun-2022 11:30 AM,27-May-2022 10:00 AM,06-Jun-2022 11:00 AM,NA ,NA ,27-May-2022 10:30 AM,06-Jun-2022 11:00 AM,23-Jun-2022 03:00 PM,Construction of Additional Accommodation at Govt. Sr. Sec. School Saloh in Distt. Kangra,Construction of Additional Accommodation Building 4 No. Rooms including W.S. and S.I. and rain Harvesting System,Please refer Tender documents. ,NA ,"95,91,447",Civil Works - Buildings,NA ,Tender,75.0,365.0,Bhawarna,176083.0,NA ,NA ,NA ,O/o EE Bhawarna Division HPPWD Bhawarna,No ,No,"2,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of tender form.,1.0,ICICI BANK,PWD,NIT No.4528-88 DT.23-05-2022-Bhawarna,2022_PWD_61053_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No
,,,,,2.0,285299.0,Govt. Cont.,06-Jun-2022 09:35 AM,Accepted-AOC,L1,05-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The valid enlistment/registration of contractor in appropriate class.,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,
,,,,,3.0,285446.0,Shubham thakur,05-Jun-2022 10:33 PM,Rejected-Technical,Non-Responsive,23-Jun-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration and PAN Copy.,,,,,,,,,,,,,,,,
,,,,,4.0,284542.0,TANUJ SHARMA,06-Jun-2022 10:19 AM,Rejected-Finance,Bidder Rank-L4,23-Jul-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD.,,,,,,,,,,,,,,,,
,,,,,5.0,285357.0,vikas parmar,06-Jun-2022 10:56 AM,Rejected-Finance,Bidder Rank-L2,23-Jul-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate as per SBD.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Balance Sheet for the last five years duly signed by CA.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HP.PWD department.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and equipment as per SBD.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the contractor.,,,,,,,,,,,,,,,,
