Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
Providing and laying Annual Surfacing (Periodic Maintenance) on Daroh to Saprul road Km 0/0 to 1/0 (during the year 2020-21) in the state of HP,Providing and laying Tack coat and Bituminous Concrete in Km. 0/0 to 1/0,Please refer Tender documents. ,NA ,"16,31,724",Civil Works - Roads,NA ,Tender,120.0,90.0,Bhawarna,176083.0,NA ,NA ,NA ,EE Bhawarna,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form.In shape of demand draft as per SBD.,500.0,EE Bhawarna,Bhawarna,No,1.0,Corrigendum,Date,,E.E. HPPWD Division Bhawarna,E.E. HPPWD Division Bhawarna,PWD,Daroh to Saprul Km 0.0 to 1.0,2020_PWD_41181_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,29-Sep-2020 02:00 PM,19-Oct-2020 11:30 AM,29-Sep-2020 02:05 PM,19-Oct-2020 11:00 AM,NA ,NA ,29-Sep-2020 02:30 PM,19-Oct-2020 11:00 AM,30-Oct-2020 02:00 PM,"31,400",No,fixed,,EE Bhawarna,Bhawarna,Sh Manish Sehgal,Internal,Joginder Kumar AE to EE Harjeet Singh Supdt Suresh Kumar HDM Suraj Parkash Sr DAO Manjeet Kumar Jr Asstt,Manish Sehgal,30-Oct-2020 12:49 PM,30-Oct-2020 02:00 PM,techsummary_60770.pdf (972.79 KB),PWD,2020_PWD_41181_1,Daroh to Saprul Km 0.0 to 1.0,Providing and laying Annual Surfacing (Periodic Maintenance) on Daroh to Saprul road Km 0/0 to 1/0 (during the year 2020-21) in the state of HP,03-Jul-2023,"INR 2,084,610.45",90.0,Manish Sehgal,03-Jul-2023 03:11 PM,Summary.pdf (120.00 KB),Sh.Manish Sehgal,Internal,,Manish Sehgal,03-Jul-2023 03:10 PM,finsummary_60770.pdf (120.45 KB),Finance,Summary,Manish Sehgal,03-Jul-2023 03:09 PM,finance_60770.pdf,BOQ Comparative Chart,1.0,182918.0,Navneet Thakur,INR,"2,084,610",1.0,181570.0,M/s Kamala Enterprises,08-Oct-2020 08:09 AM,Rejected-AOC,L2,03-Jul-2023,Technical,Bid opening summary,Manish Sehgal,30-Oct-2020 12:46 PM,technical_60770.pdf
,,,,,,,,,,,,,,,,,,,,.pdf,"Earnest money in shape of FDR duly pledged in favour of Executive Engineer, Bhawarna Division, HPPWD",,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,182918.0,Navneet Thakur,18-Oct-2020 07:00 PM,Accepted-AOC,L1,03-Jul-2023,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,181355.0,Sanjeev,06-Oct-2020 10:21 PM,Rejected-Technical,Non-Responsive,30-Oct-2020,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,GST registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HP PWD department.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and equipment as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the contractor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund (EPF) Registration number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
