EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
"1,08,900",No,fixed,,Nil,Nil,Special Repair to BhojnagarBanasar road in Km 0/00 to 12/720,"Special Repair to BhojnagarBanasar road in Km 0/00 to 12/720 SH Providing and Laying Renewal coat by providing 30mm thick Bituminous Concrete, thermoplastic edge line in Km 0/00 to 3/00 Under NHAI Deposit",As per tender documents ,NA ,"54,43,748",Civil Works,NA ,Tender,90.0,NA ,Kasauli,173204.0,NA ,NA ,NA ,Kasauli,No ,No,Executive Engineer Kasauli,Executive Engineer HPPWD Division Kasauli,1.0,Fee/PreQual/Technical,.pdf,IFB,1.0,ICICI BANK,"2,000",Nil,Nil,No,09-Jun-2022 12:10 PM,18-Jun-2022 11:00 AM,09-Jun-2022 12:10 PM,17-Jun-2022 04:00 PM,NA ,NA ,09-Jun-2022 12:15 PM,17-Jun-2022 04:00 PM,31-Aug-2022 05:25 PM,1,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,PWD,2605-15 dated 31.05.2022,2022_PWD_61576_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,PWD,2022_PWD_61576_1,2605-15 dated 31.05.2022,Special Repair to BhojnagarBanasar road in Km 0/00 to 12/720,Er M.L.Sharma,Internal,Sh Dharam Singh HDM Sh Deepak Waila Supdt Gr-II. Sh Vikas Sharma Sr.DAO,Manohar Lal Sharma,31-Aug-2022 05:24 PM,31-Aug-2022 05:25 PM,techsummary_92916.pdf (1353.65 KB),M.L.Sharma,Internal,Sh Dharam Singh HDM Sh Sumit Tanwar Supdt Gr-II Sh Vikas Sharma Sr DAO,Satish Kumar,14-Jul-2023 01:08 PM,finsummary_92916.pdf (595.50 KB),18-Jul-2023,"INR 5,443,748",90.0,Satish Kumar,20-Jul-2023 04:02 PM,AOC250.pdf (1119.00 KB),AOC,1.0,286938.0,Asphalt Carpet Construction Company,17-Jun-2022 01:58 PM,Rejected-Finance,Being L2,14-Jul-2023,Technical,technical summmary,Manohar Lal Sharma,31-Aug-2022 05:22 PM,technical_92916.pdf,Finance,Financial Summary,Satish Kumar,14-Jul-2023 01:05 PM,finance_92916.pdf,BOQ Comparative Chart,1.0,287296.0,BHUPENDER SINGH THAKUR,INR,"4,495,159"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,2,Certificate Details ,Registration Certificate ,Registration Certificate Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,287296.0,BHUPENDER SINGH THAKUR,17-Jun-2022 03:52 PM,Accepted-AOC,work in progress,20-Jul-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,3,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Certificate Details ,Income Tax Certificate ,Income Tax Certificate Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Certificate Details ,Affidavit regarding No Near Relative working in department ,Affidavit regarding No Near Relative working in department ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Financial Details ,Annual Turn over certificates from CA ,Annual Turn over certificates from CA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Financial Details ,Payment Certificates ,"Certificates pertaining to only eligible year for bidcapacity, no tds certificates acceptable, those for which turnover uploaded for Civil Works only ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Litigation Details ,Litigation Details ,Litigation Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
