Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bank Name
13-Jul-2023,"INR 6,640,103",60.0,Ajay Gazta,02-Aug-2023 04:21 PM,awrd.pdf (597.00 KB),Award letter,Er.P.P.Singh,Internal,Financial evaluation summary,Ajay Gazta,13-Jul-2023 04:15 PM,finsummary_111636.pdf (441.43 KB),"Er. Ravi Bhatti, Executive Engineer",Internal,"Sant Ram, Supdt. Gr-II, Jia Lal, Draughtsman, Leela Verma, Sr. Asstt. Sunil Dutt Sharma, Sr. Asstt.",Ravi Bhatti,13-Jun-2023 03:34 PM,14-Jun-2023 10:00 AM,techsummary_111636.pdf (430.75 KB),PWD,2023_PWD_74447_1,THD/CB-tender/2023-2158-72,Annual repair and maintenance of Matiana Baragoan road km 0.00 to 25.00,Technical,Bid Opening Summary,Ravi Bhatti,13-Jun-2023 02:07 PM,technical_111636.pdf,1.0,351839.0,Laiq Ram Chauhan and Sons,05-Jun-2023 10:28 PM,Accepted-AOC,award letter being L1,02-Aug-2023,1.0,351839.0,Laiq Ram Chauhan and Sons,INR,"6,374,487",Finance,Financial bid opening summary,Ajay Gazta,16-Jun-2023 09:18 AM,finance_111636.pdf,BOQ Comparative Chart,Executive Engineer,"Theog Division, H.P.P.W.D.,Theog","1,33,000",No,fixed,,Nil,Nil,Annual repair and maintenance of Matiana Baragoan road km 0.00 to 25.00,Repair of damaged tarred surface including Providing and laying G III between km 4.00 to 14.00,As per GCC ,NA ,"66,40,103",Civil Works - Roads,NA ,Tender,60.0,60.0,Theog Tehsil Theog District Shimla HP,171201.0,NA ,NA ,NA ,Theog Division,No ,No,03-Jun-2023 05:00 PM,12-Jun-2023 11:00 AM,03-Jun-2023 05:00 PM,09-Jun-2023 05:00 PM,NA ,NA ,03-Jun-2023 05:00 PM,09-Jun-2023 05:00 PM,14-Jun-2023 10:00 AM,"2,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt/UTR No. of EMD and cost of tender form,PWD,THD/CB-tender/2023-2158-72,2023_PWD_74447_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,352914.0,RAVINDER CHAUHAN,08-Jun-2023 02:48 PM,Rejected-Finance,Beig higher rates,13-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration Ref. general rule and direction 24.3,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration Ref. general rule and direction 24.4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand Certificate countersigned by EE.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Report of C.A showing total annual volume in the last five years ref. clause 26.2a,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan Card,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tools and plants 24.6 G.R and direction as per Schedule- F ref. clause-18 of GC",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Documents for ownership of such machineries or legal tie-up with the owner of machinery,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No-7/8 in G.C.C. duly signed by the bidder and witnesses,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under EPF and miscellaneous provision Act 1952,,,,,,,,,,,,,,,,
