Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,S.No.1,Category,Sub Category,Sub Category Description,Format/File,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
"2,000",Nil,Nil,No,Special Repair to BhojnagarBanasar road in Km 0/00 to 12/720,"Special Repair to BhojnagarBanasar road in Km 0/00 to 12/720 SH Providing and Laying Renewal coat by providing 30mm thick Bituminous Concrete, thermoplastic edge line in Km 7/00 to 10/00 Under NHAI Deposit",As per tender document ,NA ,"54,83,058",Civil Works,NA ,Tender,90.0,NA ,Kasauli,173204.0,NA ,NA ,NA ,Kasauli,No ,No,PWD,2605-15 dated 31.05.2022,2022_PWD_61581_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer Kasauli,Executive Engineer HPPWD Division Kasauli,1.0,Fee/PreQual/Technical,.pdf,IFB,09-Jun-2022 12:25 PM,18-Jun-2022 11:00 AM,09-Jun-2022 12:25 PM,17-Jun-2022 04:00 PM,NA ,NA ,09-Jun-2022 12:30 PM,17-Jun-2022 04:00 PM,31-Aug-2022 05:30 PM,1.0,ICICI BANK,1,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,"1,09,700",No,fixed,,Nil,Nil,1.0,287294.0,BHUPENDER SINGH THAKUR,INR,"4,495,159",Finance,financial summary,Satish Kumar,14-Jul-2023 01:13 PM,finance_92919.pdf,BOQ Comparative Chart,1.0,287172.0,Asphalt Carpet Construction Company,17-Jun-2022 01:51 PM,Rejected-Finance,Being L2,14-Jul-2023,Technical,technical summary,Manohar Lal Sharma,31-Aug-2022 05:26 PM,technical_92919.pdf,Er M.L.Sharma,Internal,Sh Dharam Singh HDM Sh Deepak Waila Supdt Gr-II. Sh Vikas Sharma Sr.DAO,Manohar Lal Sharma,31-Aug-2022 05:27 PM,31-Aug-2022 05:30 PM,techsummary_92919.pdf (1315.73 KB),PWD,2022_PWD_61581_1,2605-15 dated 31.05.2022,Special Repair to BhojnagarBanasar road in Km 0/00 to 12/720,18-Jul-2023,"INR 5,483,058",90.0,Satish Kumar,19-Jan-2024 12:52 PM,AOC8.pdf (1094.00 KB),AOC,M.L.Sharma,Internal,Sh Dharam Singh HDM Sh Sumit Tanwar Supdt Gr-II Sh Vikas Sharma Sr DAO,Satish Kumar,14-Jul-2023 01:16 PM,finsummary_92919.pdf (918.53 KB)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,2.0,ICICI NEFT/RTGS,2,Certificate Details ,Registration Certificate ,Registration Certificate Details ,,,,,,,,,,,,,,,,,,,2.0,287294.0,BHUPENDER SINGH THAKUR,17-Jun-2022 03:53 PM,Accepted-AOC,work complete,03-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,3,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Certificate Details ,Income Tax Certificate ,Income Tax Certificate Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Certificate Details ,Affidavit regarding No Near Relative working in department ,Affidavit regarding No Near Relative working in department ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Financial Details ,Annual Turn over certificates from CA ,Annual Turn over certificates from CA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Financial Details ,Access of Credit Facility issued by Bankers ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Financial Details ,Undertaking affidavit of bidder to invest minimum cash ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Financial Details ,Payment Certificates ,"Certificates pertaining to only eligible year for bidcapacity, no tds certificates acceptable, those for which turnover uploaded for Civil Works only ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
