Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At
ErSudhirGupta,Internal,ShSureshvermaHDMShManojKumarSupdtShAnilkumarantalsrDAO,Sudhir Kumar Gupta,10-Mar-2023 04:42 PM,13-Mar-2023 11:00 AM,techsummary_105337.pdf (245.03 KB),Technical,Bid opening summary,Sudhir Kumar Gupta,10-Mar-2023 01:55 PM,technical_105337.pdf,1.0,331283.0,AKBAR ANSARI,04-Mar-2023 10:02 PM,Rejected-Finance,2nd Lowest,23-May-2023,Finance,Bid opening summary,Sudhir Kumar Gupta,14-Mar-2023 09:54 AM,finance_105337.pdf,BOQ Comparative Chart,ErParveenverma,Internal,ShSureshKumarHDMShManojKumarSupdtShAnilkumarantalsrDAO,Parveen Kumar Verma,23-May-2023 02:34 PM,finsummary_105337.pdf (171.20 KB),PWD,2023_PWD_69845_13,SD-I-CTR-Tender-2023- 23611-30 dt 24-02-2023,A/R and M/O to various residence qtr under Kasumpti / Brock Hrust Shimla-9 (SH Providing and fixing polycarbonate sheet in balcony various sets pine wood panelling and cup board work in cottage No.10 and Renovation of WC kitchen cup board and floorin,22-Jul-2023,"INR 1,435,827",60.0,Parveen Kumar Verma,22-Jul-2023 03:46 PM,AOC69845_13.pdf (171.00 KB),AOC,1.0,331292.0,BABUDDIN ANSARI,INR,"1,435,827",A/R and M/O to various residence qtr under Kasumpti / Brock Hrust Shimla-9 (SH Providing and fixing polycarbonate sheet in balcony various sets pine wood panelling and cup board work in cottage No.10 and Renovation of WC kitchen cup board and floorin,A/R and M/O to various residence qtr under Kasumpti / Brock Hrust Shimla-9 (SH Providing and fixing polycarbonate sheet in balcony various sets pine wood panelling and cup board work in cottage No.10 and Renovation of WC kitchen cup board and floorin,AS per SBD ,NA ,,Civil Works,NA ,Tender,75.0,60.0,Simla,171103.0,NA ,NA ,NA ,Executive Engineer Division No-IHPPWD Shimla-3,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form with UTR No (as per Schedule F),Executive Engineer Division No-IHPPWD Shimla-3,Executive Engineer Division No-IHPPWD Shimla-3,500.0,Nil,Nil,No,01-Mar-2023 06:00 PM,10-Mar-2023 11:00 AM,01-Mar-2023 06:00 PM,09-Mar-2023 04:00 PM,NA ,NA ,01-Mar-2023 06:00 PM,09-Mar-2023 04:00 PM,13-Mar-2023 11:00 AM,PWD,SD-I-CTR-Tender-2023- 23611-30 dt 24-02-2023,2023_PWD_69845_13,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"28,800",No,fixed,,Nil,Nil
,,,,,,,,,,,,2.0,331292.0,BABUDDIN ANSARI,04-Mar-2023 09:38 PM,Accepted-AOC,Awarded,22-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD with UTR No (As per schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,
,,,,,,,,,,,,3.0,333223.0,MUKESH THAKUR,09-Mar-2023 02:22 PM,Rejected-Technical,no,10-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (Contractor registration (Refer General rule No.18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.16 counter signed by EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate (As per Performa given in General rule No.16 countersigned by EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under EPF and Miscellaneous provision Act. 1952 (latest copy of Return),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 8 (submit the original as per schedule time and date),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.( submit the original as,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
