Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At
28-Jul-2023,"INR 738,408",60.0,Rajeev Kumar,28-Jul-2023 12:23 PM,13058-64.pdf (829.00 KB),Providing X-drainage work on Bhanera Devidehra road Km. 0/0 to 6/0 (SH Construction of Balance work of 6.00 mtr RCC slab culvert at RD 3/050) under missing CD,EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,22-Oct-2022 04:34 PM,finsummary_98515.pdf (130.43 KB),EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,07-Oct-2022 06:51 PM,10-Oct-2022 11:30 AM,techsummary_98515.pdf (231.12 KB),PWD,2022_PWD_65426_6,No.PWC-WA-II/Contract/20-21- 10076-715 dt 16.9.22,Providing X-drainage work on Bhanera Devidehra road Km. 0/0 to 6/0 (SH Construction of Balance work of 6.00 mtr RCC slab culvert at RD 3/050) under missing CD,Technical,BOS,Jeet Singh Thakur,07-Oct-2022 06:49 PM,technical_98515.pdf,1.0,305460.0,Arun Kumar,01-Oct-2022 02:15 PM,Accepted-AOC,Work completed,28-Jul-2023,1.0,305460.0,Arun Kumar,INR,"731,340",Finance,Bid opening Summary,Jeet Singh Thakur,22-Oct-2022 04:30 PM,finance_98515.pdf,BOQ Comparative Chart,Providing X-drainage work on Bhanera Devidehra road Km. 0/0 to 6/0 (SH Construction of Balance work of 6.00 mtr RCC slab culvert at RD 3/050) under missing CD,Providing X-drainage work on Bhanera Devidehra road Km. 0/0 to 6/0 (SH Construction of Balance work of 6.00 mtr RCC slab culvert at RD 3/050) under missing CD,Please refer Tender documents. ,NA ,"7,38,408",Civil Works,NA ,Tender,75.0,60.0,Chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD Chamba,No ,No,1.0,ICICI BANK,PWD,No.PWC-WA-II/Contract/20-21- 10076-715 dt 16.9.22,2022_PWD_65426_6,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Due Date Extended (30-Sep-2022),Admin Corrigendum Date Extend,,Executive Engineer Chamba Division HPPWD Chamba,Executive Engineer Chamba Division HPPWD Chamba,350.0,Nil,Nil,No,23-Sep-2022 01:00 PM,03-Oct-2022 11:30 AM,23-Sep-2022 01:00 PM,01-Oct-2022 05:00 PM,NA ,NA ,23-Sep-2022 01:00 PM,01-Oct-2022 05:00 PM,10-Oct-2022 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form only mode through e-payment,"14,800",No,fixed,,Nil,Nil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,305322.0,Atul Rathore,30-Sep-2022 04:59 PM,Rejected-Finance,3rd lowest,22-Oct-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money only mode through e-payment,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,305472.0,Pawan Kumar Govt Contractor,01-Oct-2022 03:13 PM,Rejected-Finance,2nd lowest,22-Oct-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule and directions No.20 and as per invitation of bid ),,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of valid GST registration,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of ongoing work/Work in hand,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail of machinery, documentary proof",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HP.PWD form -7/8 duly signed by the contractor,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit /undertaking that information furnished with the bid is correct in all respect.,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN No.,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,
