EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
"5,54,790",No,fixed,,Nil,Nil,28-Jun-2023 10:00 AM,08-Jul-2023 11:00 AM,28-Jun-2023 10:00 AM,08-Jul-2023 09:00 AM,NA ,NA ,28-Jun-2023 10:00 AM,08-Jul-2023 09:00 AM,11-Jul-2023 04:55 PM,"5,000",Nil,Nil,No,"Re-Construction on old line of Annadale view building (Honble Speaker residence) at Chaura Maidan Shimla. (SH- Civil work, W.S. and S.I. works, site development works, rain Harvesting tank, and dismantling works etc.).","Re-Construction on old line of Annadale view building (Honble Speaker residence) at Chaura Maidan Shimla. (SH- Civil work, W.S. and S.I. works, site development works, rain Harvesting tank, and dismantling works etc.).",As per SBD ,NA ,,Civil Works - Buildings,NA ,Tender,75.0,365.0,Annadale View,171004.0,NA ,NA ,NA ,"Executive Engineer Shimla Division No.IIIHP.PWD.,",No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document as per schedule F (6.3) and Earnest Money as per schedule F (6.5),"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",1.0,Corrigendum 1,Other,,1.0,ICICI BANK,PWD,SD-III-T-4936-55dt.17-6-2023,2023_PWD_75560_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,PWD,2023_PWD_75560_1,SD-III-T-4936-55dt.17-6-2023,"Re-Construction on old line of Annadale view building (Honble Speaker residence) at Chaura Maidan Shimla. (SH- Civil work, W.S. and S.I. works, site development works, rain Harvesting tank, and dismantling works etc.).",PKVermaE.E.,Internal,SanjeevChauhanSupdt.KamleshMehtaHDMDeepakSharmaSr.DAO,Bhupender Singh,11-Jul-2023 04:50 PM,11-Jul-2023 04:55 PM,techsummary_113181.pdf (819.89 KB),PKVermaE.E.,Internal,SanjeevChauhanSupdt.KamleshMehtaHDMDeepakSharmaSr.DAO,Bhupender Singh,12-Jul-2023 04:59 PM,finsummary_113181.pdf (274.98 KB),24-Jul-2023,"INR 27,739,488",365.0,Parveen Kumar Verma,09-Oct-2023 04:09 PM,GANGTAAOC.pdf (808.00 KB),AOC,1.0,359073.0,Kamal Gangta Contractor,INR,"24,896,154",Finance,BOS,Parveen Kumar Verma,11-Jul-2023 05:09 PM,finance_113181.pdf,BOQ Comparative Chart,1.0,358919.0,A.G.CONSTRUCTIONS,06-Jul-2023 10:19 PM,Rejected-Finance,L2,12-Jul-2023,Technical,BOS,Bhupender Singh,11-Jul-2023 04:46 PM,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration as per general Rule 23 and as per invitation of bid.,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,359073.0,Kamal Gangta Contractor,07-Jul-2023 01:01 PM,Accepted-AOC,L1,09-Oct-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration as per General Rule No 21. Copy of GST No./ Copy of Tin No. and Copy of PAN Card.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,359080.0,Om Parkash Sharma,07-Jul-2023 10:39 AM,Rejected-Finance,L3,12-Jul-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HP.PWD Form No-7/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Gazetted and non-Gazetted HPPWD employees related to him (General Rule No 16).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit of no relative working in PWD, Information furnished in the bid is correct in all respect.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Machinery Tools plant and ownership as per sr. No. 6.19 of schedule F Clause 18.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum Turnover for last Five years as given by CA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per schedule F (6.9) and Work in hand certificate as per schedule F (6.10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
