Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder
HP SIDC Limited,2022_SIDC_65934_1,Job No. 2,Development of Medical Device Park at Nalagarh Distt. Solan (SH- Formation cutting Phase-II).,SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,29-Apr-2023 11:58 AM,finsummary_99233.pdf (111.93 KB),1.0,307354.0,Dinesh Kumar Sharma Const. (P) Ltd,INR,"543,676,900",04-Jul-2023,"INR 543,676,900",180.0,Sushant Singh Negi,18-Jul-2023 09:52 AM,dkphasetwo.pdf (1329.00 KB),Award letter,1.0,306938.0,ANS Constructions Ltd,10-Oct-2022 01:57 PM,Rejected-Finance,Third lowest bidder,29-Apr-2023,Technical,Tender summary,BHUP SINGH,11-Oct-2022 01:19 PM,technical_99233.pdf,SE,Internal,"Draughtsman, Manager Finance, EE MDP, EE HQ",Sushant Singh Negi,26-Apr-2023 05:46 PM,27-Apr-2023 03:00 PM,techsummary_99233.pdf (780.69 KB),Finance,Financial summary,Sushant Singh Negi,29-Apr-2023 11:40 AM,finance_99233.pdf,BOQ Comparative Chart,HP SIDC Limited,Job No. 2,2022_SIDC_65934_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor registration (as per tender condition) Joint Venture/ Consortium,"5,900",Nil,Nil,No,"1,55,33,000",No,fixed,,Nil,Nil,03-Oct-2022 12:10 PM,11-Oct-2022 11:00 AM,03-Oct-2022 12:10 PM,10-Oct-2022 05:00 PM,NA ,NA ,03-Oct-2022 12:10 PM,10-Oct-2022 05:00 PM,27-Apr-2023 03:00 PM,1.0,ICICI BANK,Executive Engineer,HPSIDC Shimla,Development of Medical Device Park at Nalagarh Distt. Solan (SH- Formation cutting Phase-II).,(SH- Formation cutting Phase-II).,Please refer Tender documents. ,NA ,"77,66,38,955",Civil Works - Roads,NA ,Tender,120.0,180.0,Nalagarh (MDP),174101.0,NA ,NA ,NA ,HPSIDC Shimla,No ,No
,,,,,,,,,,,,,,,,,,,,,,2.0,306571.0,Braithwaite & Company Limited,10-Oct-2022 04:00 PM,Rejected-Technical,Requisite documents of ConsortiumPartner is n ot attached,26-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Signed copy of agreement form,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,3.0,307354.0,Dinesh Kumar Sharma Const. (P) Ltd,10-Oct-2022 02:25 PM,Accepted-AOC,AOC,18-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,4.0,306665.0,RAJINDER INFRASTRUCTURE PVT LTD.,10-Oct-2022 04:44 PM,Rejected-Finance,Second lowest bidder,29-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of work done certificate (as per tender conditions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of existing commitments / ongoing work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial Turnover (last five years with breakup) and bid capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Details of machineries equipments/ skilled engineers/ technical staff (point 6 TQC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
