Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Instrument Type,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
30-Apr-2020,"INR 1,358,525",180.0,Rattan Kumar Sharma,30-Apr-2020 12:22 PM,89.pdf (1660.00 KB),AOC,Executive Engineer,Internal,SUPERINTENDENT G-II DAO DHD TENDER ASSISTANT,Rattan Kumar Sharma,30-Apr-2020 12:21 PM,finsummary_50953.pdf (242.11 KB),Executive Engineer,Internal,Superintendent G-II DHD DAO,Rattan Kumar Sharma,05-Mar-2020 12:31 PM,05-Mar-2020 01:00 PM,techsummary_50953.pdf (709.97 KB),PWD,2020_PWD_34760_3,10364-10414 dated 29.01.2020,R and M/O link road to village Kainthu km. 0/00 to 0/500.,Technical,Summary,Rattan Kumar Sharma,03-Mar-2020 02:50 PM,technical_50953.pdf,1.0,151462.0,Dalip Singh Rana,27-Feb-2020 01:30 PM,Rejected-Finance,NOT THE LOWEST BIDDER,30-Apr-2020 12:21 PM,1.0,151324.0,Joginder Singh,INR,"1,894,173",Finance,Summary,Rattan Kumar Sharma,06-Mar-2020 11:07 AM,finance_50953.pdf,BOQ Comparative Chart,AOC,1.0,Corrigendum,Other,,"27,200",No,fixed,,"Executive Engineer, HPPWD Division Sangrah",UCO Bank Sangrah,13-Feb-2020 02:00 PM,28-Feb-2020 11:30 AM,13-Feb-2020 02:00 PM,27-Feb-2020 05:00 PM,NA ,NA ,13-Feb-2020 02:00 PM,27-Feb-2020 05:00 PM,05-Mar-2020 01:00 PM,PWD,10364-10414 dated 29.01.2020,2020_PWD_34760_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,R and M/O link road to village Kainthu km. 0/00 to 0/500.,"P/L WBM G-1 ,G-ll and M/T 0/00 to 0/500, C/O 900 mm dia hume Pipe Culvert at RD 0/330, C/O Retaining Wall at RD 0/450 to 0/460, C/O Essential Parapets at various RDs and C/O Road Side Drain 0/00 to 0/500 )",Please refer Tender documents. ,NA ,"13,58,525",Civil Works,NA ,Tender,90.0,180.0,Sangrah,173023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Sangrah",No ,No,1.0,DD - Demand Draft,"Executive Engineer, HPPWD Division Sangrah","Executive Engineer, HPPWD Division Sangrah",500.0,"Executive Engineer, HPPWD Division Sangrah",UCO Bank Sangrah,No,1.0,Fee/PreQual/Technical,.pdf,26.1. COST OF TENDER,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,151430.0,INDER SINGH,27-Feb-2020 12:13 PM,Rejected-Technical,Not Qualified,05-Mar-2020 12:31 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,.pdf,26.2.EARNEST MONEY,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,151316.0,JAGMOHAN CHAUHAN,26-Feb-2020 07:29 PM,Rejected-Finance,NOT THE LOWEST BIDDER,30-Apr-2020 12:21 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,26.3.CONTRACTORS REGISTRATION,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,151324.0,Joginder Singh,26-Feb-2020 07:59 PM,Accepted-AOC,AOC,30-Apr-2020 12:22 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,26.4.GST REGISTRATION,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,151344.0,vijay singh thakur,26-Feb-2020 11:05 PM,Rejected-Technical,Not Qualified,05-Mar-2020 12:31 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"26.6. LIST OF MACHINERY ,TOOL,PLANT",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,26.7. Form 8,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Number,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT REGARDING CORRECTNESS OF BID,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ANY ADDITIONAL INFORMATION MENTIONED IN SCHEDULE D,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,26.7 BILL OF QUANTITY,AOC
