Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
14-Apr-2020,"INR 1,056,061",180.0,Satish Kumar,14-Apr-2020 11:33 AM,45.pdf (227.00 KB),AOC,Er Rajesh Kumar,Internal,Er Satish Kumar AE Subathu Sh ParamJit singh Grover DAO Sh Amar nath Arora HDM Sh Ved Prakash Sharma Supdt GrII,Satish Kumar,03-Jul-2019 03:50 PM,finsummary_42627.pdf (57.55 KB),Er Rajesh Kumar,Internal,Er Satish Kumar AE Subathu Sh Paramjit Singh Grover DAO Sh Amar Nath Arora HDM Sh Ved Prakash Sharma Supdt GrII,Satish Kumar,03-Jul-2019 12:13 PM,03-Jul-2019 12:20 PM,techsummary_42627.pdf (62.58 KB),PWD,2019_PWD_29453_1,no/PW/Ksli/NIT19-20-2657-62 dt 13-6-19,C/o Missing Culvert on NH-22 in km62/200 to 67/200,Technical,Bid Opening Summary,Satish Kumar,03-Jul-2019 12:01 PM,technical_42627.pdf,1.0,123233.0,Nishant Rattan,27-Jun-2019 09:38 PM,Rejected-AOC,not lowest,14-Apr-2020 11:33 AM,Finance,Financial bid opening summary,Satish Kumar,03-Jul-2019 03:45 PM,finance_42627.pdf,BOQ Comparative Chart,1.0,123254.0,Sanjay Kumar,INR,"1,195,279",AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F 6.3),C/o Missing Culvert on NH-22 in km62/200 to 67/200,C/O of Missing Culvert on OLd NH-22 SH C/O 4.50 meter span RCC Slab Culvert at Rd 62/625,Please refer Tender documents. ,NA ,"10,56,061",Civil Works,NA ,Tender,90.0,180.0,Kasauli,173204.0,NA ,NA ,NA ,Kasauli,No ,No,"21,150",No,fixed,,EE Kasauli,Kasauli,EE Kasauli,EE Kasauli Division HPPWD Kasauli,500.0,EE Kasauli,Kasauli,No,PWD,no/PW/Ksli/NIT19-20-2657-62 dt 13-6-19,2019_PWD_29453_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,18-Jun-2019 12:00 PM,29-Jun-2019 11:00 AM,18-Jun-2019 12:30 PM,28-Jun-2019 04:00 PM,NA ,NA ,18-Jun-2019 12:30 PM,28-Jun-2019 04:00 PM,03-Jul-2019 12:20 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,123263.0,RAM CHAND,28-Jun-2019 12:47 PM,Rejected-AOC,not lowest,14-Apr-2020 11:33 AM,,,,,,,,,,,,AOC,,,.pdf,Earnest Money Deposit (As per schedule F 6.5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,123254.0,Sanjay Kumar,28-Jun-2019 12:02 PM,Accepted-AOC,lowest tender,14-Apr-2020 11:33 AM,,,,,,,,,,,,AOC,,,.pdf,Contractor registration (Refer General rule No.23 and as per invitation of bid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,123274.0,Vikram Thakur,28-Jun-2019 02:01 PM,Rejected-AOC,not lowest,14-Apr-2020 11:33 AM,,,,,,,,,,,,AOC,,,.pdf,Sales tax registration (Refer General rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work done certificate (As per Performa given in General rule No.19 ).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form No. 8 duly signed (Refer General rule No 26.7).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
