Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
EE HPPWD Kasauli,EE HPPWD Kasauli,29-Jan-2020 10:00 AM,14-Feb-2020 11:00 AM,29-Jan-2020 11:00 AM,13-Feb-2020 04:00 PM,NA ,NA ,29-Jan-2020 11:00 AM,13-Feb-2020 04:00 PM,18-Feb-2020 04:10 PM,"25,000",No,fixed,,EE Kasauli,Kasauli,Imrovement of road NCAP multi time liner to clear in 102 cities road from Parwanoo Kamli khadeen road in km 0/0 to 6/0,Imrovement of road NCAP multi time liner to clear in 102 cities road from Parwanoo Kamli khadeen road in km 0/0 to 6/0SH P/L paver block side drain at Rd 0/0 to 0/525,Please refer Tender documents. ,NA ,"12,48,510",Civil Works,NA ,Tender,90.0,60.0,Kasauli,173204.0,NA ,NA ,NA ,EE HPPWD Kasauli,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F 6.3),500.0,EE Kasauli,Kasauli,No,1.0,DD - Demand Draft,PWD,No/Ksli./NIT/19-20-17330-38dt 20/1/20,2020_PWD_34340_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,1.0,149190.0,VIPIN KUMAR GUPTA,INR,"1,427,091",Finance,Financial bid opening,Satish Kumar,18-Feb-2020 05:46 PM,finance_50016.pdf,BOQ Comparative Chart,1.0,149167.0,CHINT RAM SHARMA,12-Feb-2020 07:41 PM,Rejected-AOC,Not Lowest,20-Apr-2020 01:58 PM,Technical,Bid Opening Summary,Satish Kumar,18-Feb-2020 03:55 PM,technical_50016.pdf,Er Rajesh Kumar,Internal,Er Satish Kumar AE Subathu Sh Amar nath Arora HDM Sh Deepak Walia Supdt Gr-II,Satish Kumar,18-Feb-2020 04:03 PM,18-Feb-2020 04:10 PM,techsummary_50016.pdf (66.20 KB),PWD,2020_PWD_34340_1,No/Ksli./NIT/19-20-17330-38dt 20/1/20,Imrovement of road NCAP multi time liner to clear in 102 cities road from Parwanoo Kamli khadeen road in km 0/0 to 6/0,20-Apr-2020,"INR 1,248,510",60.0,Satish Kumar,20-Apr-2020 01:58 PM,637.pdf (208.00 KB),AOC,ErRajesh Kumar,Internal,Er Satish kumar AE Subathu Sh Amar Nath Arora HDM Sh Deepak Walia Supdt Gr-Ii,Satish Kumar,18-Feb-2020 05:49 PM,finsummary_50016.pdf (57.46 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (As per schedule F 6.5),,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,149053.0,Devinder Kumar,13-Feb-2020 10:22 AM,Rejected-AOC,Not Lowest,20-Apr-2020 01:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23 and as per invitation of bid),,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,149098.0,NAND LAL SHARMA,12-Feb-2020 10:20 PM,Rejected-AOC,Not Lowest,20-Apr-2020 01:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.19 ).,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4.0,148981.0,R B Contructions,11-Feb-2020 03:44 PM,Rejected-AOC,Not Lowest,20-Apr-2020 01:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,5.0,149164.0,Vikram Thakur,12-Feb-2020 02:49 PM,Rejected-AOC,Not Lowest,20-Apr-2020 01:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 duly signed (Refer General rule No 26.7).,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,6.0,149190.0,VIPIN KUMAR GUPTA,12-Feb-2020 06:13 PM,Accepted-AOC,Lowest Tender,20-Apr-2020 01:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
