Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,S.No,Category,Sub Category,Sub Category Description,Format/File,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Instrument Type,S.No.2,Corrigendum Title,Corrigendum Type,View,Tender Stage
"Chief Engineer, Hamirpur Zone",Internal,C.EHZ SED SE10th EE D EE Ghumarwin Joint controller Superintendent,Manohar Lal Sharma,28-Apr-2020 05:09 PM,finsummary_48070.pdf (1105.88 KB),28-Apr-2020,"INR 475,200,000",730.0,Manohar Lal Sharma,28-Apr-2020 05:16 PM,LOACRFbridge.PDF (797.00 KB),LOA,PWD,2019_PWD_33380_1,C/o 330.00 mtr. span double lane Bridge,Upgradation of Panol Jhandutta Nand Nagroun road,"Chief Engineer, Hamirpur Zone",Internal,"Supdt.CTR, Executive Engineer Ghumarwin Division, Executive Engineer(D) CE(HZ),S.E(Bilaspur),S.E(D) CE(HZ)",Manohar Lal Sharma,26-Feb-2020 11:25 AM,02-Mar-2020 03:30 PM,techsummary_48070.pdf (2113.05 KB),Technical,Technical opening bid summary,Manohar Lal Sharma,05-Feb-2020 02:22 PM,technical_48070.pdf,1.0,146703.0,Ajay Kumar Sharma,26-Jan-2020 05:02 PM,Rejected-AOC,Attached,28-Apr-2020 05:16 PM,1.0,145333.0,Sai Engineering Foundation,INR,"475,200,000",Finance,Attached,Manohar Lal Sharma,03-Mar-2020 12:02 PM,finance_48070.pdf,BOQ Comparative Chart,AOC,SE Bilaspur,10th Circle Bilaspur,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,"42,00,000",Yes,fixed,,EE Ghumarwin,SE Bilaspur,14-Dec-2019 11:00 AM,27-Jan-2020 11:00 AM,14-Dec-2019 11:30 AM,27-Jan-2020 10:00 AM,14-Dec-2019 11:30 AM ,19-Dec-2019 11:00 AM ,14-Dec-2019 11:30 AM,27-Jan-2020 10:00 AM,02-Mar-2020 03:30 PM,PWD,C/o 330.00 mtr. span double lane Bridge,2019_PWD_33380_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of form,Upgradation of Panol Jhandutta Nand Nagroun road,330.00 mtr span double lane Bridge ic footpaths on back water of Govind Sager Lake on Panol-Jhandutta Nand-Nagroun road at Nand Nagroun including approaches from chainage 18.650 to 19.050 and chainage 19.380 to 19.470 on EPC mode Under Central Ro,Please refer Tender documents. ,NA ,"42,30,00,000",Civil Works - Bridges,NA ,Tender,120.0,730.0,Ghumarwin,174021.0,Chief Engineer Hamirpur ,CEHZ Hamirpur ,09-Jan-2020 11:00 AM ,SE Bilaspur,No ,No,"12,000",EE Ghumarwin,SE Bilaspur,Yes,1.0,DD - Demand Draft,1.0,Addenda-Corrogemdum-6,Date,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,145333.0,Sai Engineering Foundation,26-Jan-2020 09:03 PM,Accepted-AOC,Attached,28-Apr-2020 05:16 PM,,,,,,,,,,,,AOC,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Security,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,2.0,Change in BOQ Column No 13 and 53,Financial Bid,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,145472.0,V K Gupta and Associates,27-Jan-2020 09:18 AM,Rejected-AOC,Attached,28-Apr-2020 05:16 PM,,,,,,,,,,,,AOC,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Registration,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Addenda-Corrigendum-8,Other,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual Turnover last five year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,5.0,Miscellaneous ,Laboratory Equipment Details ,Laboratory Equipment Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,6.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Credit facility duly issued by bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,7.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery plants and equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding any litigation case of arbitration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Balance sheet last five year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
