Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Technical,Bid Opening Summary,Satish Kumar,18-Feb-2020 12:17 PM,technical_50043.pdf,1.0,149300.0,chand kamal sharma contractor,13-Feb-2020 03:42 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,18-Feb-2020 12:17 PM,1.0,149235.0,KEWAL KRISHAN,INR,"1,707,321",Finance,Financial Bid Opening Summary,Satish Kumar,18-Feb-2020 06:26 PM,finance_50043.pdf,BOQ Comparative Chart,Er Rajesh Kumar,Internal,Er Satish Kumar AE Subathu Sh Amar Nath Arora HDM Sh Deepak Walia Supdt Gr-II,Satish Kumar,18-Feb-2020 06:32 PM,finsummary_50043.pdf (55.11 KB),20-Apr-2020,"INR 1,378,705",60.0,Satish Kumar,20-Apr-2020 01:51 PM,636.pdf (211.00 KB),AOC,PWD,2020_PWD_34347_1,No/Ksli/NIT-19-20-17330-38dt 20/1/20,Restoration of rain damage link road to village Taksal in km 0/0 to 2/100,ErRajesh Kumar,Internal,Er Satish Kumar AE Subathu,Satish Kumar,18-Feb-2020 01:11 PM,18-Feb-2020 01:15 PM,techsummary_50043.pdf (63.92 KB),AOC,500.0,EE HPPWD Kasauli,Kasauli,No,PWD,No/Ksli/NIT-19-20-17330-38dt 20/1/20,2020_PWD_34347_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"27,600",No,fixed,,EE HPPWD Kasauli,Kasauli,29-Jan-2020 10:00 AM,14-Feb-2020 11:00 AM,29-Jan-2020 11:00 AM,13-Feb-2020 04:00 PM,NA ,NA ,29-Jan-2020 11:00 AM,13-Feb-2020 04:00 PM,18-Feb-2020 01:15 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F 6.3),1.0,DD - Demand Draft,EE HPPWD Kasauli,EE HPPWD Kasauli,Restoration of rain damage link road to village Taksal in km 0/0 to 2/100,Restoration of rain damage link road to village Taksal in km 0/0 to 2/100 SH Repair of pot holes and P/L interlocking tile pavement from at Rd 1/250 to 1/675 under OFC,Please refer Tender documents. ,NA ,"13,78,705",Civil Works,NA ,Tender,90.0,60.0,Kasauli,173204.0,NA ,NA ,NA ,EE HPPWD Kasauli,No ,No,AOC
,,,,,2.0,149235.0,KEWAL KRISHAN,12-Feb-2020 08:18 PM,Accepted-AOC,Lowest Tender,20-Apr-2020 01:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (As per schedule F 6.5),2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,149241.0,LALIT VERMA,13-Feb-2020 12:40 PM,Rejected-AOC,Not Lowest,20-Apr-2020 01:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23 and as per invitation of bid),,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.19 ).,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 duly signed (Refer General rule No 26.7).,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial,,,,,,,,,,,,,,,,,,,,,,,AOC
