Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Tender Stage
PWD,2019_PWD_31054_1,no/PW/ksli/NIT/19-20-7386-96 dated 13/8/19,C/O road Kharayana to Ranopul via Kothi G P Deothi in km 0/0 to 2/460,Er Rajesh kumar,Internal,Er Satish Kumar Sharma AE Subathu Sh Amar nath Arora HDM Sh Ved Prakash Sharma Supdt Gr-II,Satish Kumar,13-Sep-2019 12:10 PM,13-Sep-2019 12:15 PM,techsummary_44706.pdf (59.84 KB),Finance,Financial Bid Opening Summary,Satish Kumar,13-Sep-2019 01:28 PM,finance_44706.pdf,BOQ Comparative Chart,Technical,Bid Opening Summary,Satish Kumar,13-Sep-2019 11:47 AM,technical_44706.pdf,1.0,130480.0,Amar Lal,11-Sep-2019 03:17 PM,Rejected-AOC,Not Lowest,14-Apr-2020 02:00 PM,AOC,"1,500",EE Kasauli,Kasauli,No,PWD,no/PW/ksli/NIT/19-20-7386-96 dated 13/8/19,2019_PWD_31054_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"63,600",No,fixed,,EE Kasauli,Kasauli,C/O road Kharayana to Ranopul via Kothi G P Deothi in km 0/0 to 2/460,C/O road Kharyana to Ranopul via kothi G P Deothi SH C/O formation deficiency R/Wall Providing x drainage work and slab culvert WBM Gr-I kacha side drain and parapets in km 0/0 to 2/460 under NABARD RIDF XX,Please refer Tender documents. ,NA ,"37,38,019",Civil Works,NA ,Tender,105.0,180.0,Subathu,173206.0,NA ,NA ,NA ,Kasauli,No ,No,EE HPPWD Kasauli,EE HPPWD Kasauli,28-Aug-2019 10:00 AM,12-Sep-2019 11:00 AM,28-Aug-2019 11:00 AM,11-Sep-2019 04:00 PM,NA ,NA ,28-Aug-2019 11:00 AM,11-Sep-2019 04:00 PM,13-Sep-2019 12:15 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F 6.3),1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,130370.0,Sanjay Kumar,10-Sep-2019 07:16 PM,Rejected-AOC,Not Lowest,14-Apr-2020 02:00 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (As per schedule F 6.5),2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,,,,,,3.0,130268.0,suman kumar sharma,11-Sep-2019 07:12 AM,Rejected-AOC,Not Lowest,14-Apr-2020 02:00 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23 and as per invitation of bid),,,AOC
,,,,,,,,,,,,,,,,,,,,,,4.0,130313.0,SUNIL THAKUR,10-Sep-2019 07:01 PM,Accepted-AOC,Lowest Tender,14-Apr-2020 02:00 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.19 ).,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 duly signed (Refer General rule No 26.7).,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial,,,AOC
