Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Er Rajesh kumar,Internal,Er Satish Kumar AE Subathu Sh P S Grover DAO Sh A N Arora HDM Sh V P Sharma Supdt Gr II,Satish Kumar,31-Jul-2019 10:45 AM,finsummary_43356.pdf (58.64 KB),14-Apr-2020,"INR 790,767",90.0,Satish Kumar,14-Apr-2020 12:01 PM,184.pdf (213.00 KB),AOC,PWD,2019_PWD_30036_1,No/PW/Ksli/NIT-19-20-3533-42 dt 2/7/19,c/o link road Jagtawan to Roper in km 0/0 to 1/300,Er Rajesh kumar,Internal,Er Satish Kumar AE Subathu Sh Paramjit Singh Grover DAO Sh Amar Nath Arora HDM Sh Ved Prakash Sharma Supdt Gr II,Satish Kumar,30-Jul-2019 12:09 PM,30-Jul-2019 12:15 PM,techsummary_43356.pdf (63.91 KB),Technical,Bid opening Summary,Satish Kumar,30-Jul-2019 11:43 AM,technical_43356.pdf,1.0,125766.0,Rakesh Thakur,24-Jul-2019 01:01 PM,Rejected-AOC,not Lowest,14-Apr-2020 12:01 PM,1.0,125135.0,RAM CHAND,INR,"922,070",Finance,Financial Bid Opening,Satish Kumar,31-Jul-2019 10:43 AM,finance_43356.pdf,BOQ Comparative Chart,AOC,"16,000",No,fixed,,EE Kasauli,Kasauli,350.0,EE Kasauli,Kasauli,No,1.0,DD - Demand Draft,PWD,No/PW/Ksli/NIT-19-20-3533-42 dt 2/7/19,2019_PWD_30036_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,EE Kasdauli HPPWD,EE HPPWD Kasauli,11-Jul-2019 10:00 AM,25-Jul-2019 11:00 AM,11-Jul-2019 11:00 AM,24-Jul-2019 04:00 PM,NA ,NA ,11-Jul-2019 11:00 AM,24-Jul-2019 04:00 PM,30-Jul-2019 12:15 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F 6.3),c/o link road Jagtawan to Roper in km 0/0 to 1/300,C/O link road Jagtawan to Roper SH P/L Gr-III and Tarring work in km 0/0 to 1/300,Please refer Tender documents. ,NA ,"7,90,767",Civil Works,NA ,Tender,90.0,90.0,Kasauli,173204.0,NA ,NA ,NA ,Kasauli,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,125135.0,RAM CHAND,18-Jul-2019 05:42 PM,Accepted-AOC,Lowest tender,14-Apr-2020 12:01 PM,,,,,,,,,,,,AOC,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (As per schedule F 6.5),,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,125145.0,SANSAR CHAND,18-Jul-2019 06:23 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,30-Jul-2019 11:43 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23 and as per invitation of bid),,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,125870.0,YOG RAJ SHARMA,24-Jul-2019 02:11 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,30-Jul-2019 11:43 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sales tax registration (Refer General rule No.21),,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.19 ).,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 duly signed (Refer General rule No 26.7).,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST,,,,,,,,,,,,,,,,,,,AOC
