Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,S.No.1,Category,Sub Category,Sub Category Description,Format/File,S.No.2,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
500.0,EO MC KULLU,MC KULLU,No,"1,42,253",No,fixed,,EO MC KULLU,MC KULLU,23-Oct-2019 04:00 PM,06-Nov-2019 04:30 PM,23-Oct-2019 04:00 PM,06-Nov-2019 03:00 PM,23-Oct-2019 04:00 PM ,06-Nov-2019 12:00 PM ,23-Oct-2019 05:00 PM,06-Nov-2019 03:00 PM,16-Nov-2019 05:30 PM,1.0,Fee/PreQual/Technical,.pdf,ITB,Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Kullu - UDDHP,MCK/TEND/19/104,2019_UDDHP_32239_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,1.0,CORRIGENDUM,Other,,EO MC KULLU,EO MC KULLU,1,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,DD - Demand Draft,Construction of Footpath at ward-7,Construction of Footpath at ward-7,Please refer Tender documents. ,NA ,"71,12,654",Civil Works,NA ,Tender,165.0,210.0,Kullu,175101.0,MC KULLU ,MC KULLU ,31-Oct-2019 03:00 PM ,MC KULLU,No ,No,AOC,Finance,BID 135649 IS FOUND TO BE L1,Tej Singh Thakur,07-Apr-2020 01:28 PM,finance_46367.pdf,BOQ Comparative Chart,Technical,TECHNICALLY ACCEPTED,Tej Singh Thakur,16-Nov-2019 05:11 PM,technical_46367.pdf,07-Apr-2020,"INR 8,411,516.05",210.0,Tej Singh Thakur,07-Apr-2020 01:59 PM,LOA.pdf (972.00 KB),CONTRACT AWARDED,VPRESIDENTGKPRESIDENT,Internal,VICEPRESIDENTGKMAHANTAETSTHAKURDRAUGTSMANJIWANAND,Tej Singh Thakur,16-Nov-2019 05:14 PM,16-Nov-2019 05:30 PM,techsummary_46367.pdf (194.67 KB),1.0,135649.0,DINA NATH,05-Nov-2019 08:36 PM,Accepted-AOC,L1,07-Apr-2020 01:59 PM,GOPAL KISHAN MAHANT,Internal,VPRESIDENT GOPAL KISHAN MAHANT EO MITTER DEVME TEJ SINGH THAKUR DRAUGHTSMANJIWANAND THAJUR,Tej Singh Thakur,07-Apr-2020 01:45 PM,finsummary_46367.pdf (196.76 KB),Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Kullu - UDDHP,2019_UDDHP_32239_1,MCK/TEND/19/104,Construction of Footpath at ward-7,1.0,135649.0,DINA NATH,INR,"8,411,516.05",AOC
,,,,,,,,,,,,,,,,,,,,,.pdf,TECHNICAL SPECIFICATIONS,,,,,,,,,,,,,,,,,,,,,2,Certificate Details ,Registration Certificate ,Registration Certificate Details ,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,135532.0,PAVING STONE INDIA PVT. LTD.,06-Nov-2019 11:26 AM,Not Admitted-Finance,Not qualified for AOC,07-Apr-2020 01:28 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,.pdf,NOTICE,,,,,,,,,,,,,,,,,,,,,3,Certificate Details ,Income Tax Certificate ,Income Tax Certificate Details ,,3.0,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,135610.0,RANDHIR JAMWAL,05-Nov-2019 06:06 PM,Not Admitted-Finance,Not qualified for AOC,07-Apr-2020 01:28 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,.pdf,DRAWINGS,,,,,,,,,,,,,,,,,,,,,4,Certificate Details ,Labour License ,Labour License ,,4.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,135754.0,SANJEEV KUMAR,06-Nov-2019 01:06 PM,Not Admitted-Finance,Not qualified for AOC,07-Apr-2020 01:28 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,5,Financial Details ,Annual Turn Over Details ,Annual Turn Over Details ,HP_Turnover.xls,5.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,135767.0,SATISH KUMAR,06-Nov-2019 02:58 PM,Not Admitted-Finance,Not qualified for AOC,07-Apr-2020 01:28 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Financial Details ,P/ L and Balance Sheet 2008-2009 ,P/ L and Balance Sheet 2008-2009 ,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Financial Details ,P/ L and Balance Sheet 2009-2010 ,P/ L and Balance Sheet 2009-2010 ,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Financial Details ,P/L and Balance Sheet 2010-2011 ,P/L and Balance Sheet 2010-2011 ,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Man Power Details ,Details of Technical Manpower ,Details of Technical Manpower ,HP_TechnicalManPowerDetails.xls,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
