Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Category,Sub Category,Sub Category Description,Format/File,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Corrigendum Title,Corrigendum Type,View,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
23-Oct-2019 04:00 PM,06-Nov-2019 04:30 PM,23-Oct-2019 04:00 PM,06-Nov-2019 03:00 PM,23-Oct-2019 04:00 PM ,06-Nov-2019 12:00 PM ,23-Oct-2019 05:00 PM,06-Nov-2019 03:00 PM,16-Nov-2019 05:35 PM,EO MC KULLU,EO MC KULLU,500.0,EO MC KULLU,MC KULLU,No,1.0,Fee/PreQual/Technical,.pdf,ITB,1.0,DD - Demand Draft,Construction of Footpath at ward-4,Construction of Footpath at ward-4,Please refer Tender documents. ,NA ,"78,53,135",Civil Works,NA ,Tender,165.0,210.0,KULLU,175101.0,MC KULLU ,MC KULLU ,31-Oct-2019 03:00 PM ,MC KULLU,No ,No,Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Kullu - UDDHP,MCK/TEND/19/103,2019_UDDHP_32237_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,"1,57,063",No,fixed,,EO MC KULLU,MC KULLU,1.0,CORRIGENDUM-I,Other,,AOC,GOPAL KISHAN MAHANT,Internal,VPRESIDENT GOPAL KISHAN MAHANT EO MITTER DEVME TEJ SINGH THAKUR DRAUGHTSMANJIWANAND THAJUR,Tej Singh Thakur,07-Apr-2020 01:41 PM,finsummary_46365.pdf (196.76 KB),Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Kullu - UDDHP,2019_UDDHP_32237_1,MCK/TEND/19/103,Construction of Footpath at ward-4,1.0,135632.0,ATUL GUPTA,INR,"2,943,386",GKMAHANT,Internal,VPRESIDENTGKMAHANTMETSTHAKURDRAUGHTSMANJIWANAND,Tej Singh Thakur,16-Nov-2019 05:19 PM,16-Nov-2019 05:35 PM,techsummary_46365.pdf (194.67 KB),1.0,135632.0,ATUL GUPTA,05-Nov-2019 07:45 PM,Accepted-AOC,L1,07-Apr-2020 01:56 PM,07-Apr-2020,"INR 9,351,517.38",210.0,Tej Singh Thakur,07-Apr-2020 01:56 PM,LOA.pdf (1018.00 KB),CONTRACT AWARDED,Finance,BID 135632 IS FOUND TO BE L1,Tej Singh Thakur,07-Apr-2020 01:25 PM,finance_46365.pdf,BOQ Comparative Chart,Technical,TECHNICALLY ACCEPTED,Tej Singh Thakur,16-Nov-2019 04:57 PM,technical_46365.pdf,AOC
,,,,,,,,,,,,,,,,,.pdf,TECHNICAL SPECIFICATIONS,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Certificate Details ,Registration Certificate ,Registration Certificate Details ,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,135537.0,PAVING STONE INDIA PVT. LTD.,06-Nov-2019 11:18 AM,Not Admitted-Finance,Not qualified for AOC,07-Apr-2020 01:25 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,DRAWINGS,3.0,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Certificate Details ,Income Tax Certificate ,Income Tax Certificate Details ,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,3.0,135620.0,RANDHIR JAMWAL,05-Nov-2019 06:20 PM,Not Admitted-Finance,Not qualified for AOC,07-Apr-2020 01:25 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,NOTICE,4.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Certificate Details ,Labour License ,Labour License ,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,4.0,135732.0,SANJEEV KUMAR,06-Nov-2019 12:43 PM,Not Admitted-Finance,Not qualified for AOC,07-Apr-2020 01:25 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,5.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Financial Details ,Annual Turn Over Details ,Annual Turn Over Details ,HP_Turnover.xls,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Financial Details ,P/ L and Balance Sheet 2008-2009 ,P/ L and Balance Sheet 2008-2009 ,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Financial Details ,P/ L and Balance Sheet 2009-2010 ,P/ L and Balance Sheet 2009-2010 ,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Financial Details ,P/L and Balance Sheet 2010-2011 ,P/L and Balance Sheet 2010-2011 ,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Man Power Details ,Details of Technical Manpower ,Details of Technical Manpower ,HP_TechnicalManPowerDetails.xls,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
