Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
14-Apr-2020,"INR 697,046",90.0,Satish Kumar,14-Apr-2020 11:40 AM,46.pdf (233.00 KB),AOC,Er Rajesh kumar,Internal,Er Satish Kumar AE Subathu Sh Paramjit singh Grover DAO Sh Amar nath Arora HDM Sh Ved Prakash Sharma Supdt GrII,Satish Kumar,03-Jul-2019 04:21 PM,finsummary_42623.pdf (58.36 KB),Er Rajesh Kumar,Internal,Er Satish Kumar AE Subathu Sh Paramjit Singh Grover DAO Sh Amar Nath Arora HDM Sh Ved Prakash Sharma Supdt Gr II,Satish Kumar,03-Jul-2019 11:17 AM,03-Jul-2019 11:25 AM,techsummary_42623.pdf (63.25 KB),PWD,2019_PWD_29450_1,No.PW/Ksli/NIT-19-20-2657-62 dt 13/6/19,R/O rain damagas on Joharji Mallha road in km 27/465,1.0,123112.0,Mohinder Singh,INR,"732,003",Finance,Financial bid opening summary,Satish Kumar,03-Jul-2019 04:16 PM,finance_42623.pdf,BOQ Comparative Chart,Technical,Bid Opening Summary,Satish Kumar,03-Jul-2019 11:04 AM,technical_42623.pdf,1.0,123288.0,CHINT RAM SHARMA,28-Jun-2019 03:57 PM,Rejected-AOC,Not Lowest,14-Apr-2020 11:40 AM,AOC,350.0,EE Kasauli,Kasauli,No,1.0,DD - Demand Draft,"14,000",Yes,fixed,,EE Kasauli,Kasauli,EE Kasauli,EE Kasauli HPPWD kasauli,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F 6.3),R/O rain damagas on Joharji Mallha road in km 27/465,Restoration of rain damages on Joharji Mallha road SH C/O Retaining wall at Rd 26/550 to 26/565,Please refer Tender documents. ,NA ,"6,97,046",Civil Works,NA ,Tender,90.0,90.0,Kasauli,173204.0,NA ,NA ,NA ,Kasauli,No ,No,PWD,No.PW/Ksli/NIT-19-20-2657-62 dt 13/6/19,2019_PWD_29450_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,18-Jun-2019 12:00 PM,29-Jun-2019 11:00 AM,18-Jun-2019 12:30 PM,28-Jun-2019 04:00 PM,NA ,NA ,18-Jun-2019 12:30 PM,28-Jun-2019 04:00 PM,03-Jul-2019 11:25 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,123215.0,Geeta Ram,27-Jun-2019 08:13 PM,Rejected-AOC,Not lowest,14-Apr-2020 11:40 AM,AOC,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,.pdf,Earnest Money Deposit (As per schedule F 6.5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,123112.0,Mohinder Singh,27-Jun-2019 10:09 AM,Accepted-AOC,Lowest tender,14-Apr-2020 11:40 AM,AOC,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23 and as per invitation of bid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,123273.0,M/s Abhi Construction,28-Jun-2019 01:35 PM,Rejected-AOC,Not Lowest,14-Apr-2020 11:40 AM,AOC,,,,,,,,,,,,,,,,,.pdf,Sales tax registration (Refer General rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,123275.0,VIKAS KUMAR,28-Jun-2019 02:01 PM,Rejected-AOC,Not Lowest,14-Apr-2020 11:40 AM,AOC,,,,,,,,,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.19 ).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,123276.0,Vikram Thakur,28-Jun-2019 01:33 PM,Rejected-AOC,Not lowest,14-Apr-2020 11:40 AM,AOC,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Form No. 8 duly signed (Refer General rule No 26.7).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
