Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Executive Engineer,Internal,SUPERINTENDENT G-II DAO DHD TENDER ASSISTANT,Rattan Kumar Sharma,30-Apr-2020 12:38 PM,finsummary_50948.pdf (232.33 KB),30-Apr-2020,"INR 768,939",60.0,Rattan Kumar Sharma,30-Apr-2020 12:39 PM,91.pdf (822.00 KB),AOC,PWD,2020_PWD_34760_1,10364-10414 dated 29.01.2020,A/R and M/O Type IV quarter at Sangrah,Executive Engineer,Internal,Superintendent G-II DHD DAO,Rattan Kumar Sharma,05-Mar-2020 12:28 PM,05-Mar-2020 01:00 PM,techsummary_50948.pdf (909.92 KB),Technical,Summary,Rattan Kumar Sharma,03-Mar-2020 02:47 PM,technical_50948.pdf,1.0,151435.0,Bhupender Chauhan,27-Feb-2020 12:30 PM,Rejected-Technical,Not Qualified,05-Mar-2020 12:28 PM,Finance,Summary,Rattan Kumar Sharma,06-Mar-2020 11:04 AM,finance_50948.pdf,BOQ Comparative Chart,1.0,150747.0,SOM PRAKASH,INR,"886,099",AOC,1.0,Fee/PreQual/Technical,.pdf,26.1. COST OF TENDER,"15,400",No,fixed,,"Executive Engineer, HPPWD Division Sangrah",UCO Bank Sangrah,A/R and M/O Type IV quarter at Sangrah,P/L interlocking Paver block and stair case etc,Please refer Tender documents. ,NA ,"7,68,939",Civil Works,NA ,Tender,90.0,60.0,Sangrah,173023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Sangrah",No ,No,"Executive Engineer, HPPWD Division Sangrah","Executive Engineer, HPPWD Division Sangrah",PWD,10364-10414 dated 29.01.2020,2020_PWD_34760_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Corrigendum,Other,,350.0,"Executive Engineer, HPPWD Division Sangrah",UCO Bank Sangrah,No,1.0,DD - Demand Draft,13-Feb-2020 02:00 PM,28-Feb-2020 11:30 AM,13-Feb-2020 02:00 PM,27-Feb-2020 05:00 PM,NA ,NA ,13-Feb-2020 02:00 PM,27-Feb-2020 05:00 PM,05-Mar-2020 01:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,151480.0,Naveen Chauhan,27-Feb-2020 01:59 PM,Rejected-Technical,Not Qualified,05-Mar-2020 12:28 PM,,,,,,,,,,,,AOC,,,.pdf,26.2.EARNEST MONEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,151484.0,Rahul Chuhan,27-Feb-2020 02:07 PM,Rejected-Finance,NOT THE LOWEST BIDDER,30-Apr-2020 12:38 PM,,,,,,,,,,,,AOC,,,.pdf,26.3.CONTRACTORS REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,150747.0,SOM PRAKASH,24-Feb-2020 06:01 PM,Accepted-AOC,AOC,30-Apr-2020 12:39 PM,,,,,,,,,,,,AOC,,,.pdf,26.4.GST REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,151342.0,vijay singh thakur,26-Feb-2020 10:42 PM,Rejected-Finance,NOT THE LOWEST BIDDER,30-Apr-2020 12:38 PM,,,,,,,,,,,,AOC,,,.pdf,"26.6. LIST OF MACHINERY ,TOOL,PLANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,151549.0,Virender Pundir,27-Feb-2020 04:12 PM,Rejected-Finance,NOT THE LOWEST BIDDER,30-Apr-2020 12:38 PM,,,,,,,,,,,,AOC,,,.pdf,26.7. Form 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,EPF Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,AFFIDAVIT REGARDING CORRECTNESS OF BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,ANY ADDITIONAL INFORMATION MENTIONED IN SCHEDULE D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,26.7 BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
