Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,S.No.1,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
R and M/O link road to Akhrot farm to Thontha 0/00 to 1/00,"P/L Kharunja stone soling from km.0/00 to 1/00, C/O RCC HPC at RD. 0/135 AND 0/570 , C/O Breast Wall in stone masonary from km. 0/735 to 0/755 AND C/O Unlined Drain from km. 0/300 to 1/00 ).",Please refer Tender documents. ,NA ,"4,21,828",Civil Works,NA ,Tender,90.0,90.0,Sangrah,173023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Sangrah",No ,No,1.0,Corrigendum,Other,,350.0,"Executive Engineer, HPPWD Division Sangrah",UCO Bank Sangrah,No,1.0,Fee/PreQual/Technical,.pdf,26.1. COST OF TENDER,"Executive Engineer, HPPWD Division Sangrah","Executive Engineer, HPPWD Division Sangrah",1.0,DD - Demand Draft,PWD,10364-10414 dated 29.01.2020,2020_PWD_34760_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"8,500",No,fixed,,"Executive Engineer, HPPWD Division Sangrah",UCO Bank Sangrah,13-Feb-2020 02:00 PM,28-Feb-2020 11:30 AM,13-Feb-2020 02:00 PM,27-Feb-2020 05:00 PM,NA ,NA ,13-Feb-2020 02:00 PM,27-Feb-2020 05:00 PM,05-Mar-2020 01:00 PM,AOC,Executive Engineer,Internal,Superintendent G-II DHD DAO,Rattan Kumar Sharma,05-Mar-2020 12:33 PM,05-Mar-2020 01:00 PM,techsummary_50955.pdf (681.34 KB),PWD,2020_PWD_34760_4,10364-10414 dated 29.01.2020,R and M/O link road to Akhrot farm to Thontha 0/00 to 1/00,30-Apr-2020,"INR 421,828",90.0,Rattan Kumar Sharma,30-Apr-2020 12:35 PM,90.pdf (1383.00 KB),AOC,Executive Engineer,Internal,SUPERINTENDENT G-II DAO DHD TENDER ASSISTANT,Rattan Kumar Sharma,30-Apr-2020 12:26 PM,finsummary_50955.pdf (248.25 KB),1.0,151020.0,Bhagat Singh,25-Feb-2020 08:40 PM,Rejected-Finance,NOT THE LOWEST BIDDER,30-Apr-2020 12:26 PM,Technical,Summary,Rattan Kumar Sharma,03-Mar-2020 02:54 PM,technical_50955.pdf,Finance,Summary,Rattan Kumar Sharma,06-Mar-2020 11:08 AM,finance_50955.pdf,BOQ Comparative Chart,1.0,151531.0,VIJAY KUMAR,INR,"570,618",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,26.2.EARNEST MONEY,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,151531.0,VIJAY KUMAR,27-Feb-2020 03:29 PM,Accepted-AOC,AOC,30-Apr-2020 12:35 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,26.3.CONTRACTORS REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,151341.0,vijay singh thakur,27-Feb-2020 08:05 AM,Rejected-Finance,NOT THE LOWEST BIDDER,30-Apr-2020 12:26 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,26.4.GST REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"26.6. LIST OF MACHINERY ,TOOL,PLANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,26.7. Form 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT REGARDING CORRECTNESS OF BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ANY ADDITIONAL INFORMATION MENTIONED IN SCHEDULE D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,26.7 BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
