Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Technical,Bid Opening Summary,Ravi Bhatti,07-Mar-2019 01:18 PM,technical_39623.pdf,1.0,117343.0,Asphalt Carpet Construction Company,06-Mar-2019 01:06 PM,Accepted-AOC,Lowest tender,14-Apr-2020 11:56 AM,1.0,117343.0,Asphalt Carpet Construction Company,INR,"12,593,239",Finance,Bid opening Summary,Ravi Bhatti,08-Mar-2019 11:44 AM,finance_39623.pdf,BOQ Comparative Chart,14-Apr-2020,"INR 10,754,139",90.0,Satish Kumar,14-Apr-2020 11:56 AM,47.pdf (346.00 KB),AOC,Er Ravi Bhatti,Internal,Sh Paramjit Singh Grover DAO Sh Hemender Sharma HDM Sh Ved Prakash Sharma Supdt Gr-II,Ravi Bhatti,08-Mar-2019 11:45 AM,finsummary_39623.pdf (55.90 KB),Er Ravi Bhatti,Internal,Sh Paramjit Singh Grover DAO Sh Hemender Sharma HDM Sh Ved Prakash Sharma Supdt Gr-II,Ravi Bhatti,07-Mar-2019 02:04 PM,07-Mar-2019 02:15 PM,techsummary_39623.pdf (61.85 KB),PWD,2019_PWD_27751_1,No/PW/Ksli/Tender/18-19 15036-45 dt 18/2/19,Strengthening of Chhaila Neripul yashwant Nager oachghat Kumarhatti road in km75/375 to 86/450,AOC,1.0,DD - Demand Draft,Strengthening of Chhaila Neripul yashwant Nager oachghat Kumarhatti road in km75/375 to 86/450,Strengthening of chhaila Neripul Yashwant nager oachghat Kumartatti road in km 75/375 to 86/450 SH P/L renewal coat by Providing Bitumenous concrete in km 75/375 to 76/0 and 80/0 to 85/0 OFC Deposit,Please refer Tender documents. ,NA ,"1,07,54,139",Civil Works,NA ,Tender,90.0,90.0,Kasauli,173204.0,NA ,NA ,NA ,Kasauli,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F 6.3),"5,000",EE Kasauli,Kasauli,Yes,22-Feb-2019 05:30 PM,07-Mar-2019 11:00 AM,22-Feb-2019 05:40 PM,07-Mar-2019 10:30 AM,NA ,NA ,22-Feb-2019 05:40 PM,07-Mar-2019 10:30 AM,07-Mar-2019 02:15 PM,EE Kasauli,EE HPPWD Kasauli,PWD,No/PW/Ksli/Tender/18-19 15036-45 dt 18/2/19,2019_PWD_27751_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"1,40,100",Yes,fixed,,EE Kasauli,kasauli,AOC
,,,,,2.0,117357.0,Ravinder Kumar Gupta,06-Mar-2019 01:49 PM,Rejected-AOC,Not lowest,14-Apr-2020 11:56 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (As per schedule F 6.5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23 and as per invitation of bid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sales tax registration (Refer General rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.19 ).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 duly signed (Refer General rule No 26.7).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
