Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
14-Apr-2020,"INR 502,063",90.0,Satish Kumar,14-Apr-2020 11:22 AM,485.pdf (219.00 KB),AOC,Er Rajesh Kumar,Internal,Er Satish kumar AE Subathu Sh Amar Nath HDM Sh VEd Prakash Supdt Gr-II,Satish Kumar,03-Oct-2019 03:34 PM,finsummary_45428.pdf (53.22 KB),Er Rajesh kumar,Internal,Er Satish kumar AE Subathu Sh Amar nath Arora HDM Sh Ved Prakash Sharma supdt Gr-II,Satish Kumar,01-Oct-2019 04:36 PM,01-Oct-2019 05:00 PM,techsummary_45428.pdf (57.13 KB),PWD,2019_PWD_31559_1,No.PW/Ksli/NIT/20-8999-9009dt 6/9/19,R/R on Barotiwala Gunai road in km 0/0 to 19/120,Technical,Bid Opening Summary,Satish Kumar,01-Oct-2019 04:17 PM,technical_45428.pdf,1.0,132588.0,Contractor Babu Ram,27-Sep-2019 01:50 PM,Accepted-AOC,Lowest tender,14-Apr-2020 11:22 AM,1.0,132588.0,Contractor Babu Ram,INR,"767,750",Finance,Financial Bid Opening summary,Satish Kumar,03-Oct-2019 03:29 PM,finance_45428.pdf,BOQ Comparative Chart,AOC,PWD,No.PW/Ksli/NIT/20-8999-9009dt 6/9/19,2019_PWD_31559_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,R/R on Barotiwala Gunai road in km 0/0 to 19/120,Restoration of rain damages on Barotiwala gunai road SH Repair of Pot holes and maintenance of WBM by Providing patches on varous Rd 3/765 to 6/00,Please refer Tender documents. ,NA ,"5,02,063",Civil Works,NA ,Tender,90.0,90.0,Kasauli,173204.0,NA ,NA ,NA ,Kasauli,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F 6.3),"10,100",No,fixed,,EE Kasauli,Kasauli,17-Sep-2019 04:00 PM,01-Oct-2019 11:00 AM,17-Sep-2019 04:30 PM,30-Sep-2019 06:00 PM,NA ,NA ,17-Sep-2019 04:30 PM,30-Sep-2019 06:00 PM,01-Oct-2019 05:00 PM,1.0,DD - Demand Draft,350.0,EE Kasauli,Kasauli,No,EE HPPWD Kasauli,EE HPPWD Kasauli,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,132591.0,YashPal,27-Sep-2019 02:10 PM,Rejected-AOC,not lowest,14-Apr-2020 11:22 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (As per schedule F 6.5),,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23 and as per invitation of bid),,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.19 ).,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 duly signed (Refer General rule No 26.7).,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial,,,,,,,,,,,,,,,,,,,,,,,,AOC
