Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
14-Apr-2020,"INR 1,061,261",90.0,Satish Kumar,14-Apr-2020 11:07 AM,208.pdf (250.00 KB),AOC( Award Letter),Er Rajesh kumar,Internal,Er Satish Kumar AE Subathu Sh Amar nath Arora HDM Sh Ved Prakash Sharma Supdt Gr-II,Satish Kumar,17-Aug-2019 03:55 PM,finsummary_44058.pdf (52.38 KB),Er Rajesh kumar,Internal,Er Satish Kumar AE subathu Sh paramjit Singh Grover DAO Sh Amar Nath Arora HDM Sh Ved Prakash Sharma Supdt Gr-II,Satish Kumar,17-Aug-2019 12:41 PM,17-Aug-2019 12:45 PM,techsummary_44058.pdf (59.62 KB),PWD,2019_PWD_30583_1,No/PWD/Ksli/NIT/19-20-5310-20 dt 23/7/19,C/O road from Marayanighatg to Kayaruwa Gram Panchyat narayani in km 0/0 to 2/520,1.0,127320.0,Mohinder Singh,INR,"926,399",Finance,Financial Bid Opening summary,Satish Kumar,17-Aug-2019 03:53 PM,finance_44058.pdf,BOQ Comparative Chart,Technical,Bid Opening Summary,Satish Kumar,17-Aug-2019 12:30 PM,technical_44058.pdf,1.0,127718.0,CHINT RAM SHARMA,13-Aug-2019 06:40 PM,Rejected-AOC,not lowest,14-Apr-2020 11:07 AM,AOC,500.0,EE Kasauli,Kasauli,No,C/O road from Marayanighatg to Kayaruwa Gram Panchyat narayani in km 0/0 to 2/520,c/o road from Narayanighat to Kayaruwa G P Narayani SH Improvement of bind curves I/e retaining structure at Rd 0/0 to 0/075,Please refer Tender documents. ,NA ,"10,61,261",Civil Works,NA ,Tender,90.0,90.0,Kasauli,173204.0,NA ,NA ,NA ,Kasauli,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F 6.3),EE HPPWD Kasauli,EE Kasauli HPPWD Kasauli,PWD,No/PWD/Ksli/NIT/19-20-5310-20 dt 23/7/19,2019_PWD_30583_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"21,300",Yes,fixed,,EE Kasauli,Kasauli,1.0,DD - Demand Draft,01-Aug-2019 10:00 AM,16-Aug-2019 11:00 AM,01-Aug-2019 11:00 AM,14-Aug-2019 04:00 PM,NA ,NA ,01-Aug-2019 11:00 AM,14-Aug-2019 04:00 PM,17-Aug-2019 12:45 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,127320.0,Mohinder Singh,10-Aug-2019 01:06 PM,Accepted-AOC,Lowest tender,14-Apr-2020 11:07 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (As per schedule F 6.5),,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,127797.0,Sanjay Kumar,14-Aug-2019 12:39 PM,Rejected-AOC,not lowest,14-Apr-2020 11:07 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23 and as per invitation of bid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.19 ).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 duly signed (Refer General rule No 26.7).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,copy of GST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
