Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Instrument Type,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
30-Apr-2020,"INR 222,123",60.0,Rattan Kumar Sharma,30-Apr-2020 12:48 PM,92.pdf (834.00 KB),AOC,Executive Engineer,Internal,SUPERINTENDENT G-II DAO DHD TENDER ASSISTANT,Rattan Kumar Sharma,30-Apr-2020 12:43 PM,finsummary_50950.pdf (234.17 KB),Executive Engineer,Internal,Superintendent G-II DHD DAO,Rattan Kumar Sharma,05-Mar-2020 12:29 PM,05-Mar-2020 01:00 PM,techsummary_50950.pdf (426.19 KB),PWD,2020_PWD_34760_2,10364-10414 dated 29.01.2020,C/O Cross Drainage work on Link Road to Village Pipli Km. 0/00 to 4/500,Technical,summary,Rattan Kumar Sharma,03-Mar-2020 02:49 PM,technical_50950.pdf,1.0,151236.0,Bhaskar Dutt,26-Feb-2020 03:47 PM,Rejected-Finance,NOT THE LOWEST BIDDER,30-Apr-2020 12:43 PM,Finance,Summary,Rattan Kumar Sharma,06-Mar-2020 11:05 AM,finance_50950.pdf,BOQ Comparative Chart,1.0,151213.0,RANDEEP SINGH,INR,"271,989",AOC,1.0,Fee/PreQual/Technical,.pdf,26.1. COST OF TENDER,13-Feb-2020 02:00 PM,28-Feb-2020 11:30 AM,13-Feb-2020 02:00 PM,27-Feb-2020 05:00 PM,NA ,NA ,13-Feb-2020 02:00 PM,27-Feb-2020 05:00 PM,05-Mar-2020 01:00 PM,"Executive Engineer, HPPWD Division Sangrah","Executive Engineer, HPPWD Division Sangrah",1.0,DD - Demand Draft,1.0,Corrigendum,Other,,C/O Cross Drainage work on Link Road to Village Pipli Km. 0/00 to 4/500,C/O 900mm dia hume pipe culvert at RD. 1/195 with both side wing wall)Under MMGSY,Please refer Tender documents. ,NA ,"2,22,123",Civil Works,NA ,Tender,90.0,60.0,Sangrah,173023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Sangrah",No ,No,PWD,10364-10414 dated 29.01.2020,2020_PWD_34760_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"4,500",No,fixed,,"Executive Engineer, HPPWD Division Sangrah",UCO Bank Sangrah,350.0,"Executive Engineer, HPPWD Division Sangrah",UCO Bank Sangrah,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,151213.0,RANDEEP SINGH,26-Feb-2020 02:50 PM,Accepted-AOC,AOC,30-Apr-2020 12:48 PM,,,,,,,,,,,,AOC,,,.pdf,26.2.EARNEST MONEY,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,151501.0,ROOP SINGH,27-Feb-2020 02:33 PM,Rejected-Finance,NOT THE LOWEST BIDDER,30-Apr-2020 12:43 PM,,,,,,,,,,,,AOC,,,.pdf,26.3.CONTRACTORS REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,26.4.GST REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"26.6. LIST OF MACHINERY ,TOOL,PLANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,26.7. Form 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,EPF Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,AFFIDAVIT REGARDING CORRECTNESS OF BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,ANY ADDITIONAL INFORMATION MENTIONED IN SCHEDULE D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,26.7 BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
