Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
20-Apr-2020,"INR 839,699",180.0,Satish Kumar,20-Apr-2020 01:34 PM,281.pdf (200.00 KB),AOC,Er Rajesh Kumar,Internal,Er Satish Kumar AE Subathu Sh Amar Nath Arora HDM Sh Ved Prakash Sharma Supdt Gr-II,Satish Kumar,02-Sep-2019 12:41 PM,finsummary_44354.pdf (54.75 KB),Er Rakesh Kumar,Internal,Sh Satish Kumar AE Subathu Sh Amar Nath Arora HDM Sh Ved Prakash Sharma Supdt Gr-II,Satish Kumar,02-Sep-2019 11:04 AM,02-Sep-2019 11:10 AM,techsummary_44354.pdf (59.92 KB),PWD,2019_PWD_30816_1,No/PW/Ksli/NUT/19-20-6568-75 dt 1/8/19,C/o missing Cuvlert on Patta Goela road in km 0/0 to 11/0,Technical,Bid Opening Summary,Satish Kumar,02-Sep-2019 10:54 AM,technical_44354.pdf,1.0,128802.0,Ajay Bhardwaj,28-Aug-2019 09:39 PM,Accepted-AOC,Lowest Tender,20-Apr-2020 01:34 PM,1.0,128802.0,Ajay Bhardwaj,INR,"963,999",Finance,bid opening Summary,Satish Kumar,02-Sep-2019 12:37 PM,finance_44354.pdf,BOQ Comparative Chart,AOC,14-Aug-2019 10:00 AM,30-Aug-2019 11:00 AM,14-Aug-2019 11:00 AM,29-Aug-2019 04:00 PM,NA ,NA ,14-Aug-2019 11:00 AM,29-Aug-2019 04:00 PM,02-Sep-2019 11:10 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F 6.3),PWD,No/PW/Ksli/NUT/19-20-6568-75 dt 1/8/19,2019_PWD_30816_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,C/o missing Cuvlert on Patta Goela road in km 0/0 to 11/0,C/o Missing Culvert on patta goela road SH C/O 3 meter span slab culvert at Rd 4/120,Please refer Tender documents. ,NA ,"8,39,699",Civil Works - Bridges,NA ,Tender,90.0,180.0,Kasauli,173204.0,NA ,NA ,NA ,Kasauli,No ,No,350.0,EE Kasauli,Kasauli,No,1.0,DD - Demand Draft,"20,100",No,fixed,,EE Kasauli,Kasauli,EE HPPWD kasauli,EE HPPWD Kasauli,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,129242.0,LALIT VERMA,28-Aug-2019 04:53 PM,Rejected-AOC,Not Lowest,20-Apr-2020 01:34 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Earnest Money Deposit (As per schedule F 6.5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,129050.0,Maya Dutt,27-Aug-2019 01:39 PM,Rejected-AOC,Not Lowest,20-Apr-2020 01:34 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23 and as per invitation of bid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,129139.0,Rakesh Kumar,27-Aug-2019 04:54 PM,Rejected-AOC,Not Lowest,20-Apr-2020 01:34 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.19 ).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,129111.0,SANSAR CHAND,28-Aug-2019 11:38 AM,Rejected-AOC,Not Lowest,20-Apr-2020 01:34 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,129246.0,YashPal,28-Aug-2019 06:35 PM,Rejected-AOC,Not Lowest,20-Apr-2020 01:34 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Form No. 8 duly signed (Refer General rule No 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,copy of GST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
