Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
Technical,Bid Opening Summaryary,Satish Kumar,11-Nov-2019 02:44 PM,technical_46328.pdf,1.0,135560.0,ANKUSH KUMAR,04-Nov-2019 08:08 PM,Rejected-AOC,Not Lowest,14-Apr-2020 02:50 PM,1.0,135724.0,Mohinder Singh,INR,"715,187",Finance,Financial bid opening summary,Satish Kumar,13-Nov-2019 12:21 PM,finance_46328.pdf,BOQ Comparative Chart,14-Apr-2020,"INR 704,270",90.0,Satish Kumar,14-Apr-2020 02:50 PM,409.pdf (160.00 KB),AOC,Er Rajesh Kumar,Internal,Er Satish Kumar AE Subathu Sh Amar Nath Arora HDM Sh Deepak Walia Supdt Gr-II,Satish Kumar,13-Nov-2019 12:25 PM,finsummary_46328.pdf (53.96 KB),Er Rajesh kumar,Internal,Er Satish kumar AE Subathu Sh Amar Nath Arora HDM Sh Deepak Walia,Satish Kumar,11-Nov-2019 03:10 PM,11-Nov-2019 03:15 PM,techsummary_46328.pdf (61.85 KB),PWD,2019_PWD_32211_1,No/PW/Ksli/NIT-19-20-10770-79 dt 11/10/19,Restoration of rain damaes on Joharji Mallah road in km 0/0 to 27/465,AOC,350.0,EE Kasauli,Kasauli,No,"14,100",No,fixed,,EE Kasauli,Kasauli,1.0,DD - Demand Draft,23-Oct-2019 10:00 AM,07-Nov-2019 11:00 AM,23-Oct-2019 11:00 AM,06-Nov-2019 04:00 PM,NA ,NA ,23-Oct-2019 11:00 AM,06-Nov-2019 04:00 PM,11-Nov-2019 03:15 PM,PWD,No/PW/Ksli/NIT-19-20-10770-79 dt 11/10/19,2019_PWD_32211_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,EE HPPWD Kasauli,EE HPPWD Kasauli,Restoration of rain damaes on Joharji Mallah road in km 0/0 to 27/465,Restoration of rain damages on Johar Ji Mallha road in km 0/0 to 27/465 SH C/O Retaining Wall at RD26/175 to 26/190,Please refer Tender documents. ,NA ,"7,04,270",Civil Works,NA ,Tender,75.0,90.0,Kasauli,173204.0,NA ,NA ,NA ,Kasauli,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F 6.3),AOC
,,,,,2.0,135595.0,CHINT RAM SHARMA,05-Nov-2019 04:54 PM,Rejected-AOC,Not Lowest,14-Apr-2020 02:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (As per schedule F 6.5),AOC
,,,,,3.0,135485.0,Maya Dutt,03-Nov-2019 02:25 PM,Rejected-AOC,Not Lowest,14-Apr-2020 02:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23 and as per invitation of bid,AOC
,,,,,4.0,135724.0,Mohinder Singh,06-Nov-2019 12:28 PM,Accepted-AOC,Lowest Tender,14-Apr-2020 02:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.19 ).,AOC
,,,,,5.0,135765.0,VIKAS KUMAR,06-Nov-2019 02:52 PM,Rejected-AOC,Not Lowest,14-Apr-2020 02:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 duly signed (Refer General rule No 26.7).,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,copy of GST,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finacne,AOC
