Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
Improvement of road to village Taksal in km 0/0 to 2/300,Improvement of road under Head NCAP with Multiple Tine to clear Air in 102 Cities on link road to village Taksal in km 0/0 to 2/300 SH P/L of Interlinking tile pavement in berms on Hill side from at Rd 0/0 to 0/325,Please refer Tender documents. ,NA ,"9,54,911",Civil Works,NA ,Tender,75.0,90.0,Kasauli,173204.0,NA ,NA ,NA ,Kasauli,No ,No,EE Kasauli,EE HPPWD Kasauli,350.0,EE Kasauli,Kasauli,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F 6.3),PWD,No/PW/Ksli/NIT 19-20-10770-79dt11.10.19,2019_PWD_32217_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"19,100",No,fixed,,EE Kasauli,Kasauli,1.0,DD - Demand Draft,23-Oct-2019 10:00 AM,07-Nov-2019 11:00 AM,23-Oct-2019 11:00 AM,06-Nov-2019 04:00 PM,NA ,NA ,23-Oct-2019 11:00 AM,06-Nov-2019 04:00 PM,11-Nov-2019 02:40 PM,AOC,1.0,135594.0,CHINT RAM SHARMA,05-Nov-2019 04:49 PM,Rejected-AOC,Not Lowest,14-Apr-2020 02:30 PM,Technical,bid Opening Summary,Satish Kumar,11-Nov-2019 02:03 PM,technical_46339.pdf,1.0,135542.0,VIPIN KUMAR GUPTA,INR,"1,068,675",Finance,Financial Bid opening summary,Satish Kumar,13-Nov-2019 11:13 AM,finance_46339.pdf,BOQ Comparative Chart,Er Rajesh kumar,Internal,Er Satish Kumar AE Subathu Sh Amar Nath Arora HDM Sh /Deepak Walia Supdt Gr-II,Satish Kumar,11-Nov-2019 02:34 PM,11-Nov-2019 02:40 PM,techsummary_46339.pdf (60.66 KB),PWD,2019_PWD_32217_1,No/PW/Ksli/NIT 19-20-10770-79dt11.10.19,Improvement of road to village Taksal in km 0/0 to 2/300,14-Apr-2020,"INR 954,911",90.0,Satish Kumar,14-Apr-2020 02:30 PM,343.pdf (179.00 KB),AOC,Er Rajesh kumar,Internal,Er Satish Kumar AE Subathu Sh Amar Nath Arora HDM Sh Deepak Walia Supdt Gr-II,Satish Kumar,13-Nov-2019 11:15 AM,finsummary_46339.pdf (53.02 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (As per schedule F 6.5),,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,AOC,2.0,135698.0,NAND LAL SHARMA,06-Nov-2019 12:25 PM,Rejected-AOC,Not Lowest,14-Apr-2020 02:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23 and as per invitation of bid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,135542.0,VIPIN KUMAR GUPTA,06-Nov-2019 02:24 PM,Accepted-AOC,lowest Tender,14-Apr-2020 02:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.19 ).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 duly signed (Refer General rule No 26.7).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,copy of GST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
