Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
"HP Irrigation and Public Health||Rohru Circle,Irrigation and Public Health,HP||Nerwa,Irrigation and Public Health,HP",10015-65 dated 22-02-2022,2023_HPIPH_69425_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"4,07,950",Yes,fixed,,EE Nerwa,Nerwa,22-Feb-2023 05:00 PM,07-Mar-2023 11:30 AM,22-Feb-2023 05:00 PM,07-Mar-2023 11:00 AM,22-Feb-2023 05:00 PM ,07-Mar-2023 11:00 AM ,22-Feb-2023 05:00 PM,07-Mar-2023 11:00 AM,29-Mar-2023 01:15 PM,"2,500",EE Nerwa,Nerwa,Yes,Executive Engineer,Executive Engineer Jal Shakti Division Nerwa,1.0,Fee/PreQual/Technical,.pdf,cost of tender in shape of DD as per NIT,1.0,ICICI BANK,Augmentation of source Strengthening and Improvement of various GWSS under Jal Shakti Sub Division Chopal in Tehsil Chopal Distt Shimla HP Under JJM,Augmentation of source Strengthening and Improvement of various GWSS under Jal Shakti Sub Division Chopal in Tehsil Chopal Distt Shimla HP Under JJM,Please refer Tender documents. ,NA ,"3,75,44,978",Miscellaneous Works,NA ,Tender,120.0,365.0,GP Pulbhal,171210.0,NA ,NA ,NA ,Jal Shakti Division Nerwa,No ,No,Er Jitender Garg,Internal,HDM Supdt DAO AE,Jitender Kumar,28-Apr-2023 03:44 PM,finsummary_104748.pdf (870.12 KB),1.0,332298.0,Rahul Pandey,INR,"23,456,477","HP Irrigation and Public Health||Rohru Circle,Irrigation and Public Health,HP||Nerwa,Irrigation and Public Health,HP",2023_HPIPH_69425_1,10015-65 dated 22-02-2022,Augmentation of source Strengthening and Improvement of various GWSS under Jal Shakti Sub Division Chopal in Tehsil Chopal Distt Shimla HP Under JJM,ER D.K Lohia,Internal,CHD AE (D) EE(D) SE,Jitender Kumar,29-Mar-2023 01:07 PM,29-Mar-2023 01:15 PM,techsummary_104748.pdf (559.16 KB),1,332332,Ajay Rathore,07-Mar-2023 08:46 AM,Rejected-AOC,rejected,29-May-2023,24-May-2023,"INR 37,544,978",365.0,Jitender Kumar,29-May-2023 12:36 PM,AOC.pdf (562.00 KB),the work has been awarded to Sh Rahul Panday Govt contractor village Maneoti P.O. Thangar Tehsil Nerwa Distt Shimla vide this office letter No 1382-87 dt 24-05-2023 amounting to Rs 23456477/-only,Finance,"successfully opened financial document downloaded and BOQ Comparative chart generated successfully, after technical evaluation has been approved by the Superintending Engineer Circle Kasumpti Shimla 171009 vide his letter No. 10412 dated 28-3-2023.",Jitender Kumar,28-Apr-2023 03:29 PM,finance_104748.pdf,BOQ Comparative Chart,Technical,As per eligibility criteria specified in the tender documents eighteen bidders appeared. Out of eighteen bidders fifteen bidders have been qualified to open the financial bid.,Jitender Kumar,29-Mar-2023 01:04 PM,technical_104748.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money in shape of FDR as per NIT,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,331433,akash,07-Mar-2023 10:53 AM,Rejected-AOC,rejected,29-May-2023,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of registration with Jal Shakti Vibhag in appropriate class and latest renewal thereof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,331189,ARVIND BUILDERS AND CONTRACTORS,04-Mar-2023 06:20 PM,Rejected-AOC,rejected,29-May-2023,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN (Permanent Account No.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,332392,ASHISH SHARMA,06-Mar-2023 08:13 PM,Rejected-AOC,rejected,29-May-2023,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Goods and Service Tax No. (GSTIN No.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,332284,Devender Singh,07-Mar-2023 10:06 AM,Rejected-AOC,rejected,29-May-2023,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Schedule of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,332401,Er. Ankush Dewan,07-Mar-2023 09:51 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,29-Mar-2023,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,331681,Harsh chauhan,06-Mar-2023 06:37 PM,Rejected-AOC,rejected,29-May-2023,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,332466,OJSVI VIJAY BHANDARI,07-Mar-2023 10:53 AM,Rejected-AOC,rejected,29-May-2023,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,332298,Rahul Pandey,06-Mar-2023 08:11 PM,Accepted-AOC,accepted,29-May-2023,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,332229,Ranjeet Singh,06-Mar-2023 03:58 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,29-Mar-2023,,,,,,,,,,,,,,,,,,
