Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No.2,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1.1,Corrigendum Title,Corrigendum Type,View,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At
Finance,Financial bid of two bidders open successfully,Sanjiv Kumar,01-May-2023 02:30 PM,finance_106615.pdf,BOQ Comparative Chart,1.0,336771.0,ANURAG SHARMA,INR,"2,361,452",Technical,Two bidders participated in this work and found responsive. Hence committee decided to open the financial bid,Sanjiv Kumar,31-Mar-2023 11:52 AM,technical_106615.pdf,1.0,336771.0,ANURAG SHARMA,21-Mar-2023 02:47 PM,Accepted-AOC,lower side,01-May-2023,Xen HPPWD Baijnath,Internal,"DAO Baijnath, HDM Baijnath, SupdtGII Baijnath AE Baijnath",Sanjiv Kumar,01-May-2023 02:32 PM,finsummary_106615.pdf (134.03 KB),01-May-2023,"INR 2,250,074",60.0,Sanjiv Kumar,01-May-2023 02:32 PM,Awardmahankal.PDF (191.00 KB),PWD,2023_PWD_70727_1,PWD-BD-TA-2022-23-20743-93,Periodic Maintenance of Mahankal Narghore Road DRRP No. HP0403 VR 016012102 (Village Road). (AMP 2023-24),Xen HPPWD Baijnath,Internal,"Divisional Accountant, Head Draughtsman, SupdtGII, Assistant Engineer",Sanjiv Kumar,31-Mar-2023 11:53 AM,03-Apr-2023 11:00 AM,techsummary_106615.pdf (278.54 KB),Periodic Maintenance of Mahankal Narghore Road DRRP No. HP0403 VR 016012102 (Village Road). (AMP 2023-24),"Providing and Laying Built up spray Grout Single layer, Tack Coat and 30 mm thick Bituminous Concrete at Km 2/0 to 3/0 and 3/0 to 4/0)",Please refer Tender documents. ,NA ,"22,50,074",Civil Works - Roads,NA ,Tender,60.0,60.0,Baijnath,176125.0,NA ,NA ,NA ,HPPWD Division Baijnath,No ,No,500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form as mentioned in SBD,1.0,ICICI BANK,PWD,PWD-BD-TA-2022-23-20743-93,2023_PWD_70727_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,15-Mar-2023 10:00 AM,22-Mar-2023 11:30 AM,15-Mar-2023 10:00 AM,22-Mar-2023 11:00 AM,NA ,NA ,15-Mar-2023 10:00 AM,22-Mar-2023 11:00 AM,03-Apr-2023 11:00 AM,1.0,Rate showing in BOQ on column No 6 and 53 may read as excluding GST instead of including GST.,Other,,Xen HPPWD Division Baijnath,Xen HPPWD Division Baijnath,"45,000",No,fixed,,Nil,Nil
,,,,,,,,,,,,,,,,2.0,335997.0,G.P.ACHARYA,21-Mar-2023 03:41 PM,Rejected-Finance,Higher Side,01-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money as mentioned in SBD,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration PAN Card and EPF No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum similar nature of workdone 40percent of the estimated cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery with proof of ownership if hiring affidavit of consent required from owner of machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 7-8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding Gazatted and Non Gazetted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding arbitration / litigation with PWD is pending in any court of law.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished with the bid for work (Name of work) is correct in all res,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
