Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description
Finance,Proceedingregardingopeningoffinancialbids,Baldev Singh,19-Apr-2023 02:29 PM,finance_108236.pdf,BOQ Comparative Chart,1.0,341834.0,Ram Sahore Govt Contractor,INR,"1,269,696",Technical,TechnicalBidOpeningSummary,Arvind Chaudhary,17-Apr-2023 01:45 PM,technical_108236.pdf,1.0,341762.0,balwinder singh govt contractor,13-Apr-2023 08:11 AM,Rejected-Technical,As per Evaluation Bids,17-Apr-2023,06-May-2023,"INR 1,670,652",30.0,Baldev Singh,28-Dec-2023 01:28 PM,Awardletter.pdf (1270.00 KB),Awardletter,E.E. Una Division,Internal,"Supdt - A Supdt-Est. Divisional Head Draughtsman , Sr. DAO, and AE to EE",Baldev Singh,19-Apr-2023 02:53 PM,finsummary_108236.pdf (547.42 KB),E.E. Una Division,Internal,"Supdt - A Supdt-Est. Divisional Head Draughtsman , Sr. DAO, and AE to EE",Arvind Chaudhary,17-Apr-2023 01:53 PM,18-Apr-2023 10:00 AM,techsummary_108236.pdf (81.17 KB),PWD,2023_PWD_71937_1,Job 1 Restoration and repair on link road to Hari,"Job 1 Restoration and repair on link road to Harijan Basti Dehlan km. 0-0 to 0-850, Tehsil and District Una H.P Sub Head Demolishing Cement Concrete P.L NP-2 RCC Pipes, C.O U-shape drain and C.C. Pavement etc. Deposit work",500.0,Nil,Nil,No,PWD,Job 1 Restoration and repair on link road to Hari,2023_PWD_71937_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"33,000",No,fixed,,Nil,Nil,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una",06-Apr-2023 09:00 AM,13-Apr-2023 11:00 AM,06-Apr-2023 09:00 AM,13-Apr-2023 09:00 AM,NA ,NA ,06-Apr-2023 09:00 AM,13-Apr-2023 09:00 AM,18-Apr-2023 10:00 AM,1.0,ICICI BANK,"Job 1 Restoration and repair on link road to Harijan Basti Dehlan km. 0-0 to 0-850, Tehsil and District Una H.P Sub Head Demolishing Cement Concrete P.L NP-2 RCC Pipes, C.O U-shape drain and C.C. Pavement etc. Deposit work","Job 1 Restoration and repair on link road to Harijan Basti Dehlan km. 0-0 to 0-850, Tehsil and District Una H.P Sub Head Demolishing Cement Concrete P.L NP-2 RCC Pipes, C.O U-shape drain and C.C. Pavement etc. Deposit work",Please refer to Bidding Documents ,NA ,"16,70,652",Civil Works - Roads,NA ,Tender,75.0,30.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender through online
,,,,,,,,,,,,,,,,2.0,341834.0,Ram Sahore Govt Contractor,12-Apr-2023 03:57 PM,Accepted-AOC,ok,28-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money through online
,,,,,,,,,,,,,,,,3.0,341079.0,Vikas puri,11-Apr-2023 06:49 PM,Rejected-Finance,Not L-1,19-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration with validity
,,,,,,,,,,,,,,,,4.0,341582.0,VIKAS SHARMA,12-Apr-2023 10:14 PM,Rejected-Finance,Not L-1,19-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No. and NOC from concerned department
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and NOC from concerned department
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work Done Certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equival"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work in hand certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equi"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Machinery Tool Plant as per bid documents along with documentary proof.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Both Gazetted and non-Gazetted officer HPPWD employees related to him (General Rule
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).
