Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
"1,500",Nil,Nil,No,"C/o Kuffer Dadar to Koli ka Bag Road km. 0/00 to 7/365 (Sh P/L G-I, G- II from km. 4/00 to 6/00, P/L Kharanja stone Soling in essential patches from km. 4/00 to 6/00 and C/O HPC at RD. 4/770). Under SCSP","C/o Kuffer Dadar to Koli ka Bag Road km. 0/00 to 7/365 (Sh P/L G-I, G- II from km. 4/00 to 6/00, P/L Kharanja stone Soling in essential patches from km. 4/00 to 6/00 and C/O HPC at RD. 4/770). Under SCSP",Please refer Tender documents. ,NA ,"26,72,257",Civil Works,NA ,Tender,75.0,180.0,Sangrah,173023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Sangrah",No ,No,PWD,Sangrah 13297-13326 Dated 06.03.2023-2,2023_PWD_70461_7,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,RECEIPT / SCREEN SHOT OF COST OF TENDER AND EARNEST MONEY PAYMENT (INDICATED IN SCHEDULE F),10-Mar-2023 05:00 PM,21-Mar-2023 10:30 AM,10-Mar-2023 05:00 PM,21-Mar-2023 10:00 AM,NA ,NA ,10-Mar-2023 05:00 PM,21-Mar-2023 10:00 AM,01-Apr-2023 11:30 AM,"53,500",No,fixed,,Nil,Nil,"Executive Engineer, HPPWD Division Sangrah","Executive Engineer, HPPWD Division Sangrah",1.0,ICICI BANK,1.0,336505.0,vijay singh,INR,"2,400,913.68",Finance,Summary,Rattan Kumar Sharma,06-Apr-2023 10:56 AM,finance_106243.pdf,BOQ Comparative Chart,1.0,336580.0,Akshay Thakur,20-Mar-2023 06:58 PM,Rejected-Finance,L3,10-Apr-2023,Technical,Summary,Rattan Kumar Sharma,22-Mar-2023 11:12 AM,technical_106243.pdf,Executive Engineer,Internal,SUPERINTENDENT G-II DAO HDM,Rattan Kumar Sharma,01-Apr-2023 10:27 AM,01-Apr-2023 11:30 AM,techsummary_106243.pdf (505.04 KB),PWD,2023_PWD_70461_7,Sangrah 13297-13326 Dated 06.03.2023-2,"C/o Kuffer Dadar to Koli ka Bag Road km. 0/00 to 7/365 (Sh P/L G-I, G- II from km. 4/00 to 6/00, P/L Kharanja stone Soling in essential patches from km. 4/00 to 6/00 and C/O HPC at RD. 4/770). Under SCSP",17-May-2023,"INR 2,400,913.68",180.0,Rattan Kumar Sharma,24-May-2023 04:11 PM,07.pdf (1132.00 KB),AOC,Executive Engineer,Internal,SUPERINTENDENT G-II DAO HDM,Rattan Kumar Sharma,10-Apr-2023 11:23 AM,finsummary_106243.pdf (236.04 KB)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.3. CONTRACTORS REGISTRATION,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,2.0,336610.0,lokesh sharma,20-Mar-2023 08:36 PM,Rejected-Finance,L2,10-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.4. GST NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,336603.0,M/S HARMAN CONSTRUCTIONS,20-Mar-2023 07:58 PM,Rejected-Finance,L4,10-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.6. LIST OF MACHINERY TOOL AND PLANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,336505.0,vijay singh,20-Mar-2023 07:35 PM,Accepted-AOC,AOC,24-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.8. HPPWD FORM No. 8.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.9. ANY OTHER DOCUMENTS AS SPECIFIED BY THE STATE IN PERFORMA OF SCHEDULE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PROOF TO REGISTRATION UNDER EMPLOYEES PROVIDENT FUNDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT OR UNDERTAKING REGARDING CORRECTNESS OF BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,VALID E-MAIL ID AND CONTACT NO.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,24.7. BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
