Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
09-May-2023 12:10 PM,18-May-2023 11:00 AM,09-May-2023 12:10 PM,18-May-2023 09:00 AM,NA ,NA ,09-May-2023 12:10 PM,18-May-2023 09:00 AM,20-May-2023 09:00 AM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document as per schedule F (6.3) and Earnest Money as per schedule F (6.5),Repair and renovation of various residential buildings under division No. III Shimla. (SH - Repair of Club Lodge. block 20 set No. 8 and block 12 etc. at U.S. Club Shimla).,Repair and renovation of various residential buildings under division No. III Shimla. (SH - Repair of Club Lodge. block 20 set No. 8 and block 12 etc. at U.S. Club Shimla).,As per SBD ,NA ,"9,55,645",Civil Works - Bridges,NA ,Tender,75.0,30.0,U.S.Club,171002.0,NA ,NA ,NA ,"Executive Engineer Shimla Division No.IIIHP.PWD.,",No ,No,350.0,Nil,Nil,No,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","19,113",No,fixed,,Nil,Nil,PWD,SSD-III-T-1300-15dt.6-5-2023,2023_PWD_72991_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,PWD,2023_PWD_72991_5,SSD-III-T-1300-15dt.6-5-2023,Repair and renovation of various residential buildings under division No. III Shimla. (SH - Repair of Club Lodge. block 20 set No. 8 and block 12 etc. at U.S. Club Shimla).,PKVermaE.E.,Internal,SanjeevChauhanSupdt.KamleshMehtaHDMDeepakSharmaSr.DAO,Bhupender Singh,19-May-2023 07:33 PM,20-May-2023 09:00 AM,techsummary_109802.pdf (394.61 KB),PKVermaE.E.,Internal,SanjeevChauhanSupdt.KamleshMehtaHDMDeepakSharmaSr.DAO,Bhupender Singh,22-May-2023 05:25 PM,finsummary_109802.pdf (260.73 KB),31-May-2023,"INR 955,644",30.0,Bhupender Singh,07-Jun-2023 10:23 AM,RajinderAOC.pdf (556.00 KB),AOC,1.0,346994.0,RAJINDER SINGH VERMA,13-May-2023 03:14 PM,Accepted-AOC,L1,07-Jun-2023,Technical,BOS,Bhupender Singh,19-May-2023 07:31 PM,technical_109802.pdf,Finance,BOS,Bhupender Singh,20-May-2023 10:36 AM,finance_109802.pdf,BOQ Comparative Chart,1.0,346994.0,RAJINDER SINGH VERMA,INR,"955,644"
,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Contractor registration as per general Rule 23 and as per invitation of bid.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,347001.0,Raman Chadha,13-May-2023 03:50 PM,Rejected-Finance,L2,22-May-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,GST registration as per General Rule No 21. Copy of GST No./ Copy of Tin No. and Copy of PAN Card.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,347365.0,SHEEL CONSTRUCTION AND ENTERPRISES,17-May-2023 11:54 AM,Rejected-Finance,L3,22-May-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,HP.PWD Form No-7/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,Affidavit of Gazetted and non-Gazetted HPPWD employees related to him (General Rule No 16).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,"Affidavit of no relative working in PWD, Information furnished in the bid is correct in all respect.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,Proof of Machinery Tools plant and ownership as per sr. No. 6.19 of schedule F Clause 18.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,Minimum Turnover for last Five years as given by CA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,Work done certificate as per schedule F (6.9) and Work in hand certificate as per schedule F (6.10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
