S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.2,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
1.0,266509.0,Manoj Chawla,INR,"2,091,679",Finance,Fin Bid Opening Summary,Kishan Lal Chaudhary,31-Mar-2022 10:28 AM,finance_86117.pdf,BOQ Comparative Chart,Technical,Bid Opening Summary,Kishan Lal Chaudhary,07-Mar-2022 11:20 AM,technical_86117.pdf,1.0,266509.0,Manoj Chawla,01-Mar-2022 02:31 PM,Accepted-AOC,Work completed,06-May-2023,Er. K.L. Chaudhary,Internal,"Sh. Sanjeet Sinha DAO, Sh.B.S. Rawat Supdt. Gr.II, Smt. Usha Aggarwal HDM",Kishan Lal Chaudhary,31-Mar-2022 11:06 AM,finsummary_86117.pdf (363.33 KB),06-May-2023,"INR 2,321,000",90.0,Dalip Singh Tomar,06-May-2023 12:45 PM,aoc.pdf (967.00 KB),AOC,PWD,2022_PWD_57068_8,Tender/10565-10614 dated 14.02.2022,Periodical renewal on link road to village Misserwala from NH-07 km. 0/0 to 1/0. (SH- Repair of pot holes with Penetration Macadam and 30mm bituminous concrete in km. 0/0 to 0/990 and C/O road side V-shape drain in various RDs). Under AMP.,Er. K. L. Chaudhary,Internal,"Sh. Sanjeet Sinha DAO, Sh. Sanjeev Goel Supdt. Gr.II, Smt. Usha Aggarwal HDM",Kishan Lal Chaudhary,07-Mar-2022 11:37 AM,07-Mar-2022 12:00 PM,techsummary_86117.pdf (813.93 KB),1.0,ICICI BANK,PWD,Tender/10565-10614 dated 14.02.2022,2022_PWD_57068_8,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Periodical renewal on link road to village Misserwala from NH-07 km. 0/0 to 1/0. (SH- Repair of pot holes with Penetration Macadam and 30mm bituminous concrete in km. 0/0 to 0/990 and C/O road side V-shape drain in various RDs). Under AMP.,Periodical renewal on link road to village Misserwala from NH-07 km. 0/0 to 1/0. (SH- Repair of pot holes with Penetration Macadam and 30mm bituminous concrete in km. 0/0 to 0/990 and C/O road side V-shape drain in various RDs). Under AMP.,Please refer tender document. ,NA ,"23,21,000",Civil Works - Roads,NA ,Tender,75.0,90.0,Paonta Sahib,173025.0,NA ,NA ,NA ,Paonta Sahib,No ,No,"42,300",No,fixed,,Nil,Nil,500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender - indicated in schedule E at Sr. No. (ii) and Earnest money F at sr. No. (i).,Executive Engineer,Executive Engineer HPPWD Division Paonta Sahib District Sirmour (HP).,22-Feb-2022 04:30 PM,02-Mar-2022 11:00 AM,22-Feb-2022 05:00 PM,02-Mar-2022 10:30 AM,NA ,NA ,22-Feb-2022 05:00 PM,02-Mar-2022 10:30 AM,07-Mar-2022 12:00 PM
,,,,,,,,,,,,,,,,2.0,267284.0,M/S Sharma Enterpirses,01-Mar-2022 08:11 PM,Rejected-Finance,L2,31-Mar-2022,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Contractor registration- refer general rule sr. No 24.3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Copy of GST, EPF Registration and Permanent account number",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of incomplete works in hand general rule sr. No 28.1 duly signed by the concerned officer.,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid will be rejected if any incomplete work noticed beyond stipulated period without genuine reasons,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machinery as per schedule F Sr.No.24.6Ref.Cl- No.18( i.e.R.C,purchase bills,ownership/Affidavit etc.",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"If contractor takes machinery on hire basis, affidavit is required from the owner/provider a/w proof",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form no HPPWD-7/8 duly signed.,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non gazetted officer hppwd employees related to him(General Rule Sr.No.12),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding true and correct duly attested by the Notary/Executive Magistrate.,,,,,,,,,,,
