Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At
Technical,BOS,Jeet Singh Thakur,04-Sep-2021 06:49 PM,technical_77113.pdf,1.0,233655.0,Manesh Mehta,02-Sep-2021 04:20 PM,Rejected-Finance,2nd lowest,14-Oct-2021,1.0,232900.0,Sumit Kumar Govt. cont.,INR,"10,769,133",Finance,BOS,Jeet Singh Thakur,13-Sep-2021 12:17 PM,finance_77113.pdf,BOQ Comparative Chart,26-May-2023,"INR 14,677,857",270.0,Rajeev Kumar,26-May-2023 05:24 PM,10266-76.pdf (1207.00 KB),Construction of Baily to Sanged road Km. 1/935 to 4/200 Formation cutting Retaining walls,EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,14-Oct-2021 11:40 AM,finsummary_77113.pdf (115.72 KB),Executive Engineer,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,04-Sep-2021 06:53 PM,10-Sep-2021 11:30 AM,techsummary_77113.pdf (314.02 KB),PWD,2021_PWD_51605_1,No.PWC-WA-II- 6242-341 dated 16.08.2021,Construction of Baily to Sanged road Km. 1/935 to 4/200 Formation cutting Retaining walls,Executive Engineer Chamba Division HPPWD Chamba,Executive Engineer Chamba Division HPPWD Chamba,Construction of Baily to Sanged road Km. 1/935 to 4/200 Formation cutting Retaining walls,Construction of Baily to Sanged road Km. 1/935 to 4/200 Formation cutting Retaining walls,Please refer Tender documents. ,NA ,"1,46,77,857",Civil Works - Roads,NA ,Tender,75.0,270.0,chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD Chamba,No ,No,"5,000",Nil,Nil,No,1.0,ICICI BANK,25-Aug-2021 10:00 AM,03-Sep-2021 11:30 AM,25-Aug-2021 10:00 AM,02-Sep-2021 05:00 PM,NA ,NA ,25-Aug-2021 10:00 AM,02-Sep-2021 05:00 PM,10-Sep-2021 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form only mode through e-payment,PWD,No.PWC-WA-II- 6242-341 dated 16.08.2021,2021_PWD_51605_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"2,93,600",No,fixed,,Nil,Nil
,,,,,2.0,233608.0,Narain Singh Thakur,02-Sep-2021 11:53 AM,Rejected-Finance,3rd lowest,14-Oct-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,.pdf,Earnest Money only mode through e-payment,,,,,,,,,,,,,,,,,,,,
,,,,,3.0,232900.0,Sumit Kumar Govt. cont.,01-Sep-2021 11:37 AM,Accepted-AOC,work completed by the contractor,26-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule and directions No.20 and as per invitation of bid ),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST registration,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate (As per Performa given in General rule and Directions 16,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Report of charted Accountant showing total annual volume in last five years (Ref. gen. Rule No.26.2a,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18 of GCC),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HP.PWD form -7/8,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no litigation with the department,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of technical staff,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN No.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work experience as per clause 26.2 b of general and direction and as per schedule F,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,
