S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder
1.0,289642.0,S.S. Associates,INR,"4,355,372",Finance,Fin Bid Opening Summary,Kishan Lal Chaudhary,26-Jul-2022 11:43 AM,finance_93941.pdf,BOQ Comparative Chart,Technical,Bid Opening Summary,Kishan Lal Chaudhary,11-Jul-2022 04:34 PM,technical_93941.pdf,1.0,290323.0,H. C. Bansal Engg. & Contt.,07-Jul-2022 09:13 AM,Rejected-Finance,L2,26-Jul-2022,03-May-2023,"INR 4,924,199",180.0,Dalip Singh Tomar,03-May-2023 01:58 PM,aoc.pdf (1056.00 KB),AOC,Er. K. L. Chaudhary,Internal,"Sh. Vishal Upadhyay DAO, Sh. B.S. Rawat Supdt. Gr.II, Smt. Usha Aggarwal HDM",Kishan Lal Chaudhary,26-Jul-2022 11:57 AM,finsummary_93941.pdf (250.79 KB),Er. K. L. Chaudhary,Internal,"Sh. Vishal Upadhyay DAO, Sh. B.S. Rawat Supdt. Gr.II, Smt. Usha Aggarwal HDM",Kishan Lal Chaudhary,16-Jul-2022 11:06 AM,16-Jul-2022 11:30 AM,techsummary_93941.pdf (836.51 KB),PWD,2022_PWD_62283_2,Tender/3092-3141 dated 17.06.2022,"Periodical renewal on Mehat Gawana Khali Achon to Naddi road km. 0/0 to 12/0 (SH- P/L Penetration macadam (50mm.), Bituminous concrete 30mm.in km.0/0 to 4/0). (Incentive during the year 2019-20). Under PMGSY.",01-Jul-2022 04:30 PM,07-Jul-2022 11:00 AM,01-Jul-2022 05:00 PM,07-Jul-2022 10:30 AM,NA ,NA ,01-Jul-2022 05:00 PM,07-Jul-2022 10:30 AM,16-Jul-2022 11:30 AM,Executive Engineer,Executive Engineer HPPWD Division Paonta Sahib District Sirmour (HP),"81,400",No,fixed,,Nil,Nil,"2,000",Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of tender - indicated in schedule E at Sr. No. (ii),PWD,Tender/3092-3141 dated 17.06.2022,2022_PWD_62283_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Condition of plant,Other,,"Periodical renewal on Mehat Gawana Khali Achon to Naddi road km. 0/0 to 12/0 (SH- P/L Penetration macadam (50mm.), Bituminous concrete 30mm.in km.0/0 to 4/0). (Incentive during the year 2019-20). Under PMGSY.","Periodical renewal on Mehat Gawana Khali Achon to Naddi road km. 0/0 to 12/0 (SH- P/L Penetration macadam (50mm.), Bituminous concrete 30mm.in km.0/0 to 4/0). (Incentive during the year 2019-20). Under PMGSY.",Please refer tender document ,NA ,"49,24,199",Civil Works - Roads,NA ,Tender,75.0,180.0,Paonta Sahib,173025.0,NA ,NA ,NA ,Paonta Sahib,No ,No
,,,,,,,,,,,,,,,,2.0,289892.0,Manoj Chawla,06-Jul-2022 04:05 PM,Rejected-Finance,L3,26-Jul-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Earnest money-indicated in schedule F at sr. No. (I),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3.0,289642.0,S.S. Associates,05-Jul-2022 05:01 PM,Accepted-AOC,Work Completed,03-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Contractor registration- refer general rule sr. No 24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration (Refer General Rule No.24.4)and Permanent account number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of incomplete works in hand general rule sr. No 28.1 duly signed by the concerned officer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid will be rejected if any incomplete work noticed beyond stipulated period without genuine reasons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machinery as per schedule F Sr.No.24.6Ref.Cl- No.18( i.e.R.C,purchase bills,ownership/Affidavit etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"If contractor takes machinery on hire basis, affidavit is required from the owner/provider a/w proof",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form no HPPWD-7/8 duly signed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
