S.No,Category,Sub Category,Sub Category Description,Format/File,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,PWD,PW/TLD/AB/Tender/2022- 32935-55 dt. 28.02.2023,2023_PWD_70034_6,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"46,000",No,fixed,,Nil,Nil,04-Mar-2023 05:00 PM,15-Mar-2023 11:30 AM,04-Mar-2023 05:00 PM,14-Mar-2023 05:00 PM,NA ,NA ,04-Mar-2023 05:00 PM,14-Mar-2023 05:00 PM,18-Mar-2023 12:35 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender as per Tender Document,Executive Engineer,Executive Engineer Thalout Division HPPWD Thalout,1.0,ICICI BANK,500.0,Nil,Nil,No,Construction of stage and boundary wall GSSS Panjain Tehsil Balichowki Distt Mandi HP SH Construction of Stage and boundary wall.,Construction of stage and boundary wall GSSS Panjain Tehsil Balichowki Distt Mandi HP SH Construction of Stage and boundary wall.,Please refer Tender documents. ,NA ,"22,93,138",Civil Works,NA ,Tender,120.0,180.0,Panjain,175106.0,NA ,NA ,NA ,Executive Engineer Thalout Division HPPWD Thalout,No ,No,1.0,333834.0,Bhushan Chauhan,13-Mar-2023 05:02 PM,Rejected-Finance,L4,30-May-2023,Technical,Detailed Summary attached.,Suresh Kumar Dhiman,18-Mar-2023 11:15 AM,technical_105679.pdf,Finance,Summary,Suresh Kaushal,26-Mar-2023 02:34 PM,,BOQ Comparative Chart,1.0,332641.0,SH. AMAR SINGH THAKUR,INR,"1,811,579",PWD,2023_PWD_70034_6,PW/TLD/AB/Tender/2022- 32935-55 dt. 28.02.2023,Construction of stage and boundary wall GSSS Panjain Tehsil Balichowki Distt Mandi HP SH Construction of Stage and boundary wall.,Executive Engineer,Internal,Supdt Gd II DHD DAO Assistant Engineer Balichowki,Suresh Kumar Dhiman,18-Mar-2023 12:28 PM,18-Mar-2023 12:35 PM,techsummary_105679.pdf (243.26 KB),Er.S.K.Dhiman Executive Enginer,Internal,"1 Sh. Keshav Ram Supdt.Gr.II, 2. Sh. J.C Thakur DHD, 3. Sh. Amit Nagar DAO, 4. Sh. Govind Singh Thakur AE Balichowki.",Suresh Kumar Dhiman,30-May-2023 02:42 PM,finsummary_105679.pdf (328.89 KB),30-May-2023,"INR 1,811,579",180.0,Suresh Kumar Dhiman,30-May-2023 02:48 PM,AOCGSSSPanjain.pdf (276.00 KB),Detail attached
2.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money as per Tender Document,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,2.0,333783.0,Girdhari lal,13-Mar-2023 04:15 PM,Rejected-Technical,Non-Responsive clause 26.2 (b) of SBD,18-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,334660.0,HIRA SINGH GOVT CONT,14-Mar-2023 12:43 PM,Rejected-Finance,L3,30-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,334911.0,khem raj,14-Mar-2023 01:05 PM,Rejected-Finance,L2,30-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plants as per Tender Document",,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,332641.0,SH. AMAR SINGH THAKUR,07-Mar-2023 03:57 PM,Accepted-AOC,L1,30-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,334427.0,Tej Singh Contractor,14-Mar-2023 04:29 PM,Rejected-Finance,L5,30-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,334883.0,Todar Mal Govt Contr,14-Mar-2023 02:26 PM,Rejected-Technical,Non-Responsive clause 26.2 (b) of SBD,18-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted and Non-Gazetted HPPWD Employees Related to Him as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents as Specified by The State in Proforma of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
