S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
1.0,ICICI BANK,"1,19,790",Yes,fixed,,Nil,Nil,Executive Engineer Electrical,HIMUDA Electrical Division Dharamshala Distt. Kangra H.P.,06-Apr-2023 10:00 AM,17-Apr-2023 02:00 PM,06-Apr-2023 04:00 PM,17-Apr-2023 12:00 PM,06-Apr-2023 04:00 PM ,17-Apr-2023 12:00 PM ,06-Apr-2023 04:00 PM,17-Apr-2023 12:00 PM,19-Apr-2023 12:00 PM,"2,360",Nil,Nil,Yes,Construction of Integrated Command and Control Centre Building for Dharamshala Smart City Ltd. at Dharamshala Distt. kangra H.P.,"Sub Head Providing Installation, Testing and Commissioning of Fire Fighting System therein",Please refer Tender documents. ,NA ,"59,89,384",Electrical Works,NA ,Tender,60.0,150.0,Dharamshala Distt. Kangra,176215.0,NA ,NA ,NA ,HIMUDA Electrical Division Dharamshala,No ,No,1.0,Fee/PreQual/Technical,.pdf,Copy of Earnest Money and Cost of Tender (As per NIT),"Himachal Urban Development Authority||Supdt. Engineer (N),HIMUDA||Executive Engineer Electrical Dn,Dharamsala,HIMUDA",HIMUDA/EDD-W7/28-38,2023_HIMUD_71951_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,341677.0,Sudha Kumari,16-Apr-2023 04:30 PM,Accepted-AOC,Lowest Bidder,17-May-2023,Er Rajni Duggal,Internal,"Er Ram Krishan Miss Reenu JOA(IT), Sh. Hans Raj JDM, Sh. Abhishek Thakur Divisional Accountant",Ram Krishan,19-Apr-2023 11:57 AM,19-Apr-2023 12:00 PM,techsummary_108287.pdf (789.45 KB),12-May-2023,"INR 5,989,384",150.0,Ram Krishan,17-May-2023 11:59 AM,Award.pdf (1746.00 KB),Award of Contract,Technical,Bid opening Summary,Ram Krishan,19-Apr-2023 11:52 AM,technical_108287.pdf,Finance,Bid opening Summary,Ram Krishan,19-Apr-2023 04:38 PM,finance_108287.pdf,BOQ Comparative Chart,Er. Rajni Duggal EE(E),Internal,"Er. Ram Krishan AE(E), Sh. Abhishek Thakur Divisional Accountant, Sh. Hans Raj JDM, Miss Reenu JOA(IT)",Ram Krishan,19-Apr-2023 04:46 PM,finsummary_108287.pdf (1465.40 KB),"Himachal Urban Development Authority||Supdt. Engineer (N),HIMUDA||Executive Engineer Electrical Dn,Dharamsala,HIMUDA",2023_HIMUD_71951_1,HIMUDA/EDD-W7/28-38,Construction of Integrated Command and Control Centre Building for Dharamshala Smart City Ltd. at Dharamshala Distt. kangra H.P.,1.0,341677.0,Sudha Kumari,INR,"4,380,187"
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Registration/Enlistment/Approval (As per NIT),,,,,,,,,,,,,,,2.0,342101.0,TARUN FIRE SYSTEM,14-Apr-2023 06:00 PM,Rejected-Finance,Rejected,19-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN/TAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done certificate as per Condition No. 16 of From 6 of Tender Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per formula under Condition No. 26.2(a) and Work in hand detail also attached.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Integrity Pact submitted by the Bidder as per Form No. 8 Page No. 51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
