Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding
01-May-2023,"INR 5,322,565",120.0,Tarlok Dhiman,27-Aug-2023 02:20 PM,HarbhajanCamel713251.pdf (544.00 KB),Shri Harbhajan Singh,Er. J.S. Thakur,Internal,"TA,HDM,Supdt., DAO",Jagtar Singh Thakur,10-Apr-2023 06:16 PM,finsummary_107387.pdf (576.38 KB),Er. J.S. Thakur,Internal,"TA, HDM, Supdt. , DAO",Jagtar Singh Thakur,04-Apr-2023 06:14 PM,05-Apr-2023 10:30 AM,techsummary_107387.pdf (623.62 KB),PWD,2023_PWD_71325_1,dshala 16667-700,Improvement of Camel Track road km 0/000 to 2/600 in Tehsil Dharamshala Distt. Kangra H.P. (Deposit work),Technical,Attached,Jagtar Singh Thakur,30-Mar-2023 07:41 PM,technical_107387.pdf,1.0,338522.0,Ashok Kumar,28-Mar-2023 12:41 PM,Rejected-Finance,Due to higher bidder,10-Apr-2023,Finance,As per documents attached,Jagtar Singh Thakur,05-Apr-2023 03:45 PM,finance_107387.pdf,BOQ Comparative Chart,1.0,338255.0,Harbhajan singh,INR,"5,322,565",21-Mar-2023 03:00 PM,29-Mar-2023 11:30 AM,21-Mar-2023 03:00 PM,28-Mar-2023 06:55 PM,NA ,NA ,21-Mar-2023 03:00 PM,28-Mar-2023 06:55 PM,05-Apr-2023 10:30 AM,"2,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and cost of Form,Executive Engineer,Executive Engineer HP PWD Division Dharamshala,Improvement of Camel Track road km 0/000 to 2/600 in Tehsil Dharamshala Distt. Kangra H.P. (Deposit work),SH- Providing and Laying 60mm thick Cobble stone at RD 0/650 to 1/619 and 1/860 to 2/100,Please refer Tender documents. ,NA ,"62,77,508",Civil Works,NA ,Tender,75.0,120.0,Dharamshala,176215.0,NA ,NA ,NA ,Dharamshala,No ,No,1.0,ICICI BANK,"1,25,550",No,fixed,,Nil,Nil,PWD,dshala 16667-700,2023_PWD_71325_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,338255.0,Harbhajan singh,28-Mar-2023 10:25 AM,Accepted-AOC,L1,27-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery and staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand certificate in HP PWD duly verified by competent authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with name of work is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
