S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
1.0,161828.0,Bhaskar Baruah,INR,22594325.0,Finance,Financial Bids has been opened,Sanjita Bodo,30-Dec-2022 03:04 PM,,BOQ Comparative Chart,"Chief Engineer,(EAP)PWRD,Assam",Internal,"Deputy Secretary(Works),PWRD,CPIU and Superintending Engineer,CE,PWRD(Roads),Assam",Sanjita Bodo,29-Dec-2022 06:45 PM,30-Dec-2022 02:30 PM,techsummary_42109.pdf (205.99 KB),1,161274,ANIL DAS,18-Nov-2022 10:37 PM,Rejected-Technical,As per decision of Bid Evaluation Committee,29-Dec-2022 06:45 PM,"Chief Engineer,(EAP)PWRD,Assam",Internal,"Deputy Secretary(Works),PWRD,CPIU and Superintending Engineer,CE,PWRD(Roads),Assam",Kampi Sonowal,26-May-2023 06:22 PM,finsummary_42109.pdf (109.08 KB),Technical,Technical Bids has been opened,Kampi Sonowal,21-Nov-2022 06:45 PM,,Public Works Roads Department-Externally Aided Project||Public Works Road Department- World Bank Funded Tenders,2022_PWRDW_27413_2,CE/APART/168/2022/7,Warehouse complex at at Amingaon in Kamrup District (Godown 1) WH-K-06,26-May-2023,INR 22594324.54,270.0,Kampi Sonowal,26-May-2023 06:24 PM,WO_WH_Amingaon_God1.pdf (95.00 KB),AOC,20-Oct-2022 09:00 AM,19-Nov-2022 02:30 PM,20-Oct-2022 09:15 AM,19-Nov-2022 02:00 PM,20-Oct-2022 09:30 AM ,29-Oct-2022 11:00 AM ,20-Oct-2022 09:30 AM,19-Nov-2022 02:00 PM,30-Dec-2022 02:30 PM,"5,99,400",Yes,fixed,,Nil,Nil,1.0,SBI Bank,Public Works Roads Department-Externally Aided Project||Public Works Road Department- World Bank Funded Tenders,CE/APART/168/2022/7,2022_PWRDW_27413_2,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,EMD and Tender Fee Receipt,Warehouse complex at at Amingaon in Kamrup District (Godown 1) WH-K-06,APART/NOCP/WAREHOUSES/K-06 Renovation and Up-gradation of Warehousing Facilities in existing Warehouse complex (Godown 1) at Amingaon in Kamrup District under APART.,Please refer Tender documents. ,NA ,"2,99,70,000",Civil Works - Building,NA ,Tender,90.0,270.0,Kamrup District,781031.0,"O/o The Chief Engineer, (EAP) PWRD, Assam ","O/o The Chief Engineer, (EAP) PWRD, Assam, Fatasil Ambari, Guwahati-781025 ",29-Oct-2022 11:00 AM ,"O/o The Chief Engineer, (EAP) PWRD, Assam",No ,No,"6,000",Nil,Nil,No,"Chief Engineer, (EAP) PWRD, Assam","O/o The Chief Engineer, (EAP) PWRD, Assam, Fatasil Ambari, Guwahati-781025",AOC
,,,,,,,,,,,,,,,,,,2,161828,Bhaskar Baruah,19-Nov-2022 08:15 AM,Accepted-AOC,Awarded Contract Bidder,26-May-2023 06:26 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,3,160863,Bikash Enterprises,19-Nov-2022 12:02 PM,Rejected-AOC,Rejected as L8,26-May-2023 06:26 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Qualification Details,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,4,163128,Mrinmoy Kumar Das,19-Nov-2022 12:35 PM,Rejected-AOC,Rejected as L3,26-May-2023 06:26 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Letter of Bid (Technical),,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,5,163106,M/S Assam Electric Store,19-Nov-2022 12:13 PM,Rejected-AOC,Rejected as L5,26-May-2023 06:26 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,6,163207,M/S MAHAABALA CONSTRUCTION PVT. LTD.,19-Nov-2022 12:41 PM,Rejected-AOC,Rejected as L6,26-May-2023 06:26 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Letter of Bid (Financial),,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,7,163154,M/S SUNRISE ENTERPRISE,19-Nov-2022 01:24 AM,Rejected-AOC,Rejected as L7,26-May-2023 06:26 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,8,163141,POOJA ASSOCIATES(CONTRACT DIVN),19-Nov-2022 12:12 PM,Rejected-AOC,Rejected as L4,26-May-2023 06:26 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,9,161741,Sri Uday Baishya,19-Nov-2022 01:42 PM,Rejected-Technical,As per decision of Bid Evaluation Committee,29-Dec-2022 06:45 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,10,161903,SWAPAN LODH ROY,19-Nov-2022 11:23 AM,Rejected-AOC,Rejected as L2,26-May-2023 06:26 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
