Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bank Name,Name,Address
06-May-2023,"INR 3,577,374.45",180.0,Manish Sehgal,06-May-2023 11:43 AM,AOC.pdf (329.00 KB),AOC,Sh. Manish Sehgal,Internal,,Manish Sehgal,06-May-2023 11:42 AM,finsummary_105038.pdf (132.31 KB),Sh. Manish Sehgal,Internal,Subhash Chand Supdt. Suresh Kumar HDM Naveen Kumar DAO Manjeet Kumar Sr Asstt,Manish Sehgal,09-Mar-2023 12:21 PM,09-Mar-2023 12:30 PM,techsummary_105038.pdf (347.61 KB),PWD,2023_PWD_69627_1,NIT No.19107-66 DT.21-02-2023-Bhawarna,Construction of Additional Accommodation at Govt. Sr. Sec. School Kiarwan in Distt. Kangra,Technical,Summary Attached,Manish Sehgal,09-Mar-2023 12:20 PM,technical_105038.pdf,1.0,331317.0,Alpna Sharma,03-Mar-2023 05:27 PM,Accepted-AOC,Bid Rank-L1,06-May-2023,Finance,Summary,Manish Sehgal,06-May-2023 11:40 AM,finance_105038.pdf,BOQ Comparative Chart,1.0,331317.0,Alpna Sharma,INR,"3,577,374.45",25-Feb-2023 10:00 AM,06-Mar-2023 11:30 AM,25-Feb-2023 10:05 AM,06-Mar-2023 11:00 AM,NA ,NA ,25-Feb-2023 10:30 AM,06-Mar-2023 11:00 AM,09-Mar-2023 12:30 PM,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of tender form.,PWD,NIT No.19107-66 DT.21-02-2023-Bhawarna,2023_PWD_69627_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Construction of Additional Accommodation at Govt. Sr. Sec. School Kiarwan in Distt. Kangra,Balance work of Ground Floor.,Please refer Tender documents. ,NA ,"43,69,524",Civil Works - Buildings,NA ,Tender,75.0,180.0,Bhawarna,176083.0,NA ,NA ,NA ,O/o EE Bhawarna Division HPPWD Bhawarna,No ,No,"2,000",Nil,Nil,No,"88,000",No,fixed,,Nil,Nil,1.0,ICICI BANK,O/o EE Bhawarna Division HPPWD Bhawarna,O/o EE Bhawarna Division HPPWD Bhawarna
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,331331.0,mukesh,03-Mar-2023 05:50 PM,Rejected-AOC,Bid Rank-L2,06-May-2023,,,,,,,,,,,,,,,,,,,,,,,.pdf,The valid enlistment/registration of contractor in appropriate class.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration and PAN Copy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HP PWD department.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding not more than two works in hand.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and equipment as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the contractor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund (EPF) Registration number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
