Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1.1,Category,Sub Category,Sub Category Description,Format/File
19-May-2023,"INR 5,508,080",30.0,Ravi Kapoor,14-Jun-2023 05:17 PM,AOC.pdf (176.00 KB),AOC,EE SOLAN,Internal,DAO SOLAN HDM SUPDT GRII,Arvind Kumar,23-Mar-2023 12:00 PM,finsummary_105776.pdf (315.70 KB),Er Arvind Sharma Executive Engineer,Internal,Shri Satish Sharma Senior Divisional Accounts Officer Shri Deepak Walia Superintendent PMGSY Shri Hemender Sharma HDM,Arvind Kumar,19-Mar-2023 12:16 PM,19-Mar-2023 12:20 PM,techsummary_105776.pdf (17.27 KB),PWD,2023_PWD_70182_1,No.15519-30 dated 24.02.2023,AMP for the year 2023-24 for Solan meenus road km 2/0 to 9/300 (MDR-02),1.0,334637.0,BHUPENDER SINGH THAKUR,INR,"5,508,080",Finance,Opening Summary,Arvind Kumar,23-Mar-2023 11:53 AM,finance_105776.pdf,BOQ Comparative Chart,Technical,bid opening summary,Arvind Kumar,19-Mar-2023 11:21 AM,technical_105776.pdf,1.0,334637.0,BHUPENDER SINGH THAKUR,13-Mar-2023 03:26 PM,Accepted-AOC,AOC,14-Jun-2023,AMP for the year 2023-24 for Solan meenus road km 2/0 to 9/300 (MDR-02),SH Providing and laying renewal coat by providing 30mm thick bituminous concrete and road marking in km 2/0 to 4/0,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,30.0,Solan,173212.0,NA ,NA ,NA ,Solan B and R division,No ,No,1.0,Fee/PreQual/Technical,.pdf,1. Cost of tender and earnest money indicate in Schedule F General Rule NO. 24.1,Executive Engineer,NEAR NEW BUS STAND BYEPASS ROAD SOLAN,"98,000",No,fixed,,Nil,Nil,1.0,ICICI BANK,"5,000",Nil,Nil,No,PWD,No.15519-30 dated 24.02.2023,2023_PWD_70182_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,04-Mar-2023 11:30 AM,14-Mar-2023 11:00 AM,04-Mar-2023 11:30 AM,14-Mar-2023 11:00 AM,NA ,NA ,04-Mar-2023 11:30 AM,14-Mar-2023 11:00 AM,19-Mar-2023 12:20 PM,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,334816.0,naresh vij govt contractor,14-Mar-2023 07:47 AM,Rejected-AOC,L-4 (Rejected),14-Jun-2023,,,,,,,,,,,,,,,,,,,,,.pdf,2. Contractors registration refers general rules and directions No 24.3 of SBD.,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,333902.0,PWD Department,11-Mar-2023 05:41 PM,Rejected-Finance,As class D Contractor,23-Mar-2023,,,,,,,,,,,,,,,,,,,,,.pdf,3. GST registration refers general rules and Directions no 24.4 of SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,334718.0,Rajesh Sahni,13-Mar-2023 05:04 PM,Rejected-AOC,L-3 (Rejected),14-Jun-2023,,,,,,,,,,,,,,,,,,,,,.pdf,4. Work done certificate and work in hand certificate refer in general rules No 24.5 schedule F Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"5. List of machinery, tool plant shown in schedule F with reference to clause 24.6 of SBD affidavit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,6. Affidavits of correctness of all the documents are submitted is true by the Contractor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,9. Contractor should have to submit the proof of EPF as mentioned in SBD Clause 22 A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,10. Work done condition one similar nature of work not less than 40 percent of the estimated cost as,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,12. Fill Form NO 8 of SBD as per Directions and Rules No 24.8 and upload PDF documents.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
