Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No.3,Corrigendum Title,Corrigendum Type,View,S.No.1.1,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2.1,Category,Sub Category,Sub Category Description,Format/File
Er.Pawan Kumar,Internal,"Ms. Akriti Aggarwal DAO, Er. Harish Chander JE, Sh. Rajender Singh Supdt Gr.II, Smt.Samriti Verma TA",Bhupender Kumar Goel,27-Apr-2023 03:43 PM,finsummary_107804.pdf (318.58 KB),17-May-2023,"INR 35,465,092",60.0,Kulbir Singh Thakur,08-Aug-2023 04:11 PM,LOAjob3G20.pdf (306.00 KB),LOA,PWD,2023_PWD_71651_3,7189-7219,"Maintenance of existing road (Kaithlighat to Dhalli section) of NH-05 from Km 131/000 to Km 145/100, Km 0/000 to 24/250 and Km 153/180 to 56/500 for G20 visit",Er.Pawan Kumar,Internal,"Ms. Akriti Agarwal DAO, Er. Harish Chander JE, Sh. Rajender Singh Supdt GrII, Smt. Samriti Verma TA",Bhupender Kumar Goel,20-Apr-2023 11:36 AM,20-Apr-2023 12:00 PM,techsummary_107804.pdf (738.66 KB),1.0,Corrigendum,Revocation of tender.,27-Apr-2023 02:37 PM,Corrigendum.pdf ,204.69,Financial Opening,Technical,Bid Opening Summary,Bhupender Kumar Goel,20-Apr-2023 11:34 AM,technical_107804.pdf,1.0,341209.0,Ajay Kumar Sood Engineers and Contractors,10-Apr-2023 09:39 PM,Accepted-AOC,Being L1,08-Aug-2023,1.0,341209.0,Ajay Kumar Sood Engineers and Contractors,INR,"35,465,092",Finance,Bid opening summary,Bhupender Kumar Goel,27-Apr-2023 03:33 PM,finance_107804.pdf,BOQ Comparative Chart,"9,26,500",No,fixed,,Executive Engineer NH Division HPPWD Solan,Solan,PWD,7189-7219,2023_PWD_71651_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,Executive Engineer NH Division HPPWD Solan,Executive Engineer NH Division HPPWD Solan,"Maintenance of existing road (Kaithlighat to Dhalli section) of NH-05 from Km 131/000 to Km 145/100, Km 0/000 to 24/250 and Km 153/180 to 56/500 for G20 visit","C/O Retaining wall at various RDs, Providing and Fixing sign Boards, Providing and Fixing missing and damaged W-beam Crash Barrier for road safety in various RDs, edge wall and Horticulture and land escaping in Km 131/000 to 145/100 and 0/000 to",Please refer Tender documents. ,NA ,"4,63,23,266",Civil Works,NA ,Tender,120.0,60.0,Shimla,171001.0,NA ,NA ,NA ,Solan,No ,No,1.0,Fee/PreQual/Technical,.pdf,cost of tender and earnest money,1.0,Corrigendum I,Other,,1.0,DD - Demand Draft,"5,000",Executive Engineer NH Division HPPWD Solan,Solan,No,27-Mar-2023 05:00 PM,11-Apr-2023 11:00 AM,27-Mar-2023 05:00 PM,11-Apr-2023 10:30 AM,NA ,NA ,27-Mar-2023 05:00 PM,11-Apr-2023 10:30 AM,20-Apr-2023 12:00 PM,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,341348.0,P K Construction Shimla Pvt Ltd,10-Apr-2023 04:51 PM,Rejected-Finance,Being L2,27-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,contractor registration,,,,,2.0,BG - Bank Guarantee,,,,,,,,,,,,,,2.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,341391.0,Vinay Thakur,11-Apr-2023 09:58 AM,Rejected-Technical,Non-Responsive,20-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Number,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,3.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,341436.0,Yashwant Singh Diwan,11-Apr-2023 09:36 AM,Rejected-Finance,Being L3,27-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST/Sales Tax number,,,,,,,,,,,,,,,,,,,,4.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tools and plant",,,,,,,,,,,,,,,,,,,,5.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of bid,,,,,,,,,,,,,,,,,,,,6.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of all documents,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding gazetted and non gazetted employees in HPPWD related to him,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,work in hand,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,work done certificate,,,,,,,,,,,,,,,,,,,,,,,,
