S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
1.0,DD - Demand Draft,"C/o Flow Irrigation Scheme Tharas at Village Tharas, G.P. Rot-II, Tehsil Bhunter , District Kullu (H.P.).","C/o Flow Irrigation Scheme Tharas at Village Tharas, G.P. Rot-II, Tehsil Bhunter , District Kullu (H.P.).",Please refer Tender documents. ,NA ,"64,64,800",Civil Works - Water Works,NA ,Tender,90.0,365.0,"District Project Manager, HPCDP (Phase-II), JICA-O",175125.0,"District Project Manager, HPCDP (Phase-II), JICA-O ","District Project Manager, HPCDP (Phase-II), JICA-ODA, Mandi Distt. Mandi (H.P.).  ",26-Apr-2023 11:00 AM ,"District Project Manager, HPCDP (Phase-II), JICA-O",No ,No,"2,000","District Project Manager, HPCDP (Phase-II), JICA-O","District Project Manager, HPCDP (Phase-II), JICA-O",No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form as indicated in NIT Sr. No. 3(a) i,"97,200",No,fixed,,"District Project Manager, HPCDP (Phase-II), JICA-O","District Project Manager, HPCDP (Phase-II), JICA-O",20-Apr-2023 05:00 PM,03-May-2023 11:00 AM,20-Apr-2023 05:00 PM,02-May-2023 05:00 PM,NA ,NA ,20-Apr-2023 05:00 PM,02-May-2023 05:00 PM,03-May-2023 03:40 PM,"District Project Manager, HPCDP (Phase-II), JICA-O","District Project Manager, HPCDP (Phase-II), JICA-ODA, Mandi Distt. Mandi (H.P.).",Himachal Pradesh Agriculture Development Society (JICA-ODA loan)||Project Director - HPCDP Project - JICA-ODA - Hamirpur||DPM - HPCDP Project - JICA-ODA - Palampur,F(5)-12/2023-81dt20.04.2023,2023_HPCDP_72357_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,10-May-2023,"INR 8,157,374",365.0,NAVNEET SOOD,15-Jun-2023 01:09 PM,Tharasawardletter.pdf (243.00 KB),Letter of Acceptance,Technical,Technical Evaluation Summary,NAVNEET SOOD,03-May-2023 03:29 PM,technical_108862.pdf,Finance,Financial Evaluation,NAVNEET SOOD,05-May-2023 03:00 PM,finance_108862.pdf,BOQ Comparative Chart,1.0,344852.0,AMIT CHOUDHARY,02-May-2023 03:01 PM,Accepted-AOC,Reject,15-Jun-2023,Navneet kumar sood,Internal,Pradeep Sharma Pradeep Kumar Vivek Saklani Pankaj Chauhan,NAVNEET SOOD,03-May-2023 03:35 PM,03-May-2023 03:40 PM,techsummary_108862.pdf (80.77 KB),Navneet kumar sood,Internal,Pradeep Sharma Pradeep Kumar Pankaj Singh Chauhan Vivek Saklani,NAVNEET SOOD,06-May-2023 03:09 PM,finsummary_108862.pdf (1193.82 KB),Himachal Pradesh Agriculture Development Society (JICA-ODA loan)||Project Director - HPCDP Project - JICA-ODA - Hamirpur||DPM - HPCDP Project - JICA-ODA - Palampur,2023_HPCDP_72357_1,F(5)-12/2023-81dt20.04.2023,"C/o Flow Irrigation Scheme Tharas at Village Tharas, G.P. Rot-II, Tehsil Bhunter , District Kullu (H.P.).",1.0,344775.0,GULZARI LAL,INR,"8,345,638.4"
2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money as indicated in NIT Sr. No. 3(a) ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,344775.0,GULZARI LAL,01-May-2023 07:57 PM,Accepted-AOC,Reject,15-Jun-2023,,,,,,,,,,,,,,,,,,2.0,344781.0,JAGDISH CHAND,INR,"8,157,374"
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of registration/ enlistment as indicated in NIT Sr. No. 3(a) iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,344781.0,JAGDISH CHAND,01-May-2023 09:55 PM,Accepted-AOC,Accept,15-Jun-2023,,,,,,,,,,,,,,,,,,3.0,344852.0,AMIT CHOUDHARY,INR,"8,355,062"
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Should have experience of minimum 5 years as indicated in NIT Sr. No. 3 (a) iv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,344894.0,Rakesh Sen,02-May-2023 04:53 PM,Accepted-AOC,Reject,15-Jun-2023,,,,,,,,,,,,,,,,,,4.0,344894.0,Rakesh Sen,INR,"9,020,334.85"
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Should have satisfactorily completed similar works as indicated in NIT Sr. No. 3(a) v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,344847.0,Yash Pal,02-May-2023 01:00 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,03-May-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Should have satisfactory one work indicating experience in key activities in NIT Sr. No. 3(a) vi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial Statements as indicated in NIT Sr. No. 3(a) vii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average annual turnover as indicated in NIT Sr. No. 3(a) viii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Solvency as indicated in NIT Sr. No. 3(a) ix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Proposal as indicated in NIT Sr. No. 3(a) x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
