Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :
"2,000",Nil,Nil,No,1.0,ICICI BANK,Executive Engineer,HPPWD Kotkhai,PWD,PW-KD-E-Tender/2021-22 dt 25-02-2022,2022_PWD_57489_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,C/o Link rod from Jouni Barol Galu to Kali Mata Mandir Kuffer Road in K.M. 0/00 to 1/600,"P/L Kharanja stone soling at R.D. 0/00 to 1/600, C/o, 900 mm Hume Pipe Culvert with wing walls at R.d. 0/575, B/Wall at R.D. 0/660 to 0/690 and R.D. 1/160 to 1/200, R/Wall at R.D. 0/900 to 0/950, R.D. 1/235 to 1/255 and R.D. 1/375 to 1/390",Please refer Tender documents. ,NA ,"73,43,775",Civil Works - Roads,NA ,Tender,90.0,60.0,Jouni Barol Galu to kali Mata Mandir Kuffer,171202.0,NA ,NA ,NA ,EE Kotkhai,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),05-Mar-2022 09:00 AM,10-Mar-2022 11:00 AM,05-Mar-2022 09:00 AM,10-Mar-2022 09:00 AM,NA ,NA ,05-Mar-2022 09:00 AM,10-Mar-2022 09:00 AM,10-Mar-2022 05:05 PM,"1,05,950",No,fixed,,Nil,Nil,1.0,268558.0,Arun Negi,08-Mar-2022 05:38 PM,Accepted-AOC,Lowest bidder to awarded the work.,01-May-2023,Technical,SUMMARY UPLOADED,Ramesh Rana,10-Mar-2022 05:01 PM,technical_86763.pdf,Finance,Summary Updated,Ramesh Rana,28-Apr-2023 03:34 PM,finance_86763.pdf,BOQ Comparative Chart,1.0,268558.0,Arun Negi,INR,"7,674,032",PWD,2022_PWD_57489_1,PW-KD-E-Tender/2021-22 dt 25-02-2022,C/o Link rod from Jouni Barol Galu to Kali Mata Mandir Kuffer Road in K.M. 0/00 to 1/600,Executive Engineer,Internal,"XEN, AE, HDM, Supdt. Sr. Asstt",Ramesh Rana,10-Mar-2022 05:02 PM,10-Mar-2022 05:05 PM,techsummary_86763.pdf (349.43 KB),Executive Engineer,Internal,"XEN, AE, SUPDT. HDM",Ramesh Rana,28-Apr-2023 03:37 PM,finsummary_86763.pdf (192.23 KB),01-May-2023,"INR 7,343,775",60.0,Ramesh Rana,01-May-2023 03:57 PM,B.pdf (912.00 KB)
,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,2.0,268736.0,Rakesh Negi,09-Mar-2022 12:50 PM,Rejected-Finance,L2 Bidder,28-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done/ Work In Hand As Per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
