Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.3,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
18-Apr-2023 05:00 PM,26-Apr-2023 11:30 AM,18-Apr-2023 05:00 PM,25-Apr-2023 05:00 PM,NA ,NA ,18-Apr-2023 05:00 PM,25-Apr-2023 05:00 PM,01-May-2023 03:45 PM,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,ICICI BANK,PWD,PW/TLD/AB/Tender/2022- 243-63 dated 11.04.2023,2023_PWD_72292_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Periodical maintenance on Deod to Hataun road km 0.0 to 2.985 SH- Providing and laying 30 mm thick bituminous concrete single layer and hot applied thermoplastic in km 0.0 to 2.985 AMP for the year 2023-24 INCENTIVE PMGSY 2019-20.,Periodical maintenance on Deod to Hataun road km 0.0 to 2.985 SH- Providing and laying 30 mm thick bituminous concrete single layer and hot applied thermoplastic in km 0.0 to 2.985 AMP for the year 2023-24 INCENTIVE PMGSY 2019-20.,Please refer Tender documents. ,NA ,"59,20,398",Civil Works,NA ,Tender,120.0,90.0,Hatoun,175124.0,NA ,NA ,NA ,Executive Engineer Thalout Division HPPWD Thalout,No ,No,"2,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender as per Tender Document,Executive Engineer,Executive Engineer Thalout Division HPPWD Thalout,"1,18,500",No,fixed,,Nil,Nil,Er. S.K Dhiman EE,Internal,Sh. Keshav Ram Supdtt. 2. Sh. Jagdish Thakur DHD 3. Er. Ajay Sood AE,Suresh Kumar Dhiman,01-May-2023 03:42 PM,01-May-2023 03:45 PM,techsummary_108782.pdf (256.19 KB),PWD,2023_PWD_72292_2,PW/TLD/AB/Tender/2022- 243-63 dated 11.04.2023,Periodical maintenance on Deod to Hataun road km 0.0 to 2.985 SH- Providing and laying 30 mm thick bituminous concrete single layer and hot applied thermoplastic in km 0.0 to 2.985 AMP for the year 2023-24 INCENTIVE PMGSY 2019-20.,30-May-2023,"INR 6,198,656",90.0,Suresh Kumar Dhiman,30-May-2023 04:24 PM,AOCDeodtoHatoun.pdf (268.00 KB),Detail Attached,Er. SK Dhiman Executive Engineer,Internal,"1. Sh. Keshav Ram Supdt. Gr.II, Sh. JC Thakur DHD, 3. Sh. Amit Nagar DAO, 4. Sh. Ajay Sood AE Panarsa",Suresh Kumar Dhiman,30-May-2023 04:17 PM,finsummary_108782.pdf (323.55 KB),1.0,343852.0,AJAY PATHANIA,24-Apr-2023 05:24 PM,Accepted-AOC,L1,30-May-2023,1.0,Tender Revocation,Tender revoked due to technical reasons,29-Apr-2023 10:56 AM,Corrigendum.pdf ,131.33,Technical Opening,Technical,Bid opening summary attached.,Suresh Kumar Dhiman,01-May-2023 11:51 AM,technical_108782.pdf,Finance,Detail attached,Suresh Kumar Dhiman,30-May-2023 04:13 PM,finance_108782.pdf,BOQ Comparative Chart,1.0,343852.0,AJAY PATHANIA,INR,"6,198,656"
,,,,,,,,,2.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,343847.0,GORSI CONSTRUCTION PVT LTD,25-Apr-2023 03:00 PM,Rejected-Technical,Contractor withdrawn his bid vide application dated 29.04.2023.,01-May-2023,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,343243.0,varnag banasari infra construction pvt ltd,21-Apr-2023 07:17 PM,Rejected-Finance,L2,30-May-2023,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,344014.0,Vijay Kumar,25-Apr-2023 03:30 PM,Rejected-Technical,The affidavit of Hot Mix Plant from Sarkaghat Distt. Mandi and is more than twenty five kilometer away from the site.,01-May-2023,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plants as per Tender Document",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted and Non-Gazetted HPPWD Employees Related to Him as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents as Specified by The State in Proforma of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
