Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
17-Feb-2023 06:00 PM,25-Feb-2023 11:30 AM,17-Feb-2023 06:00 PM,25-Feb-2023 11:00 AM,NA ,NA ,17-Feb-2023 06:00 PM,25-Feb-2023 11:00 AM,10-Mar-2023 11:55 AM,1.0,ICICI BANK,400.0,Nil,Nil,No,Annual running operation and mainteance of existing STPs and septic tank of Kotkhai Town in Tehsil Kotkhai for one year,Annual running operation and mainteance of existing STPs and septic tank of Kotkhai Town in Tehsil Kotkhai for one year,Please refer Tender documents. ,NA ,"33,38,000",Repair and Maintenance Works,NA ,Tender,120.0,365.0,Kotkhai,171202.0,NA ,NA ,NA ,JSV Division Jubbal,No ,No,Executive Engineer,JSV Division Jubbal,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form,"57,600",Yes,fixed,,Nil,Nil,"HP Irrigation and Public Health||Rohru Circle,Irrigation and Public Health,HP||Jubbal,Irrigation and Public Health,HP",JBL-SML-09-718,2023_HPIPH_69163_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,328914.0,Himanshu Dewan,25-Feb-2023 10:22 AM,Accepted-AOC,Lowest Bidder,26-May-2023,Executive Engineer,Internal,TA DHD Supdt AE,BODHBERDHAN GUPTA,10-Mar-2023 11:54 AM,10-Mar-2023 11:55 AM,techsummary_104334.pdf (482.84 KB),Technical,Technical bid opening summary attached,BODHBERDHAN GUPTA,10-Mar-2023 11:50 AM,technical_104334.pdf,Finance,Financial Summary Attached,BODHBERDHAN GUPTA,26-May-2023 05:54 PM,finance_104334.pdf,BOQ Comparative Chart,26-May-2023,"INR 3,338,000",365.0,BODHBERDHAN GUPTA,26-May-2023 06:18 PM,333.pdf (917.00 KB),Work awarded to Sh. Himanshu Dewan Contractor vide this office letter No. 11670-73 Dated 24/03/2023 (Agg No. 415 for 2022-23),SE Rohru,Internal,Supdt CHD AED EEJ EED,BODHBERDHAN GUPTA,26-May-2023 06:09 PM,finsummary_104334.pdf (811.56 KB),"HP Irrigation and Public Health||Rohru Circle,Irrigation and Public Health,HP||Jubbal,Irrigation and Public Health,HP",2023_HPIPH_69163_1,JBL-SML-09-718,Annual running operation and mainteance of existing STPs and septic tank of Kotkhai Town in Tehsil Kotkhai for one year,1.0,328914.0,Himanshu Dewan,INR,"2,688,000"
,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money or exemption certificate with required affidavit as per NIT,,,,,,,,,,,,,,,,,,,,,2.0,328907.0,M/S BRIGHWAY ENGINEERS & TRADERS,25-Feb-2023 10:47 AM,Rejected-Finance,L2,26-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid Enlistment,,,,,,,,,,,,,,,,,,,,,3.0,328916.0,M/S VIKAS CONSTRUCTION CO.,24-Feb-2023 11:04 PM,Rejected-Finance,L3,26-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN GST EPF and latest ITR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that bidder has carefully studied with all the terms of the agreement before bidding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that bidder will obey the guidelines of Labour Regulation and Abolition act,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Past working experience as per terms defined in pre qualification criteria of NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that bidder strictly adhered the bindings of HPSPCB and he was not penalized by the PCB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DSC authorization certificate in case of participating on behalf of a firm is essential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,SOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
