Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,S.No.2,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
15-May-2023,"INR 730,783.96",180.0,Rattan Kumar Sharma,24-May-2023 04:08 PM,03.pdf (1176.00 KB),AOC,Executive Engineer,Internal,SUPERINTENDENT G-II DAO HDM,Rattan Kumar Sharma,10-Apr-2023 11:45 AM,finsummary_106248.pdf (243.96 KB),Executive Engineer,Internal,SUPERINTENDENT G-II DAO HDM,Rattan Kumar Sharma,01-Apr-2023 10:28 AM,01-Apr-2023 11:30 AM,techsummary_106248.pdf (385.73 KB),PWD,2023_PWD_70461_9,Sangrah 13297-13326 Dated 06.03.2023-2,"A/R and M/O Nahan Dadahu Haripurdhar Road Km.36/00 to 87/00 (SH P/L Patch work from km.40/200 to 40/250,40/300 to 40/350,40/400 to 40/420,40/500 to 40/570,40/600 to 40/690 and Providing Painting and distempering Giri bridge on NDH Road )",Technical,Summary,Rattan Kumar Sharma,22-Mar-2023 11:11 AM,technical_106248.pdf,1.0,335435.0,BALBIR SINGH,15-Mar-2023 10:36 PM,Accepted-AOC,AOC,24-May-2023,Finance,Summary,Rattan Kumar Sharma,06-Apr-2023 10:58 AM,finance_106248.pdf,BOQ Comparative Chart,1.0,335435.0,BALBIR SINGH,INR,"730,783.96",1.0,ICICI BANK,350.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,RECEIPT / SCREEN SHOT OF COST OF TENDER AND EARNEST MONEY PAYMENT (INDICATED IN SCHEDULE F),"Executive Engineer, HPPWD Division Sangrah","Executive Engineer, HPPWD Division Sangrah","A/R and M/O Nahan Dadahu Haripurdhar Road Km.36/00 to 87/00 (SH P/L Patch work from km.40/200 to 40/250,40/300 to 40/350,40/400 to 40/420,40/500 to 40/570,40/600 to 40/690 and Providing Painting and distempering Giri bridge on NDH Road )","A/R and M/O Nahan Dadahu Haripurdhar Road Km.36/00 to 87/00 (SH P/L Patch work from km.40/200 to 40/250,40/300 to 40/350,40/400 to 40/420,40/500 to 40/570,40/600 to 40/690 and Providing Painting and distempering Giri bridge on NDH Road )",Please refer Tender documents. ,NA ,"9,29,184",Civil Works,NA ,Tender,75.0,180.0,Sangrah,173023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Sangrah",No ,No,"18,600",No,fixed,,Nil,Nil,PWD,Sangrah 13297-13326 Dated 06.03.2023-2,2023_PWD_70461_9,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,10-Mar-2023 05:00 PM,21-Mar-2023 10:30 AM,10-Mar-2023 05:00 PM,21-Mar-2023 10:00 AM,NA ,NA ,10-Mar-2023 05:00 PM,21-Mar-2023 10:00 AM,01-Apr-2023 11:30 AM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,335455.0,JAIPAL THAKUR CONTARCTOR,15-Mar-2023 11:57 PM,Rejected-Finance,L2,10-Apr-2023,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,.pdf,24.3. CONTRACTORS REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,336588.0,M/S HARMAN CONSTRUCTIONS,20-Mar-2023 07:24 PM,Rejected-Finance,L3,10-Apr-2023,,,,,,,,,,,,,,,,,,,,.pdf,24.4. GST NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,336637.0,Vikram Chauhan,20-Mar-2023 10:23 PM,Rejected-Finance,L4,10-Apr-2023,,,,,,,,,,,,,,,,,,,,.pdf,24.6. LIST OF MACHINERY TOOL AND PLANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.8. HPPWD FORM No. 8.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.9. ANY OTHER DOCUMENTS AS SPECIFIED BY THE STATE IN PERFORMA OF SCHEDULE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PROOF TO REGISTRATION UNDER EMPLOYEES PROVIDENT FUNDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT OR UNDERTAKING REGARDING CORRECTNESS OF BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,VALID E-MAIL ID AND CONTACT NO.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,24.7. BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
