Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,S.No.1,Category,Sub Category,Sub Category Description,Format/File,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Corrigendum Title,Corrigendum Type,View,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"EXECUTIVE ENGINEER, Sonari Mahmora Division(I)","O/o THE EXECUTIVE ENGINEER, SONARI-MAHMORA DIVISION (I), SONARI",Irrigation Department||Chief Engineer(Major)-Irrigation Dept||Sibsagar Circle||Mahmora Division,SMD(I)/T-6/1584 DATED 11/04/2023,2023_ID_30468_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"2,000",Nil,Nil,Yes,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,BID DOCUMENT,1,General Certificate ,PAN ,Permanent Account Number ,,"58,461",Yes,percentage,2.0%,Nil,Nil,12-Apr-2023 10:00 AM,28-Apr-2023 11:00 AM,12-Apr-2023 10:30 AM,26-Apr-2023 01:00 PM,NA ,NA ,12-Apr-2023 10:30 AM,26-Apr-2023 01:00 PM,29-Apr-2023 04:20 PM,SOLAR POWERED MDTWS SCHEME IN BENEGENABARI AND SUFFRY GP UNDER SONARI LAC UNDER RIDF XXVIII OF NABARD FOR THE YEAR 2022-23,"The major provisions made in this scheme are boring, supply and installation of 7.50 HP submersible pump sets, installation of 8.0 KW off grid Solar Photovoltaic Power Plant and PVC distribution system of 1 no. Medium Deep Tube Well point",As per NIT and BID Document ,NA ,"29,23,025",Civil Works - Others,MDTW IRRIGATION SCHEME ,Tender,180.0,300.0,BENEGENABARI AND SUFFRY GP UNDER SONARI LAC,785690.0,NA ,NA ,NA ,O/O THE EE SONARI-MAHMORA DIVISION(I),No ,No,1.0,TENDER OPENING DATE EXTENSION,Date,,AOC,AJIT KUMAR SARKAR,Internal,"Sri Anowar Hussain, EE, Sri Bhaskar Basumatary, AEE(TC), Sri Poranjit Borgohain, JE, Sri Manoj Borah, Depty Accounts Officer",Anowar Hussain,29-Apr-2023 03:50 PM,29-Apr-2023 04:20 PM,techsummary_49006.pdf (350.15 KB),Finance,AS PER EVALUTION SHEET,Anowar Hussain,03-May-2023 03:18 PM,finance_49006.pdf,BOQ Comparative Chart,Technical,As per Annexure II enclosed (TECHNICAL EVALUATION OF BID),Anowar Hussain,29-Apr-2023 03:35 PM,technical_49006.pdf,03-May-2023,INR 2776873.0,300.0,Anowar Hussain,04-May-2023 10:33 AM,AOC.pdf (279.00 KB),AOC is awarded as per accepted rate and clauses of BID by the Bidder,1.0,183646.0,Bubul Gogoi,25-Apr-2023 11:03 PM,Rejected-Finance,The Bidder showed unwillingness to execute the work,03-May-2023 06:26 PM,AJIT KUMAR SARKAR,Internal,"Anowar Hussain (EE), Bhaskar Basumatary (AEE TC), Poranjit Borgohain (JE), Manoj Borah (Depty Accounts Officer)",Anowar Hussain,03-May-2023 06:26 PM,finsummary_49006.pdf (350.15 KB),1.0,183859.0,Gourab Traders,INR,2776873.0,Irrigation Department||Chief Engineer(Major)-Irrigation Dept||Sibsagar Circle||Mahmora Division,2023_ID_30468_1,SMD(I)/T-6/1584 DATED 11/04/2023,SOLAR POWERED MDTWS SCHEME IN BENEGENABARI AND SUFFRY GP UNDER SONARI LAC UNDER RIDF XXVIII OF NABARD FOR THE YEAR 2022-23,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,COST OF BID,2,General Certificate ,Goods and Service Tax ,Goods and Service Tax Registration Certificate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,183859.0,Gourab Traders,21-Apr-2023 11:38 AM,Accepted-AOC,AOC is awarded as per accepted rates and Clauses of the BID by the bidder,04-May-2023 10:36 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,QUALIFICATION,3,General Certificate ,Trade License ,Latest Trade License Copy ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,184771.0,M/S T.S. Traders,26-Apr-2023 12:11 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,29-Apr-2023 03:35 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,4,General Certificate ,ESIC ,Employees State Insurance Certificate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,184572.0,Sri Ganesh Gogoi,25-Apr-2023 04:08 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,29-Apr-2023 03:35 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FOB,5,General Certificate ,PF ,Providenet Fund Certificates ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,6,General Certificate ,Company Details ,"Partnership Deed, Co-Operative Society By Law,MOA,Company Registration Certificates,JV Consortium,Year of Incorporation Certificates ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,7,General Certificate ,Solvency Certificate ,Solvency Certificate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,8,General Certificate ,Other Certificates ,As Mentioned In The Tender Document ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,9,Machineries ,Machineries Details ,Machineries Details Description ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,10,Manpower ,Manpower Details ,Manpower Details Description ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
