Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"20,000",Nil,Nil,No,27-Oct-2022 12:00 PM,18-Nov-2022 02:30 PM,27-Oct-2022 12:00 PM,17-Nov-2022 02:00 PM,27-Oct-2022 12:00 PM ,09-Nov-2022 12:00 PM ,10-Nov-2022 02:00 PM,17-Nov-2022 02:00 PM,06-Jan-2023 06:15 PM,"23,38,000",Yes,fixed,,Nil,Nil,Public Works Roads Department,CE/DEV/TB/92/2022-23/03,2022_PWD_27440_52,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,MMUPPNA_RIDF_XXVIII_22_23_32,"MMUPPNA_RIDF_XXVIII_22_23_32 Improvement of road from Moirabari Lochanabori Belobori Road Part 1 (Moirabari to Belobori) under Mukhya Mantrir Unnoto Pakipath Nirman Achani for the year 2022-23 (RIDF - XXVIII), Dhing LAC",Please refer Tender documents. ,NA ,"11,68,77,000",Civil Works,NA ,Tender,180.0,365.0,Dhing,781003.0,"O/o the Chief Engineer, Roads,PWRD Assam ","O/o the Chief Engineer, Roads,PWRD Assam, chandmari, Guwahati-781003 ",09-Nov-2022 12:00 PM ,"O/o the Chief Engineer, Roads,PWRD Assam",No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Bid Document,"Chief Engineer, PWD, Roads, Assam, Chandmari, Ghy","O/o the Chief Engineer, Roads,PWRD Assam, chandmari, Guwahati-781003",1.0,SBI Bank,AOC,02-May-2023,INR 1.051893E+8,365.0,BHABANANDA DEKA,02-May-2023 05:14 PM,RIDF32a.pdf (261.00 KB),Awarded as L1 Bidder,Finance,Financial opened,SUSHIL KUMAR DAS,06-Jan-2023 07:05 PM,,BOQ Comparative Chart,1,162473,G N INFRA,16-Nov-2022 06:02 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,06-Jan-2023 06:07 PM,"Chief Engineer (Roads), PWRD, Assam",Internal,,BHABANANDA DEKA,02-May-2023 02:58 PM,finsummary_42227.pdf (302.94 KB),1.0,162210.0,GUNJ ASSOCIATES,INR,105189300.0,"Chief Engineer (Roads), PWRD, Assam",Internal,,BHABANANDA DEKA,06-Jan-2023 06:10 PM,06-Jan-2023 06:15 PM,techsummary_42227.pdf (247.33 KB),Public Works Roads Department,2022_PWD_27440_52,CE/DEV/TB/92/2022-23/03,MMUPPNA_RIDF_XXVIII_22_23_32,Technical,Verified,BHABANANDA DEKA,06-Jan-2023 06:07 PM,technical_42227.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Qualification Details,,,,,AOC,,,,,,,,,,,,,,2,162210,GUNJ ASSOCIATES,17-Nov-2022 12:12 PM,Accepted-AOC,Awarded,02-May-2023 05:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Security,,,,,AOC,,,,,,,,,,,,,,3,161843,MD BADIQUL ISLAM,17-Nov-2022 12:27 AM,Rejected-AOC,Rejected,02-May-2023 05:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Standard Bidding Document,,,,,AOC,,,,,,,,,,,,,,4,161769,MS LILI ENTERPRISE,17-Nov-2022 01:45 PM,Rejected-AOC,Rejected,02-May-2023 05:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantities,,,,,AOC,,,,,,,,,,,,,,5,161453,M/S R.K Construction,11-Nov-2022 06:34 PM,Rejected-AOC,Rejected,02-May-2023 05:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form Of Bid,,,,,AOC,,,,,,,,,,,,,,6,162693,M/s Sanwarmal Khetawat,17-Nov-2022 11:41 AM,Rejected-AOC,Rejected,02-May-2023 05:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,7,162748,Premdhan Construction Co,17-Nov-2022 11:04 AM,Rejected-AOC,Rejected,02-May-2023 05:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,8,162537,Raju Choudhury,17-Nov-2022 02:24 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,06-Jan-2023 06:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,9,161747,Rishabh Jain,16-Nov-2022 06:10 PM,Rejected-AOC,Rejected,02-May-2023 05:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,10,161801,Sri Sunil Barua,17-Nov-2022 12:28 AM,Rejected-AOC,Rejected,02-May-2023 05:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
