Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Category,Sub Category,Sub Category Description,Format/File,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
PWD,PW/TLD/AB/Tender/2022- 243-63 dated 11.04.2023,2023_PWD_72292_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,"2,49,000",No,fixed,,Nil,Nil,Periodical Maintenance on Kuklah Bandal to Baggi road km 0.0 to 8.0 SH- Providing and laying 30 mm thick bituminous concrete single layer and hot applied thermoplastic in km 0.0 to 8.0 PMGSY AMP for the year 2023-24.,Periodical Maintenance on Kuklah Bandal to Baggi road km 0.0 to 8.0 SH- Providing and laying 30 mm thick bituminous concrete single layer and hot applied thermoplastic in km 0.0 to 8.0 PMGSY AMP for the year 2023-24.,Please refer Tender documents. ,NA ,"1,24,42,962",Civil Works,NA ,Tender,120.0,90.0,Bandal,175124.0,NA ,NA ,NA ,Executive Engineer Thalout Division HPPWD Thalout,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender as per Tender Document,Executive Engineer,Executive Engineer Thalout Division HPPWD Thalout,"5,000",Nil,Nil,No,1.0,ICICI BANK,18-Apr-2023 05:00 PM,26-Apr-2023 11:30 AM,18-Apr-2023 05:00 PM,25-Apr-2023 05:00 PM,NA ,NA ,18-Apr-2023 05:00 PM,25-Apr-2023 05:00 PM,01-May-2023 03:45 PM,PWD,2023_PWD_72292_1,PW/TLD/AB/Tender/2022- 243-63 dated 11.04.2023,Periodical Maintenance on Kuklah Bandal to Baggi road km 0.0 to 8.0 SH- Providing and laying 30 mm thick bituminous concrete single layer and hot applied thermoplastic in km 0.0 to 8.0 PMGSY AMP for the year 2023-24.,Er. S.K. Dhiman EE,Internal,Sh. Keshav Ram Supdtt 2. Sh. Jagdish Thakur DHD 3. Er. Ajay Sood AE,Suresh Kumar Dhiman,01-May-2023 03:44 PM,01-May-2023 03:45 PM,techsummary_108781.pdf (236.15 KB),Er. S.K.Dhiman,Internal,"1.Sh. Keshv Ram Supdt.Gr. II, 2. Sh. JC Thakur DHD,3. Sh.Amit Nagar DAO, Sh. Govind Singh Thakur AE Balichowki",Suresh Kumar Dhiman,30-May-2023 04:01 PM,finsummary_108781.pdf (336.95 KB),30-May-2023,"INR 8,087,925",90.0,Suresh Kumar Dhiman,30-May-2023 04:04 PM,AOCKuklahtobaggi.pdf (280.00 KB),Detail attached,1.0,343850.0,AJAY PATHANIA,24-Apr-2023 05:14 PM,Rejected-Finance,L2,30-May-2023,Technical,Summary,Suresh Kaushal,26-Apr-2023 04:39 PM,,Finance,Detail attached,Suresh Kumar Dhiman,30-May-2023 03:57 PM,finance_108781.pdf,BOQ Comparative Chart,1.0,343257.0,varnag banasari infra construction pvt ltd,INR,"8,087,925"
,,,,,,,,,,,,,,2.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money as per Tender Document,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,343845.0,GORSI CONSTRUCTION PVT LTD,25-Apr-2023 02:38 PM,Rejected-Technical,Withdrawn his bid vide application dated 29.04.2023,01-May-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,343257.0,varnag banasari infra construction pvt ltd,20-Apr-2023 07:29 PM,Accepted-AOC,L1,30-May-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plants as per Tender Document",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted and Non-Gazetted HPPWD Employees Related to Him as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents as Specified by The State in Proforma of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
