Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,S.No.1,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.3,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No.1.1,Bank Name,Cover No,Cover,Document Type,Description
Technical,Tech Bid Open Summary,Rajinder Singh,20-Mar-2023 03:34 PM,technical_106066.pdf,1.0,Revocartion of Tech. Evaluation,Tech. Evaluation Revaluated on dated 20.03.2023 due to Administrative Reason,20-Mar-2023 03:27 PM,Evaluation.pdf ,1913.48,Technical Opening,1.0,334407.0,", D.S.Rathore",14-Mar-2023 05:02 PM,Rejected-Finance,L 3,25-Mar-2023,1.0,334860.0,OM PARKASH SHARMA AND SONS,INR,"126,866,443",Finance,Financial Bid opening summary,Rajinder Singh,25-Mar-2023 04:11 PM,finance_106066.pdf,BOQ Comparative Chart,Executive Engineer,Internal,Supdt HDM DAO,Rajinder Singh,25-Mar-2023 05:18 PM,finsummary_106066.pdf (491.98 KB),30-May-2023,"INR 156,663,931",365.0,Rajinder Singh,30-May-2023 05:45 PM,GDC.pdf (207.00 KB),CONSTRUCTION OF GOVT. DEGREE COLLEGE DHANETA TEHSIL NADAUN DISTRCIT HAMIRPUR,PWD,2023_PWD_70370_1,CONSTRUCTION OF GOVT. DEGREE COLLEGE DHANETA TEHSI,CONSTRUCTION OF GOVT. DEGREE COLLEGE DHANETA TEHSIL NADAUN DISTRCIT HAMIRPUR,Executive Engineer,Internal,"Supdt, HDM, DAO",Rajinder Singh,20-Mar-2023 03:38 PM,25-Mar-2023 11:00 AM,techsummary_106066.pdf (1927.23 KB),1.0,Corrigendum2,Date,,CONSTRUCTION OF GOVT. DEGREE COLLEGE DHANETA TEHSIL NADAUN DISTRCIT HAMIRPUR,"SH C/O BUILDING PORTION INCLUDING W.S. and S.I., SEPTIC TANK AND RAIN WATER HARVESTING TANK AND SITE DEVELOPMENT INCLUDING BOUNDARY WALL",Please refer Tender documents. ,NA ,"15,66,63,931",Civil Works - Buildings,NA ,Tender,60.0,365.0,HPPWD Barsar,174305.0,NA ,NA ,NA ,EEBarsar,No ,No,"5,000",Nil,Nil,No,PWD,CONSTRUCTION OF GOVT. DEGREE COLLEGE DHANETA TEHSI,2023_PWD_70370_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,07-Mar-2023 10:30 AM,15-Mar-2023 10:30 AM,07-Mar-2023 10:30 AM,15-Mar-2023 10:00 AM,NA ,NA ,07-Mar-2023 10:30 AM,15-Mar-2023 10:00 AM,25-Mar-2023 11:00 AM,"5,00,000",No,fixed,,Nil,Nil,Executive Engineer,HPPWD Division Barsar,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form
,,,,,,,,,,,,2.0,333692.0,Himachal Techno Engineers,14-Mar-2023 02:35 PM,Rejected-Finance,L 5,25-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Contractor Registration
,,,,,,,,,,,,3.0,335033.0,KDN Infrastructure Pvt. Ltd.,14-Mar-2023 07:55 PM,Rejected-Finance,L 4,25-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD
,,,,,,,,,,,,4.0,333794.0,Kumar Associates,14-Mar-2023 06:59 PM,Rejected-Finance,L 3,25-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar Work Done certificate (Only Completed Work)
,,,,,,,,,,,,5.0,334609.0,MM Envro Engineers,14-Mar-2023 08:12 PM,Rejected-Technical,Non Responsive,20-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST No. with latest clearance return, EPF No. with latest clearance return, Labour License, PAN Card"
,,,,,,,,,,,,6.0,333735.0,M/S NDN Constructions,14-Mar-2023 05:42 PM,Rejected-Finance,L 7,25-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery as per SBD with proof tools and plant with ownership documents/ Affidavit Magistra
,,,,,,,,,,,,7.0,334129.0,M/s Shree Ramji Dass Builders,13-Mar-2023 07:26 PM,Rejected-Technical,Non Responsive,20-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information submitted by bidder is true and correct attested by Magistrate/ Notary
,,,,,,,,,,,,8.0,334860.0,OM PARKASH SHARMA AND SONS,14-Mar-2023 08:57 PM,Accepted-AOC,Work Awarded,30-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate countersigned by the Engineer in Charge not below the rank of Executive Eng
,,,,,,,,,,,,9.0,333657.0,UNIPRO,14-Mar-2023 04:11 PM,Rejected-Finance,L -2,25-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Last Five Years Turn Over duly signed by the C.A.
,,,,,,,,,,,,10.0,333672.0,YOG RAJ SHARMA,14-Mar-2023 07:46 PM,Rejected-Finance,L 6,25-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidder should must be uploaded working programme
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidder/ firm may like to be provide.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidders quoting their rates in violation to the Notification bearing No. PBW(B)A(3)1/
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,2020-1 dated Shimla-2 the 07/10/2021 will be debarred for next 6 Months .
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ
