EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :
"89,100",No,fixed,,Nil,Nil,PWD,Tender/2022-23-13783-13832 dated 15.02.2023,2023_PWD_69128_2,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Name of work in tender notice,Other,,17-Feb-2023 04:30 PM,27-Feb-2023 11:00 AM,17-Feb-2023 05:00 PM,27-Feb-2023 10:30 AM,NA ,NA ,17-Feb-2023 05:00 PM,27-Feb-2023 10:30 AM,28-Feb-2023 04:30 PM,Executive Engineer,Executive Engineer HPPWD Division Paonta Sahib District Sirmour (HP),"Periodical renewal coat on Kolar Bilaspur road Km. 0/0 to 12/00. (SH- Repair of pot holes by providing and laying bituminious macadam tack coat and 30mm thick bituminious concrete in Km. 1/0 to 2/0, 2/0 to 3/0, 3/0 to 3/500 and 3/500 to 4/0) Under AM","Periodical renewal coat on Kolar Bilaspur road Km. 0/0 to 12/00.(SH- Repair of pot holes by providing and laying bituminious macadam tack coat and 30mm thick bituminious concrete in Km. 1/0 to 2/0, 2/0 to 3/0, 3/0 to 3/500 and 3/500 to 4/0) Under AMP",Please refer tender document ,NA ,"56,59,314",Civil Works - Roads,NA ,Tender,75.0,60.0,Paonta Sahib,173025.0,NA ,NA ,NA ,Paonta Sahib,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender - indicated in schedule E at Sr. No. (ii),"2,000",Nil,Nil,No,PWD,2023_PWD_69128_2,Tender/2022-23-13783-13832 dated 15.02.2023,"Periodical renewal coat on Kolar Bilaspur road Km. 0/0 to 12/00. (SH- Repair of pot holes by providing and laying bituminious macadam tack coat and 30mm thick bituminious concrete in Km. 1/0 to 2/0, 2/0 to 3/0, 3/0 to 3/500 and 3/500 to 4/0) Under AM",Er. N.K. Verma,Internal,"Sh. Vishal Upadhyay DAO, Sh. B.S. Rawat Supdt. Gr.II, Smt. Usha Aggarwal HDM",Narender verma,28-Feb-2023 11:26 AM,28-Feb-2023 04:30 PM,techsummary_104268.pdf (869.09 KB),Er. Narender Kumar Verma,Internal,"Sh. Vishal Upadhyay DAO, Sh. B.S. Rawat Supdt. Gr.II, Smt. Usha Aggarwal HDM",Dalip Singh Tomar,29-Mar-2023 04:11 PM,finsummary_104268.pdf (319.92 KB),06-May-2023,"INR 5,659,314",60.0,Dalip Singh Tomar,06-May-2023 12:56 PM,aoc.pdf (1035.00 KB),AOC,1.0,329352.0,H. C. Bansal Engg. & Contt.,27-Feb-2023 08:30 AM,Rejected-Finance,L2,29-Mar-2023,Technical,Bid Opening Summary,Narender verma,28-Feb-2023 11:18 AM,technical_104268.pdf,1.0,327789.0,Manoj Chawla,INR,"5,769,130",Finance,Fin Opening Summary,Dalip Singh Tomar,29-Mar-2023 03:43 PM,finance_104268.pdf,BOQ Comparative Chart
,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money-indicated in schedule F at sr. No. (I),,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,327789.0,Manoj Chawla,27-Feb-2023 08:54 AM,Accepted-AOC,Work completed,06-May-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration- refer general rule sr. No 24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration(Refer General Rule No.24.4)and Permanent account number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of incomplete works in hand general rule sr. No 24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity/C.A. annual report. Read Rule 26.2a only required for work costing more than 50 lac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machinery as per schedule F Sr.No.24.6Ref.Cl- No.18( i.e. R.C,purchase bills,ownership/Affidavit etc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"If contractor takes machinery on hire basis, affidavit is required from the owner/provider a/w proof",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. HPPWD-7/8 duly signed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Scanned copy of 40percent work done certificate for similar nature of work, costing more than 50 lac",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non gazetted officer hppwd employees related to him(General Rule Sr.No.14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding True and correct and any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
