Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1.1,Bank Name
Finance,finbidopeningsummary,Dev Raj,14-Mar-2023 05:54 PM,finance_102629.pdf,BOQ Comparative Chart,1.0,322776.0,Rakesh KUmar,INR,"647,038",Technical,techbidopening,Dev Raj,23-Feb-2023 04:58 PM,technical_102629.pdf,1.0,324508.0,Anju Verma,17-Feb-2023 08:27 AM,Rejected-Finance,L2,14-Mar-2023,18-May-2023,"INR 647,038",90.0,Dev Raj,31-Aug-2023 02:42 PM,1.pdf (703.00 KB),Award,Er. Baldev Singh EE,Internal,DAOHDMSUPDT,Dev Raj,14-Mar-2023 05:59 PM,finsummary_102629.pdf (411.64 KB),Er.Dev Raj EE,Internal,DAOHDMSUPDT,Dev Raj,23-Feb-2023 05:03 PM,01-Mar-2023 11:00 AM,techsummary_102629.pdf (442.31 KB),PWD,2023_PWD_68147_1,BGN/CT-1/2022-23-11172-11203 dated 03.02.2023,Periodical Maintenance on Link road Government Primary school Aerian SH PL Interlocking Paver Block flooring in Km 0000 to 0380,Executive Engineer HPPWD Division Bangana,Executive Engineer HPPWD Division Bangana,"13,200",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form (Online mode) and Earnest Money (Online mode),Periodical Maintenance on Link road Government Primary school Aerian SH PL Interlocking Paver Block flooring in Km 0000 to 0380,Periodical Maintenance on Link road Government Primary school Aerian SH PL Interlocking Paver Block flooring in Km 0000 to 0380,Please refer Tender documents. ,NA ,"6,60,040",Civil Works - Roads,NA ,Tender,90.0,90.0,Bangana Division,174307.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Bangana,No ,No,350.0,Nil,Nil,No,1.0,condition withdraw,Other,,PWD,BGN/CT-1/2022-23-11172-11203 dated 03.02.2023,2023_PWD_68147_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,06-Feb-2023 10:00 AM,17-Feb-2023 11:00 AM,06-Feb-2023 10:30 AM,17-Feb-2023 09:00 AM,NA ,NA ,06-Feb-2023 10:30 AM,17-Feb-2023 09:00 AM,01-Mar-2023 11:00 AM,1.0,ICICI BANK
,,,,,,,,,,,,,,,,2.0,322650.0,Mukesh Kumar,14-Feb-2023 04:19 PM,Rejected-Technical,Non responsive,23-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration GST Registration and latest assessment and PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS
,,,,,,,,,,,,,,,,3.0,322776.0,Rakesh KUmar,16-Feb-2023 06:05 PM,Accepted-AOC,L1,31-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and copy of latest return filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,4.0,324283.0,unique engg. solutions,16-Feb-2023 06:43 PM,Rejected-Technical,Non responsive,23-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature Work Done Certificate on prescribed format without Liquidated Damage or compensation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in bidding document duly countersigned by the EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant with proof of ownership or legal tie-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gazetted and Non Gazetted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that the plant should have installed within radius of 30km from the site of work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Reg. no pending litigation with the Department Any other information bidders like to provi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
