Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Bank Name,S.No.1.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed
Xen HPPWD Baijnath,Internal,"DAO Baijnath, HDM Baijnath, SupdtGII Baijnath AE Baijnath",Sanjiv Kumar,01-May-2023 03:05 PM,finsummary_106731.pdf (131.50 KB),01-May-2023,"INR 1,190,059",60.0,Sanjiv Kumar,01-May-2023 03:05 PM,Awardbhatoo.PDF (200.00 KB),PWD,2023_PWD_70820_1,PWD-BD-TA-2022-23-20743-93,Periodic Maintenance of Baijnath to Bhatoo road (PMGSY Road ) (AMP 2023-24) DRRP No HP0403VR002712101,Xen HPPWD Baijnath,Internal,"Divisional Accountant, Head Draughtsman, SupdtGII, Assistant Engineer",Sanjiv Kumar,31-Mar-2023 12:33 PM,03-Apr-2023 11:00 AM,techsummary_106731.pdf (270.20 KB),Technical,Two bidders participated in this work and found responsive. Hence committee decided to open the financial bid,Sanjiv Kumar,31-Mar-2023 12:32 PM,technical_106731.pdf,1.0,336782.0,ANURAG SHARMA,21-Mar-2023 03:16 PM,Accepted-AOC,lower side,01-May-2023,1.0,336782.0,ANURAG SHARMA,INR,"1,248,968",Finance,Financial bid of two bidders open successfully.,Sanjiv Kumar,01-May-2023 03:03 PM,finance_106731.pdf,BOQ Comparative Chart,15-Mar-2023 01:00 PM,22-Mar-2023 11:30 AM,15-Mar-2023 01:00 PM,22-Mar-2023 11:00 AM,NA ,NA ,15-Mar-2023 01:00 PM,22-Mar-2023 11:00 AM,03-Apr-2023 11:00 AM,1.0,ICICI BANK,1.0,Rate showing in BOQ on column No 6 and 53 may read as excluding GST instead of including GST.,Other,,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form as mentioned in SBD,PWD,PWD-BD-TA-2022-23-20743-93,2023_PWD_70820_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Xen HPPWD Division Baijnath,Xen HPPWD Division Baijnath,"23,800",No,fixed,,Nil,Nil,Periodic Maintenance of Baijnath to Bhatoo road (PMGSY Road ) (AMP 2023-24) DRRP No HP0403VR002712101,"Providing and Laying Built up spray Grout Single layer, Tack Coat and 30 mm thick Bituminous concrete at Km 0/00 to 1/00",Please refer Tender documents. ,NA ,"11,90,059",Civil Works - Roads,NA ,Tender,60.0,60.0,Baijnath,176125.0,NA ,NA ,NA ,HPPWD Division Baijnath,No ,No,500.0,Nil,Nil,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,336108.0,G.P.ACHARYA,21-Mar-2023 04:17 PM,Rejected-Finance,Higher Side,01-May-2023,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,.pdf,Earnest Money as mentioned in SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration PAN Card and EPF No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum similar nature of workdone 40percent of the estimated cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery with proof of ownership if hiring affidavit of consent required from owner of machinery a/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 7-8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding Gazatted and Non Gazetted officer HPPWD employees related to him.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding arbitration / litigation with PWD is pending in any court of law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished with the bid for work (Name of work) is correct in all res,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
