S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Bank Name,Name,Address
1.0,321034.0,JAGDISH KUMAR,INR,"1,642,277.22",Finance,SUMMARY,Rattan Kumar Sharma,01-May-2023 04:24 PM,finance_102391.pdf,BOQ Comparative Chart,Technical,SUMMARY,Rattan Kumar Sharma,17-Feb-2023 11:53 AM,technical_102391.pdf,1.0,322574.0,HARISH THAKUR,13-Feb-2023 09:57 PM,Rejected-Finance,In draw of lots not found the lowest bidder.,02-May-2023,Executive Engineer,Internal,SUPERINTENDENT G-II DAO HDM,Rattan Kumar Sharma,02-May-2023 10:43 AM,finsummary_102391.pdf (835.85 KB),15-May-2023,"INR 1,642,277.22",180.0,Rattan Kumar Sharma,24-May-2023 04:10 PM,05.pdf (1093.00 KB),AOC,PWD,2023_PWD_67967_9,Sangrah 11646-71 dated 31.01.2023-2,C/o Link road from village Ratwa to kuna via Tholla Kulyari jarna Balaina km. 0/00 to 7/00 ( 5/7 mtr. Formation Cutting from Km. 4/00 to 5/00) Under MNP,Executive Engineer,Internal,SUPERINTENDENT G-II DAO HDM,Rattan Kumar Sharma,22-Feb-2023 10:18 AM,22-Feb-2023 10:30 AM,techsummary_102391.pdf (579.68 KB),PWD,Sangrah 11646-71 dated 31.01.2023-2,2023_PWD_67967_9,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,C/o Link road from village Ratwa to kuna via Tholla Kulyari jarna Balaina km. 0/00 to 7/00 ( 5/7 mtr. Formation Cutting from Km. 4/00 to 5/00) Under MNP,C/o Link road from village Ratwa to kuna via Tholla Kulyari jarna Balaina km. 0/00 to 7/00 ( 5/7 mtr. Formation Cutting from Km. 4/00 to 5/00) Under MNP,Please refer Tender documents. ,NA ,"23,46,005",Civil Works,NA ,Tender,75.0,180.0,Sangrah,173023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Sangrah",No ,No,500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,RECEIPT / SCREEN SHOT OF COST OF TENDER AND EARNEST MONEY PAYMENT (INDICATED IN SCHEDULE F),"47,000",No,fixed,,Nil,Nil,04-Feb-2023 05:00 PM,15-Feb-2023 10:30 AM,04-Feb-2023 05:00 PM,15-Feb-2023 10:00 AM,NA ,NA ,04-Feb-2023 05:00 PM,15-Feb-2023 10:00 AM,22-Feb-2023 10:30 AM,1.0,ICICI BANK,"Executive Engineer, HPPWD Division Sangrah","Executive Engineer, HPPWD Division Sangrah"
,,,,,,,,,,,,,,,,2.0,321034.0,JAGDISH KUMAR,13-Feb-2023 07:06 PM,Accepted-AOC,AOC,24-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.3. CONTRACTORS REGISTRATION,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,
,,,,,,,,,,,,,,,,3.0,322465.0,Mahadev construction,13-Feb-2023 06:52 PM,Rejected-Finance,In draw of lots not found the lowest bidder.,02-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.4. GST NO,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,4.0,322735.0,vijay singh,15-Feb-2023 06:21 AM,Rejected-Finance,In draw of lots not found the lowest bidder.,02-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.6. LIST OF MACHINERY TOOL AND PLANT,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.8. HPPWD FORM No. 8.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.9. ANY OTHER DOCUMENTS AS SPECIFIED BY THE STATE IN PERFORMA OF SCHEDULE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PROOF TO REGISTRATION UNDER EMPLOYEES PROVIDENT FUNDS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT OR UNDERTAKING REGARDING CORRECTNESS OF BID,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,VALID E-MAIL ID AND CONTACT NO.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,24.7. BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,
