S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :
1.0,ICICI BANK,500.0,Nil,Nil,No,Executive Engineer,HPPWD Division Dehra,10-Oct-2022 10:00 AM,17-Oct-2022 11:30 AM,10-Oct-2022 10:00 AM,15-Oct-2022 06:00 PM,NA ,NA ,10-Oct-2022 10:00 AM,15-Oct-2022 06:00 PM,03-Nov-2022 11:00 AM,PWD,EE Dehra letter No.8278-82 dt. 29.09.2022,2022_PWD_66226_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of form and earnest money,C/o Main road Masroor Chatra Mod to Padharbasi village upto PHC Masroor village in Km 0/00 to 1/00,Construction of 6.00 mtr Span RCC Slab Culvert RD 0/396,Please refer to tender documents ,NA ,"20,12,740",Civil Works,NA ,Tender,75.0,90.0,Dehra,177101.0,NA ,NA ,NA ,EE HPPWD Division Dehra,No ,No,"40,000",No,fixed,,Nil,Nil,EE Dehra,Internal,"HDM,Supdt,DAO",Dinesh Kumar Dhiman,02-Nov-2022 05:30 PM,03-Nov-2022 11:00 AM,techsummary_99637.pdf (589.58 KB),PWD,2022_PWD_66226_2,EE Dehra letter No.8278-82 dt. 29.09.2022,C/o Main road Masroor Chatra Mod to Padharbasi village upto PHC Masroor village in Km 0/00 to 1/00,17-May-2023,"INR 2,012,740",90.0,Gurvachan Singh,17-May-2023 12:46 PM,66226_2Award.pdf (869.00 KB),Work award issued,EE Dehra,Internal,"HDM,Supdt,DAO",Dinesh Kumar Dhiman,07-Jan-2023 04:45 PM,finsummary_99637.pdf (186.72 KB),1.0,308645.0,atul thakur,15-Oct-2022 03:45 PM,Rejected-Finance,Highest Bidder,07-Jan-2023,Technical,Summary,Dinesh Kumar Dhiman,02-Nov-2022 05:15 PM,technical_99637.pdf,1.0,308612.0,DILWAG SINGH GOVT. COT.,INR,"1,604,590",Finance,Summary,Dinesh Kumar Dhiman,07-Jan-2023 04:38 PM,finance_99637.pdf,BOQ Comparative Chart
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of enlistment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,308612.0,DILWAG SINGH GOVT. COT.,15-Oct-2022 03:38 PM,Accepted-AOC,L1,17-May-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,307963.0,NEENA MAHAJAN,11-Oct-2022 11:08 PM,Rejected-Finance,Highest Bidder,07-Jan-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8 duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,308471.0,shyam sharma,14-Oct-2022 11:30 AM,Rejected-Finance,Highest Bidder,07-Jan-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of existing commitments under Dehra Division.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid showing name of bid duly attested from competent authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding list of near relative works as officer/officials in HPPWD duly attested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration under EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
