S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :
1.0,ICICI BANK,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",09-May-2023 01:00 PM,18-May-2023 11:00 AM,09-May-2023 01:00 PM,18-May-2023 09:00 AM,NA ,NA ,09-May-2023 01:00 PM,18-May-2023 09:00 AM,19-May-2023 04:25 PM,"Special repair to Armsdale building at HP Secretariat Chotta Shimla-2. (SH Painting, polishing and minor repair work in 3th to 5th floor of Yojna Bhawan building at HP Secretariat)","Special repair to Armsdale building at HP Secretariat Chotta Shimla-2. (SH Painting, polishing and minor repair work in 3th to 5th floor of Yojna Bhawan building at HP Secretariat)",As per SBD ,NA ,"8,50,605",Civil Works - Bridges,NA ,Tender,75.0,30.0,Secteriate,171002.0,NA ,NA ,NA ,"Executive Engineer Shimla Division No.IIIHP.PWD.,",No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document as per schedule F (6.3) and Earnest Money as per schedule F (6.5),350.0,Nil,Nil,No,"17,020",No,fixed,,Nil,Nil,PWD,SSD-III-T-1300-15dt.6-5-2023,2023_PWD_72991_7,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,PKVermaE.E.,Internal,SanjeevChauhanSupdt.KamleshMehtaHDMDeepakSharmaSr.DAO,Bhupender Singh,19-May-2023 04:21 PM,19-May-2023 04:25 PM,techsummary_109812.pdf (367.08 KB),PWD,2023_PWD_72991_7,SSD-III-T-1300-15dt.6-5-2023,"Special repair to Armsdale building at HP Secretariat Chotta Shimla-2. (SH Painting, polishing and minor repair work in 3th to 5th floor of Yojna Bhawan building at HP Secretariat)",31-May-2023,"INR 850,605",30.0,Bhupender Singh,07-Jun-2023 10:47 AM,Jibachh1234.pdf (438.00 KB),AOC,PKVermaE.E.,Internal,SanjeevChauhanSupdt.KamleshMehtaHDMDeepakSharmaSr.DAO,Bhupender Singh,22-May-2023 04:57 PM,finsummary_109812.pdf (310.96 KB),1.0,347265.0,Jibachh Goswami,16-May-2023 07:45 PM,Accepted-AOC,L1,07-Jun-2023,Technical,BOS,Bhupender Singh,19-May-2023 04:20 PM,technical_109812.pdf,1.0,347265.0,Jibachh Goswami,INR,"850,605",Finance,BOS,Bhupender Singh,19-May-2023 06:48 PM,finance_109812.pdf,BOQ Comparative Chart
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration as per general Rule 23 and as per invitation of bid.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,347495.0,TARUN SHARMA,16-May-2023 08:14 PM,Rejected-Finance,L2,22-May-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration as per General Rule No 21. Copy of GST No./ Copy of Tin No. and Copy of PAN Card.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HP.PWD Form No-7/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Gazetted and non-Gazetted HPPWD employees related to him (General Rule No 16).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit of no relative working in PWD, Information furnished in the bid is correct in all respect.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Machinery Tools plant and ownership as per sr. No. 6.19 of schedule F Clause 18.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum Turnover for last Five years as given by CA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per schedule F (6.9) and Work in hand certificate as per schedule F (6.10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
