S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
1.0,340297.0,SS RANA CONSTRUCTION PRIVATE LIMITED,INR,"107,922,033","HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP||Hamirpur,Irrigation and Public Health,HP",2023_HPIPH_71791_1,EE-JSV-HMR-E-tenders-2022-23,Upgradation of water resource under LWSS Hamirpur Town in Tehsil and Distt. Hamirpur Sub Head C O 1 NO Percolation well C O Sump well 150000 Liters cap. At Head works C O Pump House cum Attendant Room C/O Underground main storage tank 300000 Liters,Chief Engineer,Internal,SupdttW ACHF EE EED SE SED,Sanjay Kumar,31-May-2023 01:13 PM,finsummary_107985.pdf (5411.70 KB),31-May-2023,"INR 107,922,033",365.0,Sanjay Kumar,31-May-2023 01:14 PM,AOC.pdf (1142.00 KB),aoc,Finance,Proceeding,Sanjay Kumar,31-May-2023 01:03 PM,finance_107985.pdf,BOQ Comparative Chart,Technical,Proceeding,Sanjay Kumar,21-Apr-2023 05:18 PM,technical_107985.pdf,Dr SHAM kUMAR CE,Internal,Supdtt W ACHPFAS EE EED SE SED CE,Sanjay Kumar,21-Apr-2023 05:21 PM,21-Apr-2023 05:25 PM,techsummary_107985.pdf (5411.70 KB),1.0,340873.0,HILL CONSTRUCTION AND ENGINEERING CO. SOLAN,08-Apr-2023 01:53 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,21-Apr-2023,EE JSV DIVISION HAMIRPUR,EE JSV DIVISION HAMIRPUR,1.0,Fee/PreQual/Technical,.pdf,The earnest money as per NIT condition,Upgradation of water resource under LWSS Hamirpur Town in Tehsil and Distt. Hamirpur Sub Head C O 1 NO Percolation well C O Sump well 150000 Liters cap. At Head works C O Pump House cum Attendant Room C/O Underground main storage tank 300000 Liters,Upgradation of water resource under LWSS Hamirpur Town in Tehsil and Distt. Hamirpur Sub Head C O 1 NO Percolation well C O Sump well 150000 Liters cap. At Head works C O Pump House cum Attendant Room C/O Underground main storage tank 300000 Liters,Please refer Tender documents. ,NA ,"13,74,51,634",Civil Works,NA ,Tender,120.0,365.0,EE JSV DIVISION HAMIRPUR,177001.0,Chief Engineer Jal Shakti Vibhag Hamirpur Zone  ,Chief Engineer Jal Shakti Vibhag Hamirpur Zone  ,05-Apr-2023 12:30 PM ,EE JSV DIVISION HAMIRPUR,No ,No,"2,500",EE JSV DIVISION HAMIRPUR,EE JSV DIVISION HAMIRPUR,No,1.0,ICICI BANK,"HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP||Hamirpur,Irrigation and Public Health,HP",EE-JSV-HMR-E-tenders-2022-23,2023_HPIPH_71791_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"14,07,016",No,fixed,,EE JSV DIVISION HAMIRPUR,EE JSV DIVISION HAMIRPUR,1.0,site plan,Other,,31-Mar-2023 06:55 PM,10-Apr-2023 11:30 AM,31-Mar-2023 06:55 PM,10-Apr-2023 11:00 AM,NA ,NA ,31-Mar-2023 06:55 PM,10-Apr-2023 11:00 AM,21-Apr-2023 05:25 PM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,340943.0,MS Kamal Dev Sharma,09-Apr-2023 07:14 PM,Rejected-AOC,.,31-May-2023,,,,,.pdf,The cost of tender form as per NIT condition,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,340500.0,R.G. INDUSTRIES,10-Apr-2023 10:29 AM,Rejected-AOC,..,31-May-2023,,,,,.pdf,Copy of certificate of registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,341095.0,SIAN INFRA AND REALCON LLP,10-Apr-2023 09:46 AM,Rejected-AOC,.,31-May-2023,,,,,.pdf,"d) PAN (Permanent Account No.), GST registration and EPF registration Income tax",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,340851.0,S.k.sharma contractor and engineer,08-Apr-2023 07:45 PM,Rejected-AOC,..,31-May-2023,,,,,.pdf,Finicial turnover of last three year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,340297.0,SS RANA CONSTRUCTION PRIVATE LIMITED,10-Apr-2023 10:13 AM,Accepted-AOC,AOC,31-May-2023,,,,,.pdf,Annual turn over last three year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,341190.0,Swastik Constructions,10-Apr-2023 10:51 AM,Rejected-AOC,..,31-May-2023,,,,,.pdf,Experience of having successfully completed similar works during last seven years ending last day of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,f) The authorization letter regarding digital signature certificate (DSC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,g) A scanned copy of undertaking in that I have carefully studied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
