Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,S.No.2,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address
EE,Internal,SUPDTDAOHDMAE,Krishan Bhardwaj,29-May-2023 06:25 AM,finsummary_102284.pdf (826.99 KB),29-May-2023,"INR 30,605,603",365.0,Krishan Bhardwaj,29-May-2023 06:34 AM,67905A.pdf (1011.00 KB),WORKAWARDED,PWD,2023_PWD_67905_1,PW/Bhoranj/TA/2023-11018-21 dt.19.01.2023,Construction of Link road Village Joh to Village Chamboh via Ward No04 - Village Chamboh alongwith 02 Nos Slab Culvert Km 0/0 to 2/945 Under NABARD RIDF-XXVIII,Superintending Engineer,External,Executive Engineer HPPWD Div Bhoranj EE/AE (Design) 8th Circle HPPWD Hamirpur DAO Supdtt GrII /Da HPPWD Div Bhoranj,Pramod Kashyap,16-Feb-2023 12:12 PM,23-Feb-2023 11:30 AM,techsummary_102284.pdf (1179.30 KB),Finance,Executive Engineer HPPWD Division Bhoranj Assistant Engineer HPPWD Sub Diviision Bhoranj HDM DAO Supdtt Gr II HPPWD Division Bhoranj,Anil Kumar Sharma,24-Feb-2023 12:04 PM,finance_102284.pdf,BOQ Comparative Chart,1.0,321534.0,Piar Chand Chauhan,INR,"30,605,603",Technical,EE HPPWD Bhoranj AE Sub Division Bhoranj HDm DAo Supdtt GrII HPPWD Division Bhoranj,Pramod Kashyap,13-Feb-2023 01:20 PM,technical_102284.pdf,1.0,321892.0,PANKAJ KUMAR,12-Feb-2023 04:34 PM,Rejected-Finance,L2,29-May-2023,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Copy of Earnest Money and Bid Security through online,PWD,PW/Bhoranj/TA/2023-11018-21 dt.19.01.2023,2023_PWD_67905_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"6,88,000",No,fixed,,Nil,Nil,02-Feb-2023 03:00 PM,13-Feb-2023 11:30 AM,02-Feb-2023 03:00 PM,12-Feb-2023 06:00 PM,NA ,NA ,02-Feb-2023 03:30 PM,12-Feb-2023 06:00 PM,23-Feb-2023 11:30 AM,"5,000",Nil,Nil,No,Construction of Link road Village Joh to Village Chamboh via Ward No04 - Village Chamboh alongwith 02 Nos Slab Culvert Km 0/0 to 2/945 Under NABARD RIDF-XXVIII,"Construction of ROFD, Cross Drainage work GSB WMM Tarring Paver Block Road Side V-Shape drain Parapets and Road side sign board including 5 years routine maintenance",Please refer tender documents  ,NA ,"3,43,88,321",Civil Works - Roads,NA ,Tender,90.0,365.0,Bhoranj,176045.0,NA ,NA ,NA ,Bhoranj,No ,No,Executive Engineer,HPPWD Division Bhoranj
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,321534.0,Piar Chand Chauhan,11-Feb-2023 02:43 PM,Accepted-AOC,WORKAWARDED,29-May-2023,2.0,ICICI NEFT/RTGS,,,.pdf,Contractors Registration with validity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,320231.0,S.S.Chauhans Construction Private Limted,12-Feb-2023 04:52 PM,Rejected-Finance,L3,29-May-2023,,,,,.pdf,"Copy of GST , PAN and EPF Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity/ C.A. Annual Report as per Clause 4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff as per SBD with proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Information regarding any litigation or arbitration during the last five years in which the Bidder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that the information furnished with the bid documents is correct in all respects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HP.PWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate during last five year and Work In Hand Certificate duly signed by the EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An undertaking showing that the site has been visited by the contractors/ firms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
